timestamp,load,ram_usage
3049856584,0.5297673,0.44315436
3050356085,0.65846664,0.5764765
3050855668,0.57761323,0.5764765
3051355002,0.56098443,0.5764765
3051854892,0.554273,0.5764765
3052354981,0.5502912,0.5764765
3052854839,0.5507088,0.5764765
3053354997,0.5498707,0.5764765
3053854838,0.552893,0.5764765
3054354861,0.5517329,0.5764765
3054854971,0.5540234,0.5764765
3055354839,0.54853356,0.5764765
3055855409,0.5521083,0.5764765
3056354838,0.55066156,0.5764765
3056854838,0.55386865,0.5764765
3057354845,0.5519715,0.5764765
3057854865,0.5543179,0.5764765
3058355019,0.54710954,0.5764765
3058854845,0.5497565,0.5764765
3059354930,0.5508276,0.5764765
3059856885,0.5512605,0.5764765
3060356380,0.55360436,0.5764765
3060855732,0.5537311,0.5764765
3061355554,0.54757965,0.5764765
3061854916,0.5500229,0.5764765
3062355077,0.5506389,0.5764765
3062854911,0.5546941,0.5764765
3063354844,0.55112803,0.5764765
3063854839,0.54924905,0.5764765
3064354837,0.5479928,0.5764765
3064854837,0.5519577,0.5764765
3065354868,0.5522549,0.5764765
3065854855,0.5531173,0.5764765
3066354979,0.5539778,0.5764765
3066854841,0.5494015,0.5764765
3067354839,0.55073106,0.5764765
3067854841,0.5511842,0.5764765
3068354839,0.5514952,0.5764765
3068855015,0.5535604,0.5764765
3069354839,0.55359316,0.5764765
3069854932,0.55006504,0.5764765
3070357277,0.5505271,0.5764765
3070856318,0.55065465,0.5764765
3071355829,0.5501148,0.5764765
3071855433,0.55378795,0.5764765
3072354839,0.5531919,0.5764765
3072854970,0.5501889,0.5764765
3073354941,0.55494785,0.5764765
3073855073,0.54864055,0.5764765
3074354911,0.5508526,0.5764765
3074854837,0.55018157,0.5764765
3075355470,0.5542598,0.5764765
3075854838,0.5505378,0.5764765
3076354898,0.5523976,0.5764765
3076854980,0.5521778,0.5764765
3077354838,0.55224276,0.5764765
3077855020,0.554073,0.5764765
3078354850,0.5500765,0.5764765
3078854838,0.55239224,0.5764765
3079354883,0.5526041,0.5764765
3079854838,0.5492828,0.5764765
3080354924,0.55070984,0.5764765
3080856863,0.5541054,0.5764765
3081356144,0.54977095,0.5764765
3081855770,0.5538002,0.5764765
3082355022,0.55214894,0.5764765
3082854839,0.552359,0.5764765
3083354985,0.55183125,0.5764765
3083854952,0.552595,0.5764765
3084354838,0.5503886,0.5764765
3084854839,0.552786,0.5764765
3085354837,0.55062973,0.5764765
3085855503,0.552482,0.5764765
3086354839,0.55403966,0.5764765
3086854858,0.5523167,0.5764765
3087354951,0.55118,0.5764765
3087854867,0.55278504,0.5764765
3088355054,0.5526997,0.5764765
3088854837,0.5539386,0.5764765
3089354838,0.55268204,0.5764765
3089854838,0.5498344,0.5764765
3090354837,0.5512324,0.5764765
3090857136,0.55234885,0.5764765
3091356810,0.5505381,0.5764765
3091856299,0.55390024,0.5764765
3092355635,0.54984266,0.5764765
3092855205,0.5483813,0.5764765
3093355588,0.5509002,0.5764765
3093854840,0.55439746,0.5764765
3094354912,0.551231,0.5764765
