timestamp,timestamp_sample,gps_hvel[0],gps_hvel[1],gps_vvel,gps_hpos[0],gps_hpos[1],gps_vpos,ev_hvel[0],ev_hvel[1],ev_vvel,ev_hpos[0],ev_hpos[1],ev_vpos,rng_vpos,baro_vpos,aux_hvel[0],aux_hvel[1],aux_vvel,flow[0],flow[1],terr_flow[0],terr_flow[1],heading,mag_field[0],mag_field[1],mag_field[2],gravity[0],gravity[1],gravity[2],drag[0],drag[1],airspeed,beta,hagl,hagl_rate
3050524654,3050423553,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,-0.18235946,0.0,0.0,nan,0.0,0.0,0.0,0.0,-0.02974771,0.0233296,0.009565106,0.21999091,-0.011661682,-0.0011255788,-0.00031790632,0.0,0.0,0.0,0.0,0.0,0.0
3051024014,3050923071,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.15331793,0.0,0.0,nan,0.0,0.0,0.0,0.0,-0.04430748,0.012707949,0.012105947,0.2068038,0.02145494,-0.023212105,0.0007259013,0.0,0.0,0.0,0.0,0.0,0.0
3051523606,3051422588,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,-0.51101565,0.0,0.0,nan,0.0,0.0,0.0,0.0,-0.0010820031,0.01216647,0.003037382,0.20914042,-0.0075930282,-0.08529637,9.8745724e-05,0.0,0.0,0.0,0.0,0.0,0.0
3052034186,3051932096,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,-0.008833408,0.0,0.0,nan,0.0,0.0,0.0,0.0,0.012004577,-0.0033594966,-0.0010754112,0.19304359,0.0032288206,-0.024182854,0.0002478113,0.0,0.0,0.0,0.0,0.0,0.0
3052533552,3052431615,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,-0.17037892,0.0,0.0,nan,0.0,0.0,0.0,0.0,0.0063314512,0.008191928,0.0011743326,0.20758465,0.011881644,-0.006055371,0.00036480403,0.0,0.0,0.0,0.0,0.0,0.0
3053023035,3052921141,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,-0.0018119812,0.0,0.0,nan,0.0,0.0,0.0,0.0,0.004663646,0.009042129,0.0016423576,0.21279827,-0.030141251,0.0053538857,-0.0009225783,0.0,0.0,0.0,0.0,0.0,0.0
3053531661,3053430655,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,-0.0013644695,0.0,0.0,nan,0.0,0.0,0.0,0.0,0.013003714,0.0038674176,-0.0006141253,0.2050705,-0.022809403,0.0022237543,-0.0006760372,0.0,0.0,0.0,0.0,0.0,0.0
3054030958,3053930167,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,-0.058581352,0.0,0.0,nan,0.0,0.0,0.0,0.0,-0.01981578,0.007868707,0.006701313,0.20186919,0.0132209705,0.011195973,0.00025979313,0.0,0.0,0.0,0.0,0.0,0.0
3054530770,3054429686,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,-0.06885481,0.0,0.0,nan,0.0,0.0,0.0,0.0,3.7632883e-05,0.0064394176,0.0024300069,0.20871252,0.002046389,-0.0075464174,0.00011256271,0.0,0.0,0.0,0.0,0.0,0.0
3055030155,3054929203,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,-0.017287254,0.0,0.0,nan,0.0,0.0,0.0,0.0,-0.037617624,0.022975922,0.0110440105,0.21548596,-0.060054153,0.0032105697,-0.0018673436,0.0,0.0,0.0,0.0,0.0,0.0
