timestamp,timestamp_sample,q[0],q[1],q[2],q[3],delta_q_reset[0],delta_q_reset[1],delta_q_reset[2],delta_q_reset[3],quat_reset_counter
3052007690,3052007024,-0.99939066,-0.0043711984,-0.013696579,0.03180723,0.34109193,8.8385166e-10,4.0950401e-10,0.94003,1
3052057650,3052056975,-0.9993895,-0.004375468,-0.013721305,0.031832114,0.34109193,8.8385166e-10,4.0950401e-10,0.94003,1
3052102613,3052101932,-0.9993911,-0.0043609543,-0.013614145,0.03182961,0.34109193,8.8385166e-10,4.0950401e-10,0.94003,1
3052157419,3052156879,-0.99938875,-0.0043894765,-0.013732605,0.03184898,0.34109193,8.8385166e-10,4.0950401e-10,0.94003,1
3052207384,3052206831,-0.99939007,-0.0043821386,-0.013663717,0.03184054,0.34109193,8.8385166e-10,4.0950401e-10,0.94003,1
3052252316,3052251787,-0.99939036,-0.0043917974,-0.01364652,0.031834755,0.34109193,8.8385166e-10,4.0950401e-10,0.94003,1
3052302265,3052301739,-0.99938995,-0.004393065,-0.013691766,0.03182757,0.34109193,8.8385166e-10,4.0950401e-10,0.94003,1
3052357279,3052356686,-0.99939084,-0.004385248,-0.013640704,0.031824194,0.34109193,8.8385166e-10,4.0950401e-10,0.94003,1
3052407230,3052406638,-0.99939036,-0.00438296,-0.013692001,0.03181446,0.34109193,8.8385166e-10,4.0950401e-10,0.94003,1
3052452188,3052451594,-0.9993902,-0.004398505,-0.013677912,0.031826917,0.34109193,8.8385166e-10,4.0950401e-10,0.94003,1
3052507131,3052506541,-0.99938977,-0.0043953815,-0.013657192,0.031849258,0.34109193,8.8385166e-10,4.0950401e-10,0.94003,1
3052557126,3052556497,-0.99938893,-0.004416395,-0.013681915,0.0318632,0.34109193,8.8385166e-10,4.0950401e-10,0.94003,1
3052607159,3052606445,-0.9993886,-0.004412518,-0.013635828,0.031892862,0.34109193,8.8385166e-10,4.0950401e-10,0.94003,1
3052652101,3052651401,-0.99938697,-0.004414094,-0.0136942165,0.03191811,0.34109193,8.8385166e-10,4.0950401e-10,0.94003,1
