timestamp,bias_x[0],bias_x[1],bias_x[2],bias_x[3],bias_y[0],bias_y[1],bias_y[2],bias_y[3],bias_z[0],bias_z[1],bias_z[2],bias_z[3],valid[0],valid[1],valid[2],valid[3],stable[0],stable[1],stable[2],stable[3]
3050068508,-0.12658969,0.0,0.0,0.0,0.0195658,0.0,0.0,0.0,0.15170982,0.0,0.0,0.0,1,0,0,0,1,0,0,0
3050109682,-0.12656727,0.0,0.0,0.0,0.019566095,0.0,0.0,0.0,0.15170147,0.0,0.0,0.0,1,0,0,0,1,0,0,0
3050288497,-0.12655488,0.0,0.0,0.0,0.019529955,0.0,0.0,0.0,0.15170902,0.0,0.0,0.0,1,0,0,0,1,0,0,0
3050488523,-0.12638654,0.0,0.0,0.0,0.01949685,0.0,0.0,0.0,0.15157822,0.0,0.0,0.0,1,0,0,0,1,0,0,0
3050689119,-0.12638916,0.0,0.0,0.0,0.019532338,0.0,0.0,0.0,0.15157655,0.0,0.0,0.0,1,0,0,0,1,0,0,0
3050888845,-0.12636228,0.0,0.0,0.0,0.01954541,0.0,0.0,0.0,0.1515545,0.0,0.0,0.0,1,0,0,0,1,0,0,0
3051108682,-0.12634125,0.0,0.0,0.0,0.019537747,0.0,0.0,0.0,0.15150154,0.0,0.0,0.0,1,0,0,0,1,0,0,0
3051288496,-0.1263115,0.0,0.0,0.0,0.019544976,0.0,0.0,0.0,0.15153068,0.0,0.0,0.0,1,0,0,0,1,0,0,0
3051488495,-0.12691805,0.0,0.0,0.0,0.019471036,0.0,0.0,0.0,0.15159129,0.0,0.0,0.0,1,0,0,0,1,0,0,0
3051668494,-0.12731159,0.0,0.0,0.0,0.019339832,0.0,0.0,0.0,0.15178579,0.0,0.0,0.0,1,0,0,0,1,0,0,0
3051888494,-0.12725717,0.0,0.0,0.0,0.01925851,0.0,0.0,0.0,0.15179054,0.0,0.0,0.0,1,0,0,0,1,0,0,0
3052088622,-0.1273445,0.0,0.0,0.0,0.019249475,0.0,0.0,0.0,0.15178211,0.0,0.0,0.0,1,0,0,0,1,0,0,0
3052288495,-0.1272527,0.0,0.0,0.0,0.01926706,0.0,0.0,0.0,0.15174761,0.0,0.0,0.0,1,0,0,0,1,0,0,0
3052508495,-0.1273005,0.0,0.0,0.0,0.019288057,0.0,0.0,0.0,0.15174857,0.0,0.0,0.0,1,0,0,0,1,0,0,0
3052688495,-0.12733597,0.0,0.0,0.0,0.019268317,0.0,0.0,0.0,0.15176274,0.0,0.0,0.0,1,0,0,0,1,0,0,0
3052888494,-0.12727211,0.0,0.0,0.0,0.019200826,0.0,0.0,0.0,0.15175945,0.0,0.0,0.0,1,0,0,0,1,0,0,0
3053088518,-0.12730716,0.0,0.0,0.0,0.01917327,0.0,0.0,0.0,0.15178487,0.0,0.0,0.0,1,0,0,0,1,0,0,0
3053268695,-0.12737046,0.0,0.0,0.0,0.019208461,0.0,0.0,0.0,0.15180236,0.0,0.0,0.0,1,0,0,0,1,0,0,0
3053488526,-0.12740016,0.0,0.0,0.0,0.019303929,0.0,0.0,0.0,0.15182169,0.0,0.0,0.0,1,0,0,0,1,0,0,0
3053688647,-0.12740214,0.0,0.0,0.0,0.01928651,0.0,0.0,0.0,0.15180397,0.0,0.0,0.0,1,0,0,0,1,0,0,0
3053908529,-0.12745975,0.0,0.0,0.0,0.01931292,0.0,0.0,0.0,0.15186715,0.0,0.0,0.0,1,0,0,0,1,0,0,0
3054088497,-0.12746371,0.0,0.0,0.0,0.019312434,0.0,0.0,0.0,0.15186138,0.0,0.0,0.0,1,0,0,0,1,0,0,0
3054288499,-0.12751065,0.0,0.0,0.0,0.019312093,0.0,0.0,0.0,0.15188113,0.0,0.0,0.0,1,0,0,0,1,0,0,0
3054488496,-0.12748358,0.0,0.0,0.0,0.019290257,0.0,0.0,0.0,0.15187703,0.0,0.0,0.0,1,0,0,0,1,0,0,0
3054688571,-0.1275895,0.0,0.0,0.0,0.01930126,0.0,0.0,0.0,0.15192874,0.0,0.0,0.0,1,0,0,0,1,0,0,0
3054868525,-0.12752344,0.0,0.0,0.0,0.019278472,0.0,0.0,0.0,0.15189818,0.0,0.0,0.0,1,0,0,0,1,0,0,0
3055088497,-0.12747048,0.0,0.0,0.0,0.019301727,0.0,0.0,0.0,0.15193725,0.0,0.0,0.0,1,0,0,0,1,0,0,0
3055308495,-0.12741144,0.0,0.0,0.0,0.019315233,0.0,0.0,0.0,0.15195204,0.0,0.0,0.0,1,0,0,0,1,0,0,0
3055488495,-0.12740187,0.0,0.0,0.0,0.019313095,0.0,0.0,0.0,0.15193206,0.0,0.0,0.0,1,0,0,0,1,0,0,0
3055688499,-0.12743424,0.0,0.0,0.0,0.01930554,0.0,0.0,0.0,0.151966,0.0,0.0,0.0,1,0,0,0,1,0,0,0
3055889458,-0.12741111,0.0,0.0,0.0,0.019271942,0.0,0.0,0.0,0.15196753,0.0,0.0,0.0,1,0,0,0,1,0,0,0
3056089192,-0.12744781,0.0,0.0,0.0,0.01929492,0.0,0.0,0.0,0.15198363,0.0,0.0,0.0,1,0,0,0,1,0,0,0
3056289040,-0.12748098,0.0,0.0,0.0,0.019302981,0.0,0.0,0.0,0.15203272,0.0,0.0,0.0,1,0,0,0,1,0,0,0
3056468986,-0.12747708,0.0,0.0,0.0,0.019288713,0.0,0.0,0.0,0.15199731,0.0,0.0,0.0,1,0,0,0,1,0,0,0
3056708633,-0.1275673,0.0,0.0,0.0,0.019286806,0.0,0.0,0.0,0.15189952,0.0,0.0,0.0,1,0,0,0,1,0,0,0
3056888495,-0.1276806,0.0,0.0,0.0,0.019324338,0.0,0.0,0.0,0.15192814,0.0,0.0,0.0,1,0,0,0,1,0,0,0
3057088495,-0.12769881,0.0,0.0,0.0,0.019344136,0.0,0.0,0.0,0.15194866,0.0,0.0,0.0,1,0,0,0,1,0,0,0
3057288594,-0.12768635,0.0,0.0,0.0,0.019340826,0.0,0.0,0.0,0.15193585,0.0,0.0,0.0,1,0,0,0,1,0,0,0
3057488496,-0.1276952,0.0,0.0,0.0,0.019327734,0.0,0.0,0.0,0.15193854,0.0,0.0,0.0,1,0,0,0,1,0,0,0
3057688524,-0.1276814,0.0,0.0,0.0,0.019353945,0.0,0.0,0.0,0.15194419,0.0,0.0,0.0,1,0,0,0,1,0,0,0
3057888496,-0.12772338,0.0,0.0,0.0,0.019358601,0.0,0.0,0.0,0.1519473,0.0,0.0,0.0,1,0,0,0,1,0,0,0
3058108497,-0.12779039,0.0,0.0,0.0,0.019374749,0.0,0.0,0.0,0.15193278,0.0,0.0,0.0,1,0,0,0,1,0,0,0
3058288513,-0.12780139,0.0,0.0,0.0,0.0193756,0.0,0.0,0.0,0.15190412,0.0,0.0,0.0,1,0,0,0,1,0,0,0
3058488657,-0.12783214,0.0,0.0,0.0,0.019401645,0.0,0.0,0.0,0.15194552,0.0,0.0,0.0,1,0,0,0,1,0,0,0
3058688494,-0.12785392,0.0,0.0,0.0,0.019521099,0.0,0.0,0.0,0.15194528,0.0,0.0,0.0,1,0,0,0,1,0,0,0
3058888494,-0.12792903,0.0,0.0,0.0,0.01955188,0.0,0.0,0.0,0.15200135,0.0,0.0,0.0,1,0,0,0,1,0,0,0
3059088494,-0.12790626,0.0,0.0,0.0,0.019503826,0.0,0.0,0.0,0.15199097,0.0,0.0,0.0,1,0,0,0,1,0,0,0
3059288524,-0.12802388,0.0,0.0,0.0,0.01951201,0.0,0.0,0.0,0.1520234,0.0,0.0,0.0,1,0,0,0,1,0,0,0
3059488495,-0.1280075,0.0,0.0,0.0,0.019514453,0.0,0.0,0.0,0.15202475,0.0,0.0,0.0,1,0,0,0,1,0,0,0
3059668493,-0.12802944,0.0,0.0,0.0,0.019512828,0.0,0.0,0.0,0.1520488,0.0,0.0,0.0,1,0,0,0,1,0,0,0
3059888557,-0.12804675,0.0,0.0,0.0,0.019507924,0.0,0.0,0.0,0.15204044,0.0,0.0,0.0,1,0,0,0,1,0,0,0
