timestamp,timestamp_sample,control[0],control[1],control[2],control[3],control[4],control[5],control[6],control[7],control[8],control[9],control[10],control[11],reversible_flags
3050105415,3050105110,0.0,0.0020000003,0.0,0.0020000006,nan,nan,nan,nan,nan,nan,nan,nan,0
3050106665,3050106359,0.0,0.0020000006,0.0,0.0020000006,nan,nan,nan,nan,nan,nan,nan,nan,0
3050205324,3050205014,0.0,0.0019999999,5.7480065e-10,0.0020000013,nan,nan,nan,nan,nan,nan,nan,nan,0
3050306591,3050306166,5.5235655e-14,0.0019999999,5.7022553e-10,0.0020000003,nan,nan,nan,nan,nan,nan,nan,nan,0
3050408888,3050408568,2.9855771e-09,0.0019999987,2.420713e-12,0.0019999994,nan,nan,nan,nan,nan,nan,nan,nan,0
3050506274,3050505973,0.0,0.0019999992,1.1259544e-09,0.0020000006,nan,nan,nan,nan,nan,nan,nan,nan,0
3050607426,3050607126,1.4902296e-09,0.0020000022,4.3088562e-12,0.001999997,nan,nan,nan,nan,nan,nan,nan,nan,0
3050706085,3050705780,0.0,0.0020000006,0.0,0.0020000003,nan,nan,nan,nan,nan,nan,nan,nan,0
3050807235,3050806933,0.0,0.0020000006,0.0,0.0020000006,nan,nan,nan,nan,nan,nan,nan,nan,0
3050905896,3050905587,0.0,0.0019999999,3.601599e-10,0.0020000003,nan,nan,nan,nan,nan,nan,nan,nan,0
3051007054,3051006740,0.0,0.0020000006,0.0,0.0020000006,nan,nan,nan,nan,nan,nan,nan,nan,0
3051108360,3051107895,1.6047487e-09,0.0019999982,2.5475515e-13,0.0020000006,nan,nan,nan,nan,nan,nan,nan,nan,0
3051206854,3051206547,0.0,0.0020000006,0.0,0.0020000006,nan,nan,nan,nan,nan,nan,nan,nan,0
3051308002,3051307699,1.9583536e-12,0.0019999966,1.8907698e-09,0.0020000003,nan,nan,nan,nan,nan,nan,nan,nan,0
3051405400,3051405105,6.4986516e-10,0.0020000003,2.4313388e-11,0.0019999999,nan,nan,nan,nan,nan,nan,nan,nan,0
3051507813,3051507506,0.0,0.0020000006,0.0,0.0020000006,nan,nan,nan,nan,nan,nan,nan,nan,0
3051605208,3051604912,1.1916657e-09,0.0020000003,7.9569337e-13,0.001999999,nan,nan,nan,nan,nan,nan,nan,nan,0
3051706358,3051706065,1.2292996e-12,0.0019999994,2.8515608e-09,0.0019999985,nan,nan,nan,nan,nan,nan,nan,nan,0
3051808833,3051808465,2.9991094e-09,0.0020000022,6.568528e-12,0.0019999957,nan,nan,nan,nan,nan,nan,nan,nan,0
3051906171,3051905871,5.247873e-10,0.0020000003,6.816779e-12,0.0019999999,nan,nan,nan,nan,nan,nan,nan,nan,0
3052007323,3052007024,0.0,0.002,0.0,0.0020000003,nan,nan,nan,nan,nan,nan,nan,nan,0
3052105973,3052105678,1.3722083e-09,0.0020000022,1.4738081e-12,0.001999997,nan,nan,nan,nan,nan,nan,nan,nan,0
3052207136,3052206831,0.0,0.0020000003,0.0,0.0020000003,nan,nan,nan,nan,nan,nan,nan,nan,0
3052305777,3052305485,0.0,0.0020000006,0.0,0.0020000006,nan,nan,nan,nan,nan,nan,nan,nan,0
3052406935,3052406638,0.0,0.0019999999,4.802132e-10,0.0020000003,nan,nan,nan,nan,nan,nan,nan,nan,0
3052508093,3052507790,0.0,0.0020000006,0.0,0.0020000006,nan,nan,nan,nan,nan,nan,nan,nan,0
3052606861,3052606445,1.0433331e-09,0.0020000003,2.2024058e-12,0.0019999994,nan,nan,nan,nan,nan,nan,nan,nan,0
3052707899,3052707597,0.0,0.0020000003,0.0,0.0020000003,nan,nan,nan,nan,nan,nan,nan,nan,0
3052805316,3052805003,1.6092336e-12,0.001999999,1.2251943e-09,0.0020000003,nan,nan,nan,nan,nan,nan,nan,nan,0
3052907704,3052907404,0.0,0.0020000003,0.0,0.0020000003,nan,nan,nan,nan,nan,nan,nan,nan,0
3053005109,3053004810,7.012398e-10,0.0020000003,5.9020263e-12,0.0019999996,nan,nan,nan,nan,nan,nan,nan,nan,0
3053106259,3053105963,6.9307164e-11,0.0020000003,9.002164e-12,0.0020000003,nan,nan,nan,nan,nan,nan,nan,nan,0
3053208661,3053208364,2.412306e-09,0.0020000022,1.6560486e-12,0.0019999961,nan,nan,nan,nan,nan,nan,nan,nan,0
3053306076,3053305774,0.0,0.0020000006,0.0,0.0020000006,nan,nan,nan,nan,nan,nan,nan,nan,0
3053408627,3053408171,0.0,0.0020000003,0.0,0.0020000003,nan,nan,nan,nan,nan,nan,nan,nan,0
3053505872,3053505577,6.6232836e-10,0.0020000003,3.5298726e-12,0.0019999996,nan,nan,nan,nan,nan,nan,nan,nan,0
3053607033,3053606729,5.424161e-12,0.0019999968,1.6853101e-09,0.0020000024,nan,nan,nan,nan,nan,nan,nan,nan,0
3053705679,3053705384,2.8087763e-09,0.0020000022,7.1476653e-12,0.0019999957,nan,nan,nan,nan,nan,nan,nan,nan,0
3053806836,3053806536,8.196169e-10,0.0020000003,1.2197115e-11,0.0019999994,nan,nan,nan,nan,nan,nan,nan,nan,0
3053907987,3053907689,1.4875461e-09,0.0020000013,2.0126184e-12,0.001999999,nan,nan,nan,nan,nan,nan,nan,nan,0
3054006644,3054006344,1.7017524e-09,0.0020000022,7.686785e-12,0.0019999968,nan,nan,nan,nan,nan,nan,nan,nan,0
3054107829,3054107496,0.0,0.0020000008,0.0,0.0020000003,nan,nan,nan,nan,nan,nan,nan,nan,0
3054206463,3054206151,0.0,0.0020000006,0.0,0.0020000003,nan,nan,nan,nan,nan,nan,nan,nan,0
3054307601,3054307303,0.0,0.0020000003,0.0,0.0020000003,nan,nan,nan,nan,nan,nan,nan,nan,0
3054405008,3054404709,0.0,0.0020000003,0.0,0.0020000003,nan,nan,nan,nan,nan,nan,nan,nan,0
3054507408,3054507110,0.0,0.0020000008,0.0,0.0020000008,nan,nan,nan,nan,nan,nan,nan,nan,0
3054608571,3054608263,1.291005e-09,0.0020000003,2.0577377e-12,0.001999999,nan,nan,nan,nan,nan,nan,nan,nan,0
3054705970,3054705669,9.085495e-11,0.0020000003,1.8662493e-12,0.0020000003,nan,nan,nan,nan,nan,nan,nan,nan,0
3054808374,3054808073,0.0,0.0020000003,1.8462742e-10,0.0020000003,nan,nan,nan,nan,nan,nan,nan,nan,0
3054905872,3054905476,1.1959446e-10,0.0020000006,1.29623465e-11,0.0020000003,nan,nan,nan,nan,nan,nan,nan,nan,0
3055006924,3055006628,1.973768e-09,0.0019999987,2.646266e-12,0.0020000003,nan,nan,nan,nan,nan,nan,nan,nan,0
3055105587,3055105285,0.0,0.0020000003,0.0,0.0020000003,nan,nan,nan,nan,nan,nan,nan,nan,0
3055206735,3055206435,2.8667752e-10,0.002,2.1803974e-12,0.0019999999,nan,nan,nan,nan,nan,nan,nan,nan,0
3055307884,3055307588,1.1113013e-09,0.0020000003,4.598112e-12,0.0019999994,nan,nan,nan,nan,nan,nan,nan,nan,0
3055406542,3055406242,1.1067536e-09,0.0020000003,5.0737192e-14,0.0019999994,nan,nan,nan,nan,nan,nan,nan,nan,0
3055507696,3055507395,1.8123267e-09,0.0019999985,3.33135e-12,0.0020000003,nan,nan,nan,nan,nan,nan,nan,nan,0
3055606356,3055606050,3.6447337e-10,0.002,3.3002412e-12,0.0019999999,nan,nan,nan,nan,nan,nan,nan,nan,0
3055707647,3055707202,2.3960703e-10,0.0020000003,3.887759e-12,0.0019999999,nan,nan,nan,nan,nan,nan,nan,nan,0
3055804911,3055804608,0.0,0.0020000006,0.0,0.0020000006,nan,nan,nan,nan,nan,nan,nan,nan,0
3055907324,3055907009,1.7343955e-09,0.0020000022,5.917161e-12,0.0019999968,nan,nan,nan,nan,nan,nan,nan,nan,0
3056008454,3056008162,2.066977e-09,0.0019999987,1.4249418e-11,0.0020000003,nan,nan,nan,nan,nan,nan,nan,nan,0
3056105863,3056105568,0.0,0.0020000003,0.0,0.0020000003,nan,nan,nan,nan,nan,nan,nan,nan,0
3056208266,3056207969,0.0,0.0020000008,0.0,0.0020000008,nan,nan,nan,nan,nan,nan,nan,nan,0
3056305670,3056305375,1.2994911e-09,0.0020000022,1.4526509e-12,0.001999997,nan,nan,nan,nan,nan,nan,nan,nan,0
3056406865,3056406528,0.0,0.001999999,1.204171e-09,0.0020000003,nan,nan,nan,nan,nan,nan,nan,nan,0
3056505485,3056505182,0.0,0.0020000003,0.0,0.0020000003,nan,nan,nan,nan,nan,nan,nan,nan,0
3056606636,3056606335,1.3239861e-09,0.0020000022,1.1908009e-13,0.001999997,nan,nan,nan,nan,nan,nan,nan,nan,0
3056707784,3056707487,1.7241469e-09,0.0020000022,1.2748797e-13,0.001999997,nan,nan,nan,nan,nan,nan,nan,nan,0
3056806442,3056806142,1.3432623e-09,0.0020000022,5.0329454e-12,0.001999997,nan,nan,nan,nan,nan,nan,nan,nan,0
3056907589,3056907294,0.0,0.0019999994,8.367351e-10,0.0019999994,nan,nan,nan,nan,nan,nan,nan,nan,0
3057006252,3057005950,1.3642386e-09,0.0019999985,1.7173762e-15,0.0020000008,nan,nan,nan,nan,nan,nan,nan,nan,0
3057107401,3057107102,0.0,0.0020000003,0.0,0.0020000003,nan,nan,nan,nan,nan,nan,nan,nan,0
3057206156,3057205757,1.2382414e-09,0.002,6.61166e-12,0.001999999,nan,nan,nan,nan,nan,nan,nan,nan,0
3057307208,3057306909,2.6501563e-09,0.0019999982,9.650681e-13,0.0019999996,nan,nan,nan,nan,nan,nan,nan,nan,0
3057408367,3057408063,1.6186006e-09,0.0019999985,5.6069663e-12,0.0020000003,nan,nan,nan,nan,nan,nan,nan,nan,0
3057505766,3057505468,0.0,0.0020000003,0.0,0.0020000003,nan,nan,nan,nan,nan,nan,nan,nan,0
3057608175,3057607869,0.0,0.0020000006,0.0,0.0020000003,nan,nan,nan,nan,nan,nan,nan,nan,0
3057705583,3057705275,1.316852e-09,0.0020000003,4.8187528e-14,0.001999999,nan,nan,nan,nan,nan,nan,nan,nan,0
3057807977,3057807676,0.0,0.0019999999,2.5011104e-10,0.0020000003,nan,nan,nan,nan,nan,nan,nan,nan,0
3057905375,3057905082,1.4872842e-09,0.0019999985,5.7815384e-12,0.0020000008,nan,nan,nan,nan,nan,nan,nan,nan,0
3058006668,3058006235,0.0,0.0020000008,0.0,0.0020000003,nan,nan,nan,nan,nan,nan,nan,nan,0
3058108933,3058108636,2.9609908e-13,0.0019999996,7.438186e-10,0.002,nan,nan,nan,nan,nan,nan,nan,nan,0
3058206344,3058206042,9.3562e-10,0.0020000003,1.4892328e-12,0.0019999994,nan,nan,nan,nan,nan,nan,nan,nan,0
3058307495,3058307195,2.4084182e-10,0.002,1.4513826e-12,0.002,nan,nan,nan,nan,nan,nan,nan,nan,0
3058406154,3058405849,2.626139e-10,0.002,3.2982675e-12,0.0019999999,nan,nan,nan,nan,nan,nan,nan,nan,0
3058507306,3058507003,2.898318e-09,0.0020000022,5.7552487e-13,0.0019999957,nan,nan,nan,nan,nan,nan,nan,nan,0
3058605951,3058605657,8.4110796e-10,0.0020000003,1.4515503e-12,0.0019999994,nan,nan,nan,nan,nan,nan,nan,nan,0
3058707150,3058706809,0.0,0.0020000006,0.0,0.0020000006,nan,nan,nan,nan,nan,nan,nan,nan,0
3058808451,3058807965,0.0,0.0019999996,7.4942363e-10,0.0020000003,nan,nan,nan,nan,nan,nan,nan,nan,0
3058906922,3058906617,0.0,0.0019999957,2.8903742e-09,0.0020000022,nan,nan,nan,nan,nan,nan,nan,nan,0
3059008070,3059007769,0.0,0.0020000003,0.0,0.0020000003,nan,nan,nan,nan,nan,nan,nan,nan,0
3059105469,3059105175,1.5013268e-09,0.0019999985,6.0361854e-12,0.0020000008,nan,nan,nan,nan,nan,nan,nan,nan,0
3059207879,3059207577,1.133083e-09,0.0020000003,9.831862e-13,0.0019999992,nan,nan,nan,nan,nan,nan,nan,nan,0
3059305289,3059304983,0.0,0.0020000006,0.0,0.002000001,nan,nan,nan,nan,nan,nan,nan,nan,0
3059406436,3059406135,2.5184724e-10,0.0020000003,1.405633e-12,0.0019999999,nan,nan,nan,nan,nan,nan,nan,nan,0
3059505160,3059504790,0.0,0.0020000008,0.0,0.0020000008,nan,nan,nan,nan,nan,nan,nan,nan,0
3059606245,3059605943,2.2263432e-12,0.0019999999,6.100673e-10,0.0020000003,nan,nan,nan,nan,nan,nan,nan,nan,0
3059707395,3059707095,0.0,0.0020000003,0.0,0.0020000003,nan,nan,nan,nan,nan,nan,nan,nan,0
3059806049,3059805750,0.0,0.0020000006,0.0,0.0020000006,nan,nan,nan,nan,nan,nan,nan,nan,0
3059907201,3059906902,2.8419059e-11,0.0020000006,3.4238584e-13,0.0020000003,nan,nan,nan,nan,nan,nan,nan,nan,0
3060005865,3060005557,3.0046798e-13,0.0020000006,1.4332134e-09,0.0019999987,nan,nan,nan,nan,nan,nan,nan,nan,0
3060107003,3060106710,0.0,0.0020000006,0.0,0.0020000006,nan,nan,nan,nan,nan,nan,nan,nan,0
3060208162,3060207862,7.4383033e-10,0.0020000003,2.7966483e-12,0.0019999994,nan,nan,nan,nan,nan,nan,nan,nan,0
3060306940,3060306517,8.814716e-10,0.0020000003,1.0373565e-11,0.0019999994,nan,nan,nan,nan,nan,nan,nan,nan,0
3060407962,3060407670,5.230988e-10,0.0020000003,3.8509213e-13,0.0019999999,nan,nan,nan,nan,nan,nan,nan,nan,0
3060505378,3060505076,0.0,0.0019999999,6.1299943e-10,0.0020000003,nan,nan,nan,nan,nan,nan,nan,nan,0
3060607771,3060607477,1.5856284e-09,0.0020000022,2.6515877e-13,0.0019999968,nan,nan,nan,nan,nan,nan,nan,nan,0
3060705190,3060704883,9.916009e-10,0.0019999994,1.3516559e-11,0.0020000003,nan,nan,nan,nan,nan,nan,nan,nan,0
3060806331,3060806036,1.2810633e-09,0.0019999994,1.5716595e-12,0.0019999999,nan,nan,nan,nan,nan,nan,nan,nan,0
3060908735,3060908438,9.736533e-10,0.0020000003,6.625165e-13,0.0019999994,nan,nan,nan,nan,nan,nan,nan,nan,0
3061006158,3061005843,1.87013e-09,0.0020000022,3.502353e-13,0.0019999966,nan,nan,nan,nan,nan,nan,nan,nan,0
3061107471,3061106996,2.8255533e-09,0.0019999985,6.0350735e-12,0.0019999994,nan,nan,nan,nan,nan,nan,nan,nan,0
3061205946,3061205651,1.5327677e-09,0.0019999982,1.2296722e-12,0.0020000006,nan,nan,nan,nan,nan,nan,nan,nan,0
3061307098,3061306803,0.0,0.0020000003,0.0,0.0020000003,nan,nan,nan,nan,nan,nan,nan,nan,0
3061405755,3061405458,0.0,0.0020000003,0.0,0.0020000003,nan,nan,nan,nan,nan,nan,nan,nan,0
3061506905,3061506611,0.0,0.0020000008,0.0,0.0020000008,nan,nan,nan,nan,nan,nan,nan,nan,0
3061608065,3061607764,0.0,0.0020000006,0.0,0.0020000006,nan,nan,nan,nan,nan,nan,nan,nan,0
3061706713,3061706419,1.9220974e-09,0.0020000022,3.0157144e-12,0.0019999966,nan,nan,nan,nan,nan,nan,nan,nan,0
3061807936,3061807571,0.0,0.002000001,0.0,0.0020000006,nan,nan,nan,nan,nan,nan,nan,nan,0
3061905282,3061904977,0.0,0.0020000003,0.0,0.0020000003,nan,nan,nan,nan,nan,nan,nan,nan,0
3062007681,3062007378,0.0,0.0019999996,0.0,0.0020000015,nan,nan,nan,nan,nan,nan,nan,nan,0
3062105088,3062104785,0.0,0.0020000006,0.0,0.0020000006,nan,nan,nan,nan,nan,nan,nan,nan,0
3062207484,3062207186,1.4353439e-10,0.0020000003,9.923772e-13,0.0020000003,nan,nan,nan,nan,nan,nan,nan,nan,0
3062308634,3062308339,0.0,0.0020000003,0.0,0.0020000003,nan,nan,nan,nan,nan,nan,nan,nan,0
3062406038,3062405745,0.0,0.0020000003,0.0,0.0020000003,nan,nan,nan,nan,nan,nan,nan,nan,0
3062508445,3062508146,0.0,0.0020000006,0.0,0.0020000006,nan,nan,nan,nan,nan,nan,nan,nan,0
3062605959,3062605552,3.0940621e-09,0.0019999982,1.9421178e-14,0.0019999992,nan,nan,nan,nan,nan,nan,nan,nan,0
3062707006,3062706705,2.5310039e-09,0.0019999985,5.146855e-13,0.0019999996,nan,nan,nan,nan,nan,nan,nan,nan,0
3062805661,3062805360,0.0,0.001999999,1.290573e-09,0.0020000003,nan,nan,nan,nan,nan,nan,nan,nan,0
3062906808,3062906512,3.474965e-10,0.0019999994,8.747369e-13,0.002,nan,nan,nan,nan,nan,nan,nan,nan,0
3063007967,3063007665,0.0,0.0020000008,1.5061232e-09,0.0019999985,nan,nan,nan,nan,nan,nan,nan,nan,0
3063106617,3063106320,1.8341795e-09,0.0019999985,6.9568552e-12,0.0020000003,nan,nan,nan,nan,nan,nan,nan,nan,0
3063207768,3063207473,1.9245475e-10,0.0020000006,5.63603e-12,0.0020000003,nan,nan,nan,nan,nan,nan,nan,nan,0
3063306435,3063306128,2.2884752e-09,0.0019999982,1.3412069e-13,0.002,nan,nan,nan,nan,nan,nan,nan,nan,0
3063407748,3063407280,0.0,0.0020000006,0.0,0.0020000006,nan,nan,nan,nan,nan,nan,nan,nan,0
3063504979,3063504686,5.241432e-10,0.0020000003,7.138858e-12,0.001999999,nan,nan,nan,nan,nan,nan,nan,nan,0
3063607398,3063607088,1.8226772e-09,0.0019999985,1.7940783e-12,0.0020000003,nan,nan,nan,nan,nan,nan,nan,nan,0
3063708543,3063708240,1.611248e-12,0.0020000008,1.3416086e-09,0.0019999985,nan,nan,nan,nan,nan,nan,nan,nan,0
3063805950,3063805647,0.0,0.0019999996,0.0,0.0020000015,nan,nan,nan,nan,nan,nan,nan,nan,0
3063908357,3063908048,9.948123e-11,0.0020000003,5.422209e-14,0.0020000003,nan,nan,nan,nan,nan,nan,nan,nan,0
3064005753,3064005454,0.0,0.0019999973,1.2787496e-09,0.0020000024,nan,nan,nan,nan,nan,nan,nan,nan,0
3064106963,3064106607,3.808555e-10,0.0020000003,6.023096e-12,0.0019999999,nan,nan,nan,nan,nan,nan,nan,nan,0
3064205564,3064205264,1.3518886e-09,0.0019999985,7.19781e-13,0.0020000008,nan,nan,nan,nan,nan,nan,nan,nan,0
3064306715,3064306414,0.0,0.0020000006,0.0,0.0020000006,nan,nan,nan,nan,nan,nan,nan,nan,0
3064405371,3064405070,0.0,0.0020000006,0.0,0.0020000006,nan,nan,nan,nan,nan,nan,nan,nan,0
3064506524,3064506222,2.519541e-09,0.0020000024,2.6081025e-12,0.001999996,nan,nan,nan,nan,nan,nan,nan,nan,0
3064607665,3064607375,1.3610906e-09,0.0019999985,6.662725e-13,0.0020000008,nan,nan,nan,nan,nan,nan,nan,nan,0
3064706339,3064706030,1.250195e-09,0.0019999987,6.3486716e-13,0.002000001,nan,nan,nan,nan,nan,nan,nan,nan,0
3064807483,3064807182,2.4948374e-10,0.0020000003,6.2253657e-12,0.002,nan,nan,nan,nan,nan,nan,nan,nan,0
3064904983,3064904589,8.301068e-10,0.0020000003,6.9521437e-12,0.0019999994,nan,nan,nan,nan,nan,nan,nan,nan,0
3065007285,3065006990,0.0,0.0019999999,4.765752e-10,0.0020000003,nan,nan,nan,nan,nan,nan,nan,nan,0
3065108444,3065108143,0.0,0.0020000008,0.0,0.0020000008,nan,nan,nan,nan,nan,nan,nan,nan,0
3065205850,3065205549,0.0,0.0019999994,1.0422809e-09,0.0020000003,nan,nan,nan,nan,nan,nan,nan,nan,0
3065308256,3065307950,3.4451634e-12,0.001999999,1.5407804e-09,0.0020000013,nan,nan,nan,nan,nan,nan,nan,nan,0
3065405660,3065405357,1.0783072e-09,0.0020000003,6.5432017e-12,0.0019999994,nan,nan,nan,nan,nan,nan,nan,nan,0
3065506808,3065506509,7.8954066e-12,0.0020000003,3.3282543e-12,0.0020000003,nan,nan,nan,nan,nan,nan,nan,nan,0
3065605461,3065605164,3.964533e-10,0.0020000003,1.8621884e-12,0.0019999999,nan,nan,nan,nan,nan,nan,nan,nan,0
3065706780,3065706317,0.0,0.0020000003,0.0,0.0020000003,nan,nan,nan,nan,nan,nan,nan,nan,0
3065807773,3065807470,2.1645832e-09,0.0019999985,1.8260532e-12,0.0019999999,nan,nan,nan,nan,nan,nan,nan,nan,0
3065906421,3065906125,0.0,0.0020000003,0.0,0.0020000003,nan,nan,nan,nan,nan,nan,nan,nan,0
3066007578,3066007277,0.0,0.0020000006,0.0,0.0020000008,nan,nan,nan,nan,nan,nan,nan,nan,0
3066106229,3066105932,2.676255e-12,0.0019999996,6.243942e-10,0.002000001,nan,nan,nan,nan,nan,nan,nan,nan,0
3066207382,3066207085,0.0,0.0019999994,8.1399776e-10,0.0020000003,nan,nan,nan,nan,nan,nan,nan,nan,0
3066304796,3066304491,6.6822464e-10,0.0020000003,5.817291e-13,0.0019999996,nan,nan,nan,nan,nan,nan,nan,nan,0
3066407250,3066406893,0.0,0.0020000006,0.0,0.002,nan,nan,nan,nan,nan,nan,nan,nan,0
3066508354,3066508045,4.5523163e-10,0.0020000003,1.576855e-12,0.0019999999,nan,nan,nan,nan,nan,nan,nan,nan,0
3066605747,3066605452,0.0,0.0020000003,0.0,0.0020000003,nan,nan,nan,nan,nan,nan,nan,nan,0
3066709400,3066709102,0.0,0.0020000003,0.0,0.0020000003,nan,nan,nan,nan,nan,nan,nan,nan,0
3066805564,3066805261,0.0,0.0020000003,1.1459633e-10,0.0020000003,nan,nan,nan,nan,nan,nan,nan,nan,0
3066907959,3066907661,2.7637187e-10,0.0020000003,5.7252814e-14,0.0019999999,nan,nan,nan,nan,nan,nan,nan,nan,0
3067005360,3067005067,0.0,0.0020000006,0.0,0.0020000006,nan,nan,nan,nan,nan,nan,nan,nan,0
3067106516,3067106220,0.0,0.0020000003,4.9112714e-11,0.0020000003,nan,nan,nan,nan,nan,nan,nan,nan,0
3067207773,3067207373,1.1209449e-09,0.0020000006,7.0522295e-12,0.0019999994,nan,nan,nan,nan,nan,nan,nan,nan,0
3067306326,3067306028,1.2295913e-09,0.0020000003,3.6607653e-12,0.0019999992,nan,nan,nan,nan,nan,nan,nan,nan,0
3067407486,3067407189,0.0,0.0020000003,0.0,0.0020000003,nan,nan,nan,nan,nan,nan,nan,nan,0
3067506140,3067505835,3.1608087e-09,0.0019999985,2.1163835e-12,0.001999999,nan,nan,nan,nan,nan,nan,nan,nan,0
3067607290,3067606988,1.8062316e-10,0.0020000003,1.1551829e-11,0.002,nan,nan,nan,nan,nan,nan,nan,nan,0
3067705945,3067705643,2.009521e-09,0.0019999985,6.597628e-12,0.0020000003,nan,nan,nan,nan,nan,nan,nan,nan,0
3067807097,3067806796,2.854366e-13,0.0019999968,1.5459983e-09,0.002000002,nan,nan,nan,nan,nan,nan,nan,nan,0
3067908249,3067907949,0.0,0.0020000006,0.0,0.0020000006,nan,nan,nan,nan,nan,nan,nan,nan,0
3068005801,3068005355,2.9507482e-12,0.0019999996,6.388089e-10,0.002000001,nan,nan,nan,nan,nan,nan,nan,nan,0
3068108070,3068107761,1.9293186e-10,0.0020000003,1.7594949e-12,0.0020000003,nan,nan,nan,nan,nan,nan,nan,nan,0
3068205465,3068205163,0.0,0.0020000006,0.0,0.0020000006,nan,nan,nan,nan,nan,nan,nan,nan,0
3068307876,3068307564,0.0,0.0020000006,0.0,0.0020000006,nan,nan,nan,nan,nan,nan,nan,nan,0
3068405276,3068404970,0.0,0.0020000006,0.0,0.0020000006,nan,nan,nan,nan,nan,nan,nan,nan,0
3068506419,3068506123,3.3655803e-10,0.002,2.7059947e-12,0.002,nan,nan,nan,nan,nan,nan,nan,nan,0
3068608840,3068608525,0.0,0.0019999994,8.3491614e-10,0.0020000003,nan,nan,nan,nan,nan,nan,nan,nan,0
3068706262,3068705931,5.2170507e-14,0.0019999968,1.535201e-09,0.0020000022,nan,nan,nan,nan,nan,nan,nan,nan,0
3068807391,3068807087,1.2293816e-09,0.0020000022,1.1041574e-11,0.0019999973,nan,nan,nan,nan,nan,nan,nan,nan,0
3068906037,3068905739,3.1186134e-10,0.0020000003,4.140393e-12,0.0019999999,nan,nan,nan,nan,nan,nan,nan,nan,0
3069007194,3069006892,1.796714e-09,0.0020000003,3.861754e-12,0.0019999966,nan,nan,nan,nan,nan,nan,nan,nan,0
3069105850,3069105547,8.167128e-10,0.0020000003,1.3649136e-11,0.0019999994,nan,nan,nan,nan,nan,nan,nan,nan,0
