timestamp,timestamp_sample,device_id,x,y,z,temperature,error_count,clip_counter[0],clip_counter[1],clip_counter[2],samples
3138977942,3138977629,3670026,0.01123854,-0.0046871635,-0.0053795855,36.520195,0,0,0,0,10
3139978282,3139977932,3670026,0.014860439,-0.0075633777,-0.002876214,36.57405,0,0,0,0,10
3140976127,3140975737,3670026,0.01107875,0.004314321,-0.007190535,36.50061,0,0,0,0,10
3141977640,3141977290,3670026,0.010226538,-0.0056991647,-0.0053263223,36.56426,0,0,0,0,10
3142977909,3142977592,3670026,0.011877699,-0.010759171,-0.0053263223,36.57405,0,0,0,0,10
3143975745,3143975398,3670026,0.011877699,-0.0022903185,-0.006231797,36.534885,0,0,0,0,10
3144976021,3144975704,3670026,0.010759171,0.0034621095,-0.0071372716,36.520195,0,0,0,0,10
3145977574,3145977254,3670026,0.009321064,-0.01304949,-0.005273059,36.588737,0,0,0,0,10
3146979119,3146978806,3670026,0.0026098979,-0.010066749,-0.0014913703,36.53978,0,0,0,0,10
3147975889,3147975364,3670026,0.014487596,0.0,-0.008788432,36.5153,0,0,0,0,10
3148977233,3148976917,3670026,0.010226538,-0.013635385,-0.0056459014,36.534885,0,0,0,0,10
3149977576,3149977222,3670026,0.008415589,-0.010386328,-0.0046871635,36.529987,0,0,0,0,10
3150975424,3150975029,3670026,0.00942759,-0.00037284257,-0.010918961,36.61322,0,0,0,0,10
3151976900,3151976583,3670026,0.0073503247,-0.011717909,-0.007723167,36.623013,0,0,0,0,10
3152977236,3152976888,3670026,0.0127831735,-0.011185276,-0.0049002166,36.61322,0,0,0,0,10
3153978753,3153978442,3670026,0.004101268,-0.0063915867,-0.0022370552,36.608322,0,0,0,0,10
3154976604,3154976250,3670026,0.008788432,-0.010546118,-0.0041545313,36.608322,0,0,0,0,10
3155976872,3155976556,3670026,0.00942759,-0.010120012,-0.0020772656,36.61322,0,0,0,0,10
3156978426,3156978111,3670026,0.004101268,-0.007723167,-0.0011185276,36.691555,0,0,0,0,10
3157975169,3157974670,3670026,0.012623384,-0.0012783173,-0.005432849,36.725826,0,0,0,0,10
3158976542,3158976225,3670026,0.005592638,-0.013688648,-0.0033023197,36.642593,0,0,0,0,10
3159978098,3159977781,3670026,0.0028229507,-0.0039947415,-0.0038882152,36.67687,0,0,0,0,10
3160978495,3160978087,3670026,0.005965481,-0.004740427,-0.0041545313,36.662178,0,0,0,0,10
3161976209,3161975897,3670026,0.00628506,-0.0121972775,-0.0029294773,36.642593,0,0,0,0,10
3162976550,3162976204,3670026,0.00495348,-0.013262542,-0.00063915865,36.627907,0,0,0,0,10
3163978110,3163977760,3670026,0.00628506,-0.0031957934,-0.0037816889,36.67197,0,0,0,0,10
3164975884,3164975570,3670026,0.0063383235,-0.010279802,-0.0010652645,36.618114,0,0,0,0,10
3165976229,3165975878,3670026,0.008149273,-0.00974717,-0.0056459014,36.70624,0,0,0,0,10
3166977770,3166977434,3670026,0.0044741104,-0.0044208476,-0.0040480047,36.701347,0,0,0,0,10
3167978254,3167977745,3670026,0.00793622,-0.001438107,-0.005752428,36.76989,0,0,0,0,10
3168975912,3168975553,3670026,0.008255799,-0.01257012,-0.0027164244,36.73562,0,0,0,0,10
3169977463,3169977110,3670026,-0.0013315806,0.0015446334,-0.003621899,36.681763,0,0,0,0,10
3170977810,3170977419,3670026,0.0061252704,0.036485307,-0.0068176924,36.755203,0,0,0,0,10
3171975581,3171975232,3670026,0.0028229507,-0.03222425,-0.015925704,36.82864,0,0,0,0,10
3172977143,3172976788,3670026,-0.0010652645,-0.0069774822,-0.005752428,36.799267,0,0,0,0,10
3173977422,3173977097,3670026,0.00958738,-0.014008228,-0.014434333,36.730724,0,0,0,0,10
3174978970,3174978656,3670026,0.008202536,0.024980452,-0.012996227,36.760098,0,0,0,0,10
3175975553,3175975221,3670026,0.007456851,-0.014061491,-0.0028229507,36.799267,0,0,0,0,10
3176977097,3176976778,3670026,0.0027696874,0.0044208476,-0.005432849,36.74541,0,0,0,0,10
3177978665,3177978337,3670026,0.011984225,-0.025566347,-0.0043675844,36.80416,0,0,0,0,10
3178975236,3178974900,3670026,0.0039947415,-0.028069718,0.001970739,36.823746,0,0,0,0,10
3179976778,3179976460,3670026,-5.3263222e-05,0.02514024,-0.0018109495,36.813953,0,0,0,0,10
3180977198,3180976775,3670026,0.0023435818,0.0561927,0.004580637,36.760098,0,0,0,0,10
3181978677,3181978330,3670026,0.015180019,-0.0040480047,-0.016511599,36.858017,0,0,0,0,10
3182976457,3182976143,3670026,0.0127831735,-0.03334278,-0.029933931,36.74541,0,0,0,0,10
3183976820,3183976455,3670026,0.007989483,0.0029827405,-0.0075633777,36.853123,0,0,0,0,10
3184978364,3184978015,3670026,0.007243798,0.01257012,-0.01304949,36.862915,0,0,0,0,10
3185977425,3185977077,3670026,0.008522116,0.0043675844,-0.0077764303,36.838432,0,0,0,0,10
