timestamp,roll_body,pitch_body,yaw_body,yaw_sp_move_rate,q_d[0],q_d[1],q_d[2],q_d[3],thrust_body[0],thrust_body[1],thrust_body[2],reset_integral,fw_control_yaw_wheel
3050104767,-0.0,-0.0,-0.06347722,0.0,0.9994964,-0.0,0.0,-0.031733282,0.0,0.0,-0.001,0,0
3050115908,-0.0,-0.0,-0.06347733,0.0,0.9994964,-0.0,0.0,-0.031733338,0.0,0.0,-0.001,0,0
3050155778,-0.0,-0.0,-0.063459165,0.0,0.99949664,-0.0,0.0,-0.031724263,0.0,0.0,-0.001,0,0
3050204621,-0.0,-0.0,-0.06347629,0.0,0.9994964,-0.0,0.0,-0.031732816,0.0,0.0,-0.001,0,0
3050255703,-0.0,-0.0,-0.063533686,0.0,0.9994955,-0.0,0.0,-0.031761497,0.0,0.0,-0.001,0,0
3050304641,-0.0,-0.0,-0.06356549,0.0,0.99949497,-0.0,0.0,-0.031777393,0.0,0.0,-0.001,0,0
3050355767,-0.0,-0.0,-0.06363283,0.0,0.9994939,-0.0,0.0,-0.031811047,0.0,0.0,-0.001,0,0
3050404556,-0.0,-0.0,-0.06367059,0.0,0.9994933,-0.0,0.0,-0.031829923,0.0,0.0,-0.001,0,0
3050455653,-0.0,-0.0,-0.063681535,0.0,0.9994931,-0.0,0.0,-0.03183539,0.0,0.0,-0.001,0,0
3050504469,-0.0,-0.0,-0.06368195,0.0,0.9994931,-0.0,0.0,-0.0318356,0.0,0.0,-0.001,0,0
3050555612,-0.0,-0.0,-0.06364905,0.0,0.99949366,-0.0,0.0,-0.031819154,0.0,0.0,-0.001,0,0
3050604311,-0.0,-0.0,-0.06360399,0.0,0.9994944,-0.0,0.0,-0.031796634,0.0,0.0,-0.001,0,0
3050655514,-0.0,-0.0,-0.06358077,0.0,0.99949473,-0.0,0.0,-0.031785034,0.0,0.0,-0.001,0,0
3050704214,-0.0,-0.0,-0.06359431,0.0,0.9994945,-0.0,0.0,-0.0317918,0.0,0.0,-0.001,0,0
3050755419,-0.0,-0.0,-0.063609265,0.0,0.99949425,-0.0,0.0,-0.03179927,0.0,0.0,-0.001,0,0
3050804213,-0.0,-0.0,-0.06361957,0.0,0.99949414,-0.0,0.0,-0.03180442,0.0,0.0,-0.001,0,0
3050855097,-0.0,-0.0,-0.06367772,0.0,0.9994932,-0.0,0.0,-0.031833485,0.0,0.0,-0.001,0,0
3050903936,-0.0,-0.0,-0.06370278,0.0,0.99949276,-0.0,0.0,-0.031846,0.0,0.0,-0.001,0,0
3050955033,-0.0,-0.0,-0.06372378,0.0,0.99949247,-0.0,0.0,-0.0318565,0.0,0.0,-0.001,0,0
3051003838,-0.0,-0.0,-0.06368878,0.0,0.999493,-0.0,0.0,-0.03183901,0.0,0.0,-0.001,0,0
3051054945,-0.0,-0.0,-0.06367675,0.0,0.9994932,-0.0,0.0,-0.031832997,0.0,0.0,-0.001,0,0
3051104037,-0.0,-0.0,-0.06362574,0.0,0.999494,-0.0,0.0,-0.03180751,0.0,0.0,-0.001,0,0
3051154864,-0.0,-0.0,-0.06356542,0.0,0.99949497,-0.0,0.0,-0.031777356,0.0,0.0,-0.001,0,0
3051203715,-0.0,-0.0,-0.06351062,0.0,0.99949586,-0.0,0.0,-0.031749975,0.0,0.0,-0.001,0,0
3051254836,-0.0,-0.0,-0.06346713,0.0,0.9994966,-0.0,0.0,-0.031728238,0.0,0.0,-0.001,0,0
3051303595,-0.0,-0.0,-0.063427836,0.0,0.9994972,-0.0,0.0,-0.0317086,0.0,0.0,-0.001,0,0
3051354653,-0.0,-0.0,-0.06340945,0.0,0.9994975,-0.0,0.0,-0.031699415,0.0,0.0,-0.001,0,0
3051403679,-0.0,-0.0,-0.063485,0.0,0.9994963,-0.0,0.0,-0.031737175,0.0,0.0,-0.001,0,0
3051454558,-0.0,-0.0,-0.06341,0.0,0.9994974,-0.0,0.0,-0.03169969,0.0,0.0,-0.001,0,0
3051503479,-0.0,-0.0,-0.063490346,0.0,0.99949616,-0.0,0.0,-0.031739846,0.0,0.0,-0.001,0,0
3051554489,-0.0,-0.0,-0.063510135,0.0,0.99949586,-0.0,0.0,-0.03174973,0.0,0.0,-0.001,0,0
