timestamp,timestamp_sample,control_mode_flags,output_tracking_error[0],output_tracking_error[1],output_tracking_error[2],filter_fault_flags,pos_horiz_accuracy,pos_vert_accuracy,mag_test_ratio,vel_test_ratio,pos_test_ratio,hgt_test_ratio,tas_test_ratio,hagl_test_ratio,beta_test_ratio,time_slip,accel_device_id,gyro_device_id,baro_device_id,mag_device_id,gps_check_fail_flags,innovation_check_flags,solution_status_flags,reset_count_vel_ne,reset_count_vel_d,reset_count_pos_ne,reset_count_pod_d,reset_count_quat,pre_flt_fail_innov_heading,pre_flt_fail_innov_vel_horiz,pre_flt_fail_innov_vel_vert,pre_flt_fail_innov_height,pre_flt_fail_mag_field_disturbed,health_flags,timeout_flags
3053502744,3053400678,4898947603,5.1219213e-05,0.00037594387,0.0014891031,0,0.011344713,0.26632208,0.016638696,nan,nan,0.009473652,0.0,0.0,0.0,0.019976,3670026,3670026,3997730,396825,0,0,165,3,1,3,1,1,0,0,0,0,0,0,0
3053702724,3053600485,4898947603,0.00014363558,0.00035743095,0.0024338567,0,0.011105705,0.2661867,0.03808904,nan,nan,0.00075627834,0.0,0.0,0.0,0.019976,3670026,3670026,3997730,396825,0,0,165,3,1,3,1,1,0,0,0,0,0,0,0
3053902458,3053800300,4898947603,2.0057183e-05,0.00045339766,0.003470419,0,0.010910266,0.26882768,0.010338849,nan,nan,0.0015895719,0.0,0.0,0.0,0.019976,3670026,3670026,3997730,396825,0,0,165,3,1,3,1,1,0,0,0,0,0,0,0
3054102113,3054000100,4898947603,9.984725e-06,0.0001231007,0.00085102004,0,0.016787034,0.26866212,0.04698777,nan,nan,0.0033060827,0.0,0.0,0.0,0.019976,3670026,3670026,3997730,396825,0,0,165,3,1,3,1,1,0,0,0,0,0,0,0
3054301859,3054199907,4898947603,0.00015272597,0.00023840513,0.0014918126,0,0.016432477,0.26849887,0.029912928,nan,nan,0.008805168,0.0,0.0,0.0,0.019976,3670026,3670026,3997730,396825,0,0,165,3,1,3,1,1,0,0,0,0,0,0,0
3054501788,3054399714,4898947603,6.1972576e-05,0.00030515104,0.0018891126,0,0.01608375,0.26833785,4.8152513e-05,nan,nan,0.0039230054,0.0,0.0,0.0,0.019976,3670026,3670026,3997730,396825,0,0,165,3,1,3,1,1,0,0,0,0,0,0,0
3054701529,3054599521,4898947603,0.00013121055,0.00027725185,0.0013002201,0,0.015740847,0.268179,0.05442994,nan,nan,0.003870191,0.0,0.0,0.0,0.019976,3670026,3670026,3997730,396825,0,0,165,3,1,3,1,1,0,0,0,0,0,0,0
3054901390,3054799328,4898947603,0.00014680623,0.00016132528,0.00026867853,0,0.01540377,0.2680223,0.021060016,nan,nan,0.0018717804,0.0,0.0,0.0,0.019976,3670026,3670026,3997730,396825,0,0,165,3,1,3,1,1,0,0,0,0,0,0,0
3055101175,3054999135,4898947603,8.871723e-05,0.00013996517,0.0011166114,0,0.01507252,0.2678677,0.015109767,nan,nan,0.00446221,0.0,0.0,0.0,0.019976,3670026,3670026,3997730,396825,0,0,165,3,1,3,1,1,0,0,0,0,0,0,0
3055300907,3055198943,4898947603,0.00012268136,8.146284e-05,0.000735435,0,0.014747296,0.26771516,0.027313052,nan,nan,0.0045285835,0.0,0.0,0.0,0.019976,3670026,3670026,3997730,396825,0,0,165,3,1,3,1,1,0,0,0,0,0,0,0
3055500637,3055398750,4898947603,6.226539e-05,0.00012743699,0.0011997474,0,0.014428187,0.26756465,0.033367552,nan,nan,0.002105283,0.0,0.0,0.0,0.019976,3670026,3670026,3997730,396825,0,0,165,3,1,3,1,1,0,0,0,0,0,0,0
3055700790,3055598557,4898947603,0.00011233628,0.00039797925,0.0039988505,0,0.014115281,0.2674111,0.0029097537,nan,nan,0.0004888916,0.0,0.0,0.0,0.019976,3670026,3670026,3997730,396825,0,0,165,3,1,3,1,1,0,0,0,0,0,0,0
