timestamp,rollspeed_integ,pitchspeed_integ,yawspeed_integ,wheel_rate_integ
3050105369,0.0,0.0,0.0,0.0
3050106619,0.0,0.0,0.0,0.0
3050306543,0.0,0.0,0.0,0.0
3050506230,0.0,0.0,0.0,0.0
3050706035,0.0,0.0,0.0,0.0
3050905849,0.0,0.0,0.0,0.0
3051108314,0.0,0.0,0.0,0.0
3051307952,0.0,0.0,0.0,0.0
3051507758,0.0,0.0,0.0,0.0
3051706314,0.0,0.0,0.0,0.0
3051906124,0.0,0.0,0.0,0.0
3052105928,0.0,0.0,0.0,0.0
3052305732,0.0,0.0,0.0,0.0
3052508042,0.0,0.0,0.0,0.0
3052707854,0.0,0.0,0.0,0.0
3052907656,0.0,0.0,0.0,0.0
3053106211,0.0,0.0,0.0,0.0
3053306024,0.0,0.0,0.0,0.0
3053505828,0.0,0.0,0.0,0.0
3053705634,0.0,0.0,0.0,0.0
3053907939,0.0,0.0,0.0,0.0
3054107785,0.0,0.0,0.0,0.0
3054307552,0.0,0.0,0.0,0.0
3054507363,0.0,0.0,0.0,0.0
3054705924,0.0,0.0,0.0,0.0
3054905823,0.0,0.0,0.0,0.0
3055105541,0.0,0.0,0.0,0.0
3055307839,0.0,0.0,0.0,0.0
3055507650,0.0,0.0,0.0,0.0
3055707601,0.0,0.0,0.0,0.0
3055907266,0.0,0.0,0.0,0.0
3056105818,0.0,0.0,0.0,0.0
3056305625,0.0,0.0,0.0,0.0
3056505440,0.0,0.0,0.0,0.0
3056707738,0.0,0.0,0.0,0.0
3056907543,0.0,0.0,0.0,0.0
3057107353,0.0,0.0,0.0,0.0
3057307162,0.0,0.0,0.0,0.0
3057505720,0.0,0.0,0.0,0.0
3057705532,0.0,0.0,0.0,0.0
3057905329,0.0,0.0,0.0,0.0
3058108887,0.0,0.0,0.0,0.0
3058307449,0.0,0.0,0.0,0.0
3058507260,0.0,0.0,0.0,0.0
3058707100,0.0,0.0,0.0,0.0
3058906876,0.0,0.0,0.0,0.0
3059105424,0.0,0.0,0.0,0.0
3059305242,0.0,0.0,0.0,0.0
3059505115,0.0,0.0,0.0,0.0
3059707350,0.0,0.0,0.0,0.0
3059907154,0.0,0.0,0.0,0.0
3060106958,0.0,0.0,0.0,0.0
3060306894,0.0,0.0,0.0,0.0
