timestamp,freefall,ground_contact,maybe_landed,landed,in_ground_effect,in_descend,has_low_throttle,vertical_movement,horizontal_movement,rotational_movement,close_to_ground_or_skipped_check,at_rest
3049845049,0,1,1,1,1,1,1,0,0,0,1,1
3050855145,0,1,1,1,1,1,1,0,0,0,1,1
3051863188,0,1,1,1,1,1,1,0,0,0,1,1
3052873265,0,1,1,1,1,1,1,0,0,0,1,1
3053882181,0,1,1,1,1,1,1,0,0,0,1,1
3054890398,0,1,1,1,1,1,1,0,0,0,1,1
3055900333,0,1,1,1,1,1,1,0,0,0,1,1
3056908240,0,1,1,1,1,1,1,0,0,0,1,1
3057918377,0,1,1,1,1,1,1,0,0,0,1,1
3058926310,0,1,1,1,1,1,1,0,0,0,1,1
3059936350,0,1,1,1,1,1,1,0,0,0,1,1
3060944283,0,1,1,1,1,1,1,0,0,0,1,1
3061954497,0,1,1,1,1,1,1,0,0,0,1,1
3062962418,0,1,1,1,1,1,1,0,0,0,1,1
3063962495,0,1,1,1,1,1,1,0,0,0,1,1
3064970464,0,1,1,1,1,1,1,0,0,0,1,1
3065980545,0,1,1,1,1,1,1,0,0,0,1,1
3066988516,0,1,1,1,1,1,1,0,0,0,1,1
3067998748,0,1,1,1,1,1,1,0,0,0,1,1
3069006779,0,1,1,1,1,1,1,0,0,0,1,1
3070016639,0,1,1,1,1,1,1,0,0,0,1,1
3071024677,0,1,1,1,1,1,1,0,0,0,1,1
3072034731,0,1,1,1,1,1,1,0,0,0,1,1
3073042718,0,1,1,1,1,1,1,0,0,0,1,1
3074042866,0,1,1,1,1,1,1,0,0,0,1,1
3075050844,0,1,1,1,1,1,1,0,0,0,1,1
3076060833,0,1,1,1,1,1,1,0,0,0,1,1
3077068895,0,1,1,1,1,1,1,0,0,0,1,1
3078079001,0,1,1,1,1,1,1,0,0,0,1,1
3079087147,0,1,1,1,1,1,1,0,0,0,1,1
3080097004,0,1,1,1,1,1,1,0,0,0,1,1
3081105024,0,1,1,1,1,1,1,0,0,0,1,1
3082115261,0,1,1,1,1,1,1,0,0,0,1,1
3083123177,0,1,1,1,1,1,1,0,0,0,1,1
3084133182,0,1,1,1,1,1,1,0,0,0,1,1
3085142178,0,1,1,1,1,1,1,0,0,0,1,1
3086150212,0,1,1,1,1,1,1,0,0,0,1,1
3087160194,0,1,1,1,1,1,1,0,0,0,1,1
3088168291,0,1,1,1,1,1,1,0,0,0,1,1
3089178265,0,1,1,1,1,1,1,0,0,0,1,1
3090186271,0,1,1,1,1,1,1,0,0,0,1,1
3091196485,0,1,1,1,1,1,1,0,0,0,1,1
3092204364,0,1,1,1,1,1,1,0,0,0,1,1
3093214597,0,1,1,1,1,1,1,0,0,0,1,1
3094222485,0,1,1,1,1,1,1,0,0,0,1,1
3095222586,0,1,1,1,1,1,1,0,0,0,1,1
3096230539,0,1,1,1,1,1,1,0,0,0,1,1
3097240793,0,1,1,1,1,1,1,0,0,0,1,1
3098248578,0,1,1,1,1,1,1,0,0,0,1,1
3099258585,0,1,1,1,1,1,1,0,0,0,1,1
3100266991,0,1,1,1,1,1,1,0,0,0,1,1
3101276822,0,1,1,1,1,1,1,0,0,0,1,1
3102284723,0,1,1,1,1,1,1,0,0,0,1,1
3103294964,0,1,1,1,1,1,1,0,0,0,1,1
3104302871,0,1,1,1,1,1,1,0,0,0,1,1
3105303028,0,1,1,1,1,1,1,0,0,0,1,1
3106310876,0,1,1,1,1,1,1,0,0,0,1,1
3107321039,0,1,1,1,1,1,1,0,0,0,1,1
3108329133,0,1,1,1,1,1,1,0,0,0,1,1
3109339105,0,1,1,1,1,1,1,0,0,0,1,1
3110347393,0,1,1,1,1,1,1,0,0,0,1,1
3111357135,0,1,1,1,1,1,1,0,0,0,1,1
3112365135,0,1,1,1,1,1,1,0,0,0,1,1
3113375409,0,1,1,1,1,1,1,0,0,0,1,1
3114383250,0,1,1,1,1,1,1,0,0,0,1,1
3115393327,0,1,1,1,1,1,1,0,0,0,1,1
3116402346,0,1,1,1,1,1,1,0,0,0,1,1
3117410466,0,1,1,1,1,1,1,0,0,0,1,1
3118420409,0,1,1,1,1,1,1,0,0,0,1,1
3119428435,0,1,1,1,1,1,1,0,0,0,1,1
3120438668,0,1,1,1,1,1,1,0,0,0,1,1
3121446636,0,1,1,1,1,1,1,0,0,0,1,1
3122456499,0,1,1,1,1,1,1,0,0,0,1,1
3123464610,0,1,1,1,1,1,1,0,0,0,1,1
3124474630,0,1,1,1,1,1,1,0,0,0,1,1
3125482664,0,1,1,1,1,1,1,0,0,0,1,1
3126482720,0,1,1,1,1,1,1,0,0,0,1,1
3127490893,0,1,1,1,1,1,1,0,0,0,1,1
3128500738,0,1,1,1,1,1,1,0,0,0,1,1
3129509106,0,1,1,1,1,1,1,0,0,0,1,1
3130518876,0,1,1,1,1,1,1,0,0,0,1,1
3131527081,0,1,1,1,1,1,1,0,0,0,1,1
3132536988,0,1,1,1,1,1,1,0,0,0,1,1
3133545111,0,1,1,1,1,1,1,0,0,0,1,1
3134555281,0,1,1,1,1,1,1,0,0,0,1,1
3135562985,0,1,1,1,1,1,1,0,0,0,1,1
3136573361,0,1,1,1,1,1,1,0,0,0,1,1
3137582202,0,1,1,1,1,1,1,0,0,0,1,1
3138590183,0,1,1,1,1,1,1,0,0,0,1,1
3139600368,0,1,1,1,1,1,1,0,0,0,1,1
3140608374,0,1,1,1,1,1,1,0,0,0,1,1
3141618310,0,1,1,1,1,1,1,0,0,0,1,1
3142626431,0,1,1,1,1,1,1,0,0,0,1,1
3143636465,0,1,1,1,1,1,1,0,0,0,1,1
3144644601,0,1,1,1,1,1,1,0,0,0,1,1
3145654742,0,1,1,1,1,1,1,0,0,0,1,1
3146662615,0,1,1,1,1,1,1,0,0,0,1,1
3147662795,0,1,1,1,1,1,1,0,0,0,1,1
3148670769,0,1,1,1,1,1,1,0,0,0,1,1
3149680854,0,1,1,1,1,1,1,0,0,0,1,1
3150688845,0,1,1,1,1,1,1,0,0,0,1,1
3151698758,0,1,1,1,1,1,1,0,0,0,1,1
3152706906,0,1,1,1,1,1,1,0,0,0,1,1
3153716913,0,1,1,1,1,1,1,0,0,0,1,1
3154725053,0,1,1,1,1,1,1,0,0,0,1,1
3155735025,0,1,1,1,1,1,1,0,0,0,1,1
3156743098,0,1,1,1,1,1,1,0,0,0,1,1
3157753304,0,1,1,1,1,1,1,0,0,0,1,1
3158762318,0,1,1,1,1,1,1,0,0,0,1,1
3159770416,0,1,1,1,1,1,1,0,0,0,1,1
3160780400,0,1,1,1,1,1,1,0,0,0,1,1
3161788400,0,1,1,1,1,1,1,0,0,0,1,1
3162798646,0,1,1,1,1,1,1,0,0,0,1,1
3163806438,0,1,1,1,1,1,1,0,0,0,1,1
3164816781,0,1,1,1,1,1,1,0,0,0,1,1
3165824623,0,1,1,1,1,1,1,0,0,0,1,1
3166834619,0,1,1,1,1,1,1,0,0,0,1,1
3167842678,0,1,1,1,1,1,1,0,0,0,1,1
3168842791,0,1,1,1,1,1,1,0,0,0,1,1
3169850849,0,1,1,1,1,1,1,0,0,0,1,1
3170860694,0,1,1,1,1,1,1,0,0,0,1,1
3171409313,0,1,1,1,1,1,1,0,0,0,1,0
3172419251,0,1,1,1,1,1,1,0,0,0,1,0
3172847915,0,1,1,1,1,1,1,0,0,0,1,1
3173857977,0,1,1,1,1,1,1,0,0,0,1,1
3174166673,0,1,1,1,1,1,1,0,0,0,1,0
3175176977,0,1,1,1,1,1,1,0,0,0,1,0
3175585574,0,1,1,1,1,1,1,0,0,0,1,1
3176595486,0,1,1,1,1,1,1,0,0,0,1,1
3177603466,0,1,1,1,1,1,1,0,0,0,1,1
3177614422,0,1,1,1,1,1,1,0,0,0,1,0
3178622433,0,1,1,1,1,1,1,0,0,0,1,0
3179622528,0,1,1,1,1,1,1,0,0,0,1,0
3180630746,0,1,1,1,1,1,1,0,0,0,1,0
3181640574,0,1,1,1,1,1,1,0,0,0,1,0
3182648932,0,1,1,1,1,1,1,0,0,0,1,0
3183658753,0,1,1,1,1,1,1,0,0,0,1,0
3184447023,0,1,1,1,1,1,1,0,0,0,1,1
3185457087,0,1,1,1,1,1,1,0,0,0,1,1
3185466041,0,1,1,1,1,1,1,0,0,0,1,0
3186476209,0,1,1,1,1,1,1,0,0,0,1,0
3186545105,0,1,1,1,1,1,1,0,0,0,1,1
3187555086,0,1,1,1,1,1,1,0,0,0,1,1
3188563143,0,1,1,1,1,1,1,0,0,0,1,1
3189573211,0,1,1,1,1,1,1,0,0,0,1,1
3190582369,0,1,1,1,1,1,1,0,0,0,1,1
3191590359,0,1,1,1,1,1,1,0,0,0,1,1
3192600411,0,1,1,1,1,1,1,0,0,0,1,1
3193608378,0,1,1,1,1,1,1,0,0,0,1,1
3194618443,0,1,1,1,1,1,1,0,0,0,1,1
3195626601,0,1,1,1,1,1,1,0,0,0,1,1
3196636759,0,1,1,1,1,1,1,0,0,0,1,1
3197644636,0,1,1,1,1,1,1,0,0,0,1,1
3198654718,0,1,1,1,1,1,1,0,0,0,1,1
3199662806,0,1,1,1,1,1,1,0,0,0,1,1
3200662982,0,1,1,1,1,1,1,0,0,0,1,1
3201670756,0,1,1,1,1,1,1,0,0,0,1,1
3202681254,0,1,1,1,1,1,1,0,0,0,1,1
3203688960,0,1,1,1,1,1,1,0,0,0,1,1
3204699009,0,1,1,1,1,1,1,0,0,0,1,1
3205707129,0,1,1,1,1,1,1,0,0,0,1,1
3206717172,0,1,1,1,1,1,1,0,0,0,1,1
3207725126,0,1,1,1,1,1,1,0,0,0,1,1
3208735604,0,1,1,1,1,1,1,0,0,0,1,1
3209743566,0,1,1,1,1,1,1,0,0,0,1,1
3210753323,0,1,1,1,1,1,1,0,0,0,1,1
3211762557,0,1,1,1,1,1,1,0,0,0,1,1
3212770453,0,1,1,1,1,1,1,0,0,0,1,1
3213780585,0,1,1,1,1,1,1,0,0,0,1,1
3214788551,0,1,1,1,1,1,1,0,0,0,1,1
3215798829,0,1,1,1,1,1,1,0,0,0,1,1
