timestamp,position[0],position[1],position[2],velocity[0],velocity[1],velocity[2],acceleration[0],acceleration[1],acceleration[2],jerk[0],jerk[1],jerk[2],yaw,yawspeed
3061295033,nan,nan,nan,nan,nan,0.7,0.0,0.0,nan,nan,nan,nan,-0.064997174,nan
3061494650,nan,nan,nan,nan,nan,0.7,0.0,0.0,nan,nan,nan,nan,-0.06489064,nan
3061694532,nan,nan,nan,nan,nan,0.7,0.0,0.0,nan,nan,nan,nan,-0.06502916,nan
3061894360,nan,nan,nan,nan,nan,0.7,0.0,0.0,nan,nan,nan,nan,-0.06506004,nan
3062094387,nan,nan,nan,nan,nan,0.7,0.0,0.0,nan,nan,nan,nan,-0.06493062,nan
3062294110,nan,nan,nan,nan,nan,0.7,0.0,0.0,nan,nan,nan,nan,-0.06495578,nan
3062493704,nan,nan,nan,nan,nan,0.7,0.0,0.0,nan,nan,nan,nan,-0.06492544,nan
3062693572,nan,nan,nan,nan,nan,0.7,0.0,0.0,nan,nan,nan,nan,-0.06483696,nan
3062893451,nan,nan,nan,nan,nan,0.7,0.0,0.0,nan,nan,nan,nan,-0.06496076,nan
3063093136,nan,nan,nan,nan,nan,0.7,0.0,0.0,nan,nan,nan,nan,-0.06498573,nan
3063293111,nan,nan,nan,nan,nan,0.7,0.0,0.0,nan,nan,nan,nan,-0.06508667,nan
3063502898,nan,nan,nan,nan,nan,0.7,0.0,0.0,nan,nan,nan,nan,-0.065247424,nan
3063702603,nan,nan,nan,nan,nan,0.7,0.0,0.0,nan,nan,nan,nan,-0.06504851,nan
3063902427,nan,nan,nan,nan,nan,0.7,0.0,0.0,nan,nan,nan,nan,-0.06506991,nan
3064102328,nan,nan,nan,nan,nan,0.7,0.0,0.0,nan,nan,nan,nan,-0.06515456,nan
3064302268,nan,nan,nan,nan,nan,0.7,0.0,0.0,nan,nan,nan,nan,-0.06508612,nan
3064501841,nan,nan,nan,nan,nan,0.7,0.0,0.0,nan,nan,nan,nan,-0.065154776,nan
3064701699,nan,nan,nan,nan,nan,0.7,0.0,0.0,nan,nan,nan,nan,-0.06510199,nan
3064901468,nan,nan,nan,nan,nan,0.7,0.0,0.0,nan,nan,nan,nan,-0.06493808,nan
3065101281,nan,nan,nan,nan,nan,0.7,0.0,0.0,nan,nan,nan,nan,-0.06495572,nan
3065301195,nan,nan,nan,nan,nan,0.7,0.0,0.0,nan,nan,nan,nan,-0.064974345,nan
3065500965,nan,nan,nan,nan,nan,0.7,0.0,0.0,nan,nan,nan,nan,-0.06489248,nan
3065700875,nan,nan,nan,nan,nan,0.7,0.0,0.0,nan,nan,nan,nan,-0.06500801,nan
3065900503,nan,nan,nan,nan,nan,0.7,0.0,0.0,nan,nan,nan,nan,-0.065023586,nan
3066100211,nan,nan,nan,nan,nan,0.7,0.0,0.0,nan,nan,nan,nan,-0.06503915,nan
3066300010,nan,nan,nan,nan,nan,0.7,0.0,0.0,nan,nan,nan,nan,-0.06515917,nan
3066500169,nan,nan,nan,nan,nan,0.7,0.0,0.0,nan,nan,nan,nan,-0.0651521,nan
