timestamp,imbalanced_prop_metric,motor_failure_mask,fd_roll,fd_pitch,fd_alt,fd_ext,fd_arm_escs,fd_battery,fd_imbalanced_prop,fd_motor
3049931290,0.0023487264,0,0,0,0,0,0,0,0,0
3050431527,0.0028643077,0,0,0,0,0,0,0,0,0
3050941291,0.0032016058,0,0,0,0,0,0,0,0,0
3051451351,0.003336216,0,0,0,0,0,0,0,0,0
3051963286,0.006287305,0,0,0,0,0,0,0,0,0
3052473879,0.0067459154,0,0,0,0,0,0,0,0,0
3052974441,0.006487014,0,0,0,0,0,0,0,0,0
3053484392,0.005980178,0,0,0,0,0,0,0,0,0
3053995811,0.007805355,0,0,0,0,0,0,0,0,0
3054505604,0.0065203514,0,0,0,0,0,0,0,0,0
3055016545,0.0063844174,0,0,0,0,0,0,0,0,0
3055526543,0.00639227,0,0,0,0,0,0,0,0,0
3056037359,0.006370217,0,0,0,0,0,0,0,0,0
3056547287,0.0061341417,0,0,0,0,0,0,0,0,0
3057060026,0.007503637,0,0,0,0,0,0,0,0,0
3057569330,0.0070706955,0,0,0,0,0,0,0,0,0
3058080367,0.0075868857,0,0,0,0,0,0,0,0,0
3058591397,0.007222783,0,0,0,0,0,0,0,0,0
3059101328,0.0068315472,0,0,0,0,0,0,0,0,0
3059611361,0.008843222,0,0,0,0,0,0,0,0,0
3060122287,0.008367338,0,0,0,0,0,0,0,0,0
3060632287,0.00800254,0,0,0,0,0,0,0,0,0
3061132433,0.007616251,0,0,0,0,0,0,0,0,0
3061644510,0.0074512223,0,0,0,0,0,0,0,0,0
3062154646,0.008315986,0,0,0,0,0,0,0,0,0
3062664314,0.008998759,0,0,0,0,0,0,0,0,0
3063175837,0.00938936,0,0,0,0,0,0,0,0,0
3063684396,0.009754216,0,0,0,0,0,0,0,0,0
3064184314,0.010388041,0,0,0,0,0,0,0,0,0
3064694290,0.00999045,0,0,0,0,0,0,0,0,0
3065194352,0.00864023,0,0,0,0,0,0,0,0,0
