timestamp,command,result_param2,result,result_param1,target_system,target_component,from_external
3455399,512,0,0,0,255,190,0
2951882186,512,0,0,0,255,190,0
2952102226,512,0,0,0,255,190,0
2952127587,512,0,0,0,255,190,0
