timestamp,accel_device_id_primary,accel_device_ids[0],accel_device_ids[1],accel_device_ids[2],accel_device_ids[3],accel_inconsistency_m_s_s[0],accel_inconsistency_m_s_s[1],accel_inconsistency_m_s_s[2],accel_inconsistency_m_s_s[3],gyro_device_id_primary,gyro_device_ids[0],gyro_device_ids[1],gyro_device_ids[2],gyro_device_ids[3],gyro_inconsistency_rad_s[0],gyro_inconsistency_rad_s[1],gyro_inconsistency_rad_s[2],gyro_inconsistency_rad_s[3],accel_healthy[0],accel_healthy[1],accel_healthy[2],accel_healthy[3],accel_priority[0],accel_priority[1],accel_priority[2],accel_priority[3],gyro_healthy[0],gyro_healthy[1],gyro_healthy[2],gyro_healthy[3],gyro_priority[0],gyro_priority[1],gyro_priority[2],gyro_priority[3]
3050104364,3670026,3670026,3932170,0,0,0.03667787,0.036677875,0.0,0.0,3670026,3670026,3932170,0,0,0.001872518,0.0018725179,0.0,0.0,1,1,0,0,50,50,0,0,1,1,0,0,50,50,0,0
3050109358,3670026,3670026,3932170,0,0,0.036812004,0.036812004,0.0,0.0,3670026,3670026,3932170,0,0,0.0018189901,0.00181899,0.0,0.0,1,1,0,0,50,50,0,0,1,1,0,0,50,50,0,0
3050304279,3670026,3670026,3932170,0,0,0.03646944,0.036469433,0.0,0.0,3670026,3670026,3932170,0,0,0.0017868292,0.0017868292,0.0,0.0,1,1,0,0,50,50,0,0,1,1,0,0,50,50,0,0
3050504103,3670026,3670026,3932170,0,0,0.033568308,0.033568293,0.0,0.0,3670026,3670026,3932170,0,0,0.0019330409,0.0019330409,0.0,0.0,1,1,0,0,50,50,0,0,1,1,0,0,50,50,0,0
3050703767,3670026,3670026,3932170,0,0,0.03549477,0.035494756,0.0,0.0,3670026,3670026,3932170,0,0,0.0020716756,0.0020716758,0.0,0.0,1,1,0,0,50,50,0,0,1,1,0,0,50,50,0,0
3050903572,3670026,3670026,3932170,0,0,0.03337344,0.033373438,0.0,0.0,3670026,3670026,3932170,0,0,0.0019186874,0.0019186873,0.0,0.0,1,1,0,0,50,50,0,0,1,1,0,0,50,50,0,0
3051108560,3670026,3670026,3932170,0,0,0.03162003,0.03162003,0.0,0.0,3670026,3670026,3932170,0,0,0.0021060433,0.0021060433,0.0,0.0,1,1,0,0,50,50,0,0,1,1,0,0,50,50,0,0
3051308323,3670026,3670026,3932170,0,0,0.030931016,0.030931018,0.0,0.0,3670026,3670026,3932170,0,0,0.002050766,0.002050766,0.0,0.0,1,1,0,0,50,50,0,0,1,1,0,0,50,50,0,0
3051508027,3670026,3670026,3932170,0,0,0.035619173,0.035619184,0.0,0.0,3670026,3670026,3932170,0,0,0.0019733647,0.0019733647,0.0,0.0,1,1,0,0,50,50,0,0,1,1,0,0,50,50,0,0
3051702809,3670026,3670026,3932170,0,0,0.034964055,0.034964055,0.0,0.0,3670026,3670026,3932170,0,0,0.0019913875,0.0019913875,0.0,0.0,1,1,0,0,50,50,0,0,1,1,0,0,50,50,0,0
3051902675,3670026,3670026,3932170,0,0,0.036583573,0.036583576,0.0,0.0,3670026,3670026,3932170,0,0,0.002072519,0.002072519,0.0,0.0,1,1,0,0,50,50,0,0,1,1,0,0,50,50,0,0
3052102484,3670026,3670026,3932170,0,0,0.03519089,0.035190873,0.0,0.0,3670026,3670026,3932170,0,0,0.0020133713,0.0020133713,0.0,0.0,1,1,0,0,50,50,0,0,1,1,0,0,50,50,0,0
3052302223,3670026,3670026,3932170,0,0,0.035484146,0.035484135,0.0,0.0,3670026,3670026,3932170,0,0,0.0019507634,0.0019507634,0.0,0.0,1,1,0,0,50,50,0,0,1,1,0,0,50,50,0,0
3052507055,3670026,3670026,3932170,0,0,0.032506786,0.032506756,0.0,0.0,3670026,3670026,3932170,0,0,0.001994199,0.001994199,0.0,0.0,1,1,0,0,50,50,0,0,1,1,0,0,50,50,0,0
3052706909,3670026,3670026,3932170,0,0,0.030877713,0.030877706,0.0,0.0,3670026,3670026,3932170,0,0,0.0019437474,0.0019437475,0.0,0.0,1,1,0,0,50,50,0,0,1,1,0,0,50,50,0,0
3052906675,3670026,3670026,3932170,0,0,0.032557666,0.03255768,0.0,0.0,3670026,3670026,3932170,0,0,0.0020566753,0.0020566753,0.0,0.0,1,1,0,0,50,50,0,0,1,1,0,0,50,50,0,0
3053106439,3670026,3670026,3932170,0,0,0.030429166,0.030429171,0.0,0.0,3670026,3670026,3932170,0,0,0.0018778357,0.0018778357,0.0,0.0,1,1,0,0,50,50,0,0,1,1,0,0,50,50,0,0
3053306267,3670026,3670026,3932170,0,0,0.031175693,0.031175684,0.0,0.0,3670026,3670026,3932170,0,0,0.0019103595,0.0019103595,0.0,0.0,1,1,0,0,50,50,0,0,1,1,0,0,50,50,0,0
3053506189,3670026,3670026,3932170,0,0,0.031844124,0.031844128,0.0,0.0,3670026,3670026,3932170,0,0,0.0018855232,0.0018855232,0.0,0.0,1,1,0,0,50,50,0,0,1,1,0,0,50,50,0,0
3053706093,3670026,3670026,3932170,0,0,0.033068918,0.033068933,0.0,0.0,3670026,3670026,3932170,0,0,0.0018151039,0.001815104,0.0,0.0,1,1,0,0,50,50,0,0,1,1,0,0,50,50,0,0
3053905660,3670026,3670026,3932170,0,0,0.036263093,0.036263097,0.0,0.0,3670026,3670026,3932170,0,0,0.0018172424,0.0018172424,0.0,0.0,1,1,0,0,50,50,0,0,1,1,0,0,50,50,0,0
3054105518,3670026,3670026,3932170,0,0,0.035887647,0.035887618,0.0,0.0,3670026,3670026,3932170,0,0,0.0017846287,0.0017846288,0.0,0.0,1,1,0,0,50,50,0,0,1,1,0,0,50,50,0,0
3054305378,3670026,3670026,3932170,0,0,0.034973137,0.034973137,0.0,0.0,3670026,3670026,3932170,0,0,0.0018313748,0.0018313748,0.0,0.0,1,1,0,0,50,50,0,0,1,1,0,0,50,50,0,0
3054505213,3670026,3670026,3932170,0,0,0.03324964,0.033249624,0.0,0.0,3670026,3670026,3932170,0,0,0.0017129624,0.0017129624,0.0,0.0,1,1,0,0,50,50,0,0,1,1,0,0,50,50,0,0
3054704901,3670026,3670026,3932170,0,0,0.032309804,0.032309778,0.0,0.0,3670026,3670026,3932170,0,0,0.0018822546,0.0018822546,0.0,0.0,1,1,0,0,50,50,0,0,1,1,0,0,50,50,0,0
3054904804,3670026,3670026,3932170,0,0,0.032263998,0.032264017,0.0,0.0,3670026,3670026,3932170,0,0,0.0017969196,0.0017969196,0.0,0.0,1,1,0,0,50,50,0,0,1,1,0,0,50,50,0,0
3055104575,3670026,3670026,3932170,0,0,0.030672044,0.030672083,0.0,0.0,3670026,3670026,3932170,0,0,0.0018328573,0.0018328574,0.0,0.0,1,1,0,0,50,50,0,0,1,1,0,0,50,50,0,0
3055304332,3670026,3670026,3932170,0,0,0.0322154,0.032215405,0.0,0.0,3670026,3670026,3932170,0,0,0.0019125277,0.0019125278,0.0,0.0,1,1,0,0,50,50,0,0,1,1,0,0,50,50,0,0
3055504175,3670026,3670026,3932170,0,0,0.032522447,0.032522444,0.0,0.0,3670026,3670026,3932170,0,0,0.0020535877,0.0020535877,0.0,0.0,1,1,0,0,50,50,0,0,1,1,0,0,50,50,0,0
3055704072,3670026,3670026,3932170,0,0,0.033251405,0.033251394,0.0,0.0,3670026,3670026,3932170,0,0,0.0018640183,0.0018640183,0.0,0.0,1,1,0,0,50,50,0,0,1,1,0,0,50,50,0,0
3055903817,3670026,3670026,3932170,0,0,0.032324754,0.032324765,0.0,0.0,3670026,3670026,3932170,0,0,0.0018876982,0.0018876982,0.0,0.0,1,1,0,0,50,50,0,0,1,1,0,0,50,50,0,0
3056103556,3670026,3670026,3932170,0,0,0.032995913,0.03299592,0.0,0.0,3670026,3670026,3932170,0,0,0.0019657582,0.0019657584,0.0,0.0,1,1,0,0,50,50,0,0,1,1,0,0,50,50,0,0
3056303369,3670026,3670026,3932170,0,0,0.03284798,0.032847982,0.0,0.0,3670026,3670026,3932170,0,0,0.0018738285,0.0018738286,0.0,0.0,1,1,0,0,50,50,0,0,1,1,0,0,50,50,0,0
3056503358,3670026,3670026,3932170,0,0,0.032510538,0.032510538,0.0,0.0,3670026,3670026,3932170,0,0,0.0018686797,0.0018686797,0.0,0.0,1,1,0,0,50,50,0,0,1,1,0,0,50,50,0,0
3056708038,3670026,3670026,3932170,0,0,0.035518862,0.035518862,0.0,0.0,3670026,3670026,3932170,0,0,0.0017263663,0.0017263662,0.0,0.0,1,1,0,0,50,50,0,0,1,1,0,0,50,50,0,0
3056907767,3670026,3670026,3932170,0,0,0.03248219,0.03248219,0.0,0.0,3670026,3670026,3932170,0,0,0.0018966488,0.0018966488,0.0,0.0,1,1,0,0,50,50,0,0,1,1,0,0,50,50,0,0
3057107582,3670026,3670026,3932170,0,0,0.033017352,0.033017356,0.0,0.0,3670026,3670026,3932170,0,0,0.001829915,0.0018299151,0.0,0.0,1,1,0,0,50,50,0,0,1,1,0,0,50,50,0,0
3057307458,3670026,3670026,3932170,0,0,0.031181427,0.03118144,0.0,0.0,3670026,3670026,3932170,0,0,0.0018358044,0.0018358044,0.0,0.0,1,1,0,0,50,50,0,0,1,1,0,0,50,50,0,0
3057502340,3670026,3670026,3932170,0,0,0.030984562,0.030984571,0.0,0.0,3670026,3670026,3932170,0,0,0.0018929936,0.0018929936,0.0,0.0,1,1,0,0,50,50,0,0,1,1,0,0,50,50,0,0
3057702009,3670026,3670026,3932170,0,0,0.03293977,0.03293978,0.0,0.0,3670026,3670026,3932170,0,0,0.0019386312,0.0019386312,0.0,0.0,1,1,0,0,50,50,0,0,1,1,0,0,50,50,0,0
