timestamp,timestamp_sample,gyro_device_id,gyro_bias[0],gyro_bias[1],gyro_bias[2],gyro_bias_limit,gyro_bias_variance[0],gyro_bias_variance[1],gyro_bias_variance[2],accel_device_id,accel_bias[0],accel_bias[1],accel_bias[2],accel_bias_limit,accel_bias_variance[0],accel_bias_variance[1],accel_bias_variance[2],mag_device_id,mag_bias[0],mag_bias[1],mag_bias[2],mag_bias_limit,mag_bias_variance[0],mag_bias_variance[1],mag_bias_variance[2],gyro_bias_valid,gyro_bias_stable,accel_bias_valid,accel_bias_stable,mag_bias_valid,mag_bias_stable
3064661892,3064559920,3670026,0.0018140943,0.0017785557,0.0019849883,0.15,1.7707595e-07,1.7691161e-07,4.3132883e-07,3670026,0.015669625,0.056409232,-0.024231063,0.4,0.0005029466,0.00050294714,0.0005009638,396825,0.0,0.0,0.0,0.5,0.0025000002,0.0025000002,0.0025000002,1,1,1,1,1,0
3065669973,3065568949,3670026,0.0018128655,0.0017766777,0.0019820218,0.15,1.7667479e-07,1.7650926e-07,4.309656e-07,3670026,0.01566884,0.05640974,-0.02411988,0.4,0.00050303526,0.0005030358,0.0005009616,396825,0.0,0.0,0.0,0.5,0.0025000002,0.0025000002,0.0025000002,1,1,1,1,1,0
3066679925,3066577978,3670026,0.0018158912,0.0017718897,0.0019832228,0.15,1.7837058e-07,1.7820322e-07,4.313486e-07,3670026,0.01566704,0.056408513,-0.02412953,0.4,0.00050312467,0.0005031252,0.0005009634,396825,0.0,0.0,0.0,0.5,0.0025000002,0.0025000002,0.0025000002,1,1,1,1,1,0
3067687991,3067587007,3670026,0.0018192008,0.0017623025,0.0019763382,0.15,1.7797468e-07,1.7780327e-07,4.309838e-07,3670026,0.015663678,0.056407336,-0.024144437,0.4,0.00050321437,0.0005032149,0.0005009645,396825,0.0,0.0,0.0,0.5,0.0025000002,0.0025000002,0.0025000002,1,1,1,1,1,0
3068697961,3068596037,3670026,0.0018220556,0.0017589703,0.0019785506,0.15,1.7757442e-07,1.77402e-07,4.3136697e-07,3670026,0.015662614,0.056406286,-0.024110558,0.4,0.0005033035,0.000503304,0.000500964,396825,0.0,0.0,0.0,0.5,0.0025000002,0.0025000002,0.0025000002,1,1,1,1,1,0
3069706117,3069605067,3670026,0.0018267948,0.0017577941,0.0019813897,0.15,1.7717333e-07,1.7700111e-07,4.3100633e-07,3670026,0.015662344,0.056404766,-0.02414847,0.4,0.00050339306,0.0005033936,0.0005009602,396825,0.0,0.0,0.0,0.5,0.0025000002,0.0025000002,0.0025000002,1,1,1,1,1,0
3070716167,3070614097,3670026,0.0018300695,0.0017560435,0.0019779895,0.15,1.7677294e-07,1.7660028e-07,4.313892e-07,3670026,0.015661813,0.05640381,-0.024197591,0.4,0.00050348253,0.00050348305,0.00050095987,396825,0.0,0.0,0.0,0.5,0.0025000002,0.0025000002,0.0025000002,1,1,1,1,1,0
3071723972,3071623126,3670026,0.0018312836,0.0017527217,0.0019765755,0.15,1.7846865e-07,1.7829684e-07,4.310285e-07,3670026,0.015660917,0.05640355,-0.024269242,0.4,0.00050357357,0.0005035741,0.0005009617,396825,0.0,0.0,0.0,0.5,0.0025000002,0.0025000002,0.0025000002,1,1,1,1,1,0
3072734209,3072632157,3670026,0.0018343469,0.0017521974,0.0019775187,0.15,1.7806987e-07,1.7789819e-07,4.3141267e-07,3670026,0.01566077,0.056402765,-0.02430826,0.4,0.0005036632,0.00050366373,0.00050096115,396825,0.0,0.0,0.0,0.5,0.0025000002,0.0025000002,0.0025000002,1,1,1,1,1,0
3073742171,3073641187,3670026,0.0018355075,0.001752681,0.0019516139,0.15,1.7766912e-07,1.7749875e-07,4.3105166e-07,3670026,0.015660746,0.056402702,-0.024270058,0.4,0.000503754,0.00050375453,0.0005009626,396825,0.0,0.0,0.0,0.5,0.0025000002,0.0025000002,0.0025000002,1,1,1,1,1,0
