timestamp,timestamp_sample,accel_device_id,gyro_device_id,delta_angle[0],delta_angle[1],delta_angle[2],delta_velocity[0],delta_velocity[1],delta_velocity[2],delta_angle_dt,delta_velocity_dt,delta_angle_clipping,delta_velocity_clipping,accel_calibration_count,gyro_calibration_count
3068956166,3068955692,3670026,3670026,3.536404e-07,-9.23235e-06,2.0709449e-05,0.0015318944,-1.2569273e-05,-0.04890797,4996,4996,0,0,1,1
3069455660,3069455210,3670026,3670026,1.9811005e-05,-1.440334e-06,9.1411874e-07,0.0016195325,-0.00013092005,-0.04906533,4995,4995,0,0,1,1
3069955168,3069954731,3670026,3670026,-3.002471e-06,-1.27854155e-05,1.5920052e-05,0.0017517222,-0.00013783312,-0.049183074,4996,4996,0,0,1,1
3070454694,3070454250,3670026,3670026,1.0297219e-05,2.9600975e-05,9.068556e-06,0.0013522279,-3.7357444e-05,-0.04905276,4995,4995,0,0,1,1
3070954227,3070953770,3670026,3670026,5.2055298e-06,-9.6041595e-06,1.2095237e-05,0.0012816762,-0.0001677165,-0.049072806,4995,4995,0,0,1,1
3071453724,3071453290,3670026,3670026,1.4120406e-05,3.0739626e-05,5.627123e-07,0.0014419921,-6.1375154e-05,-0.04915956,4995,4995,0,0,1,1
3071958263,3071957805,3670026,3670026,1.4596715e-05,3.616075e-05,3.9489014e-06,0.0013240742,-0.00016650505,-0.04912614,4995,4995,0,0,1,1
3072457754,3072457325,3670026,3670026,6.4670867e-06,-2.2708418e-05,1.6818249e-05,0.0014556842,-0.00010014203,-0.049156204,4995,4995,0,0,1,1
3072957276,3072956845,3670026,3670026,3.2139505e-06,1.82027e-05,1.1627453e-05,0.0015427026,-9.384678e-05,-0.048982795,4995,4995,0,0,1,1
3073456832,3073456369,3670026,3670026,3.1371078e-06,-2.798425e-05,1.4606147e-05,0.0009568251,0.00011006695,-0.049275596,4999,4999,0,0,1,1
3073956307,3073955885,3670026,3670026,1.0362277e-05,3.209534e-05,4.944725e-06,0.0012990007,-7.651054e-05,-0.04912213,4995,4995,0,0,1,1
3074455832,3074455405,3670026,3670026,1.2589973e-05,4.836111e-06,9.631817e-06,0.0013901995,-0.00012525619,-0.04904768,4995,4995,0,0,1,1
3074955418,3074954928,3670026,3670026,3.1625984e-07,1.9127801e-05,1.1356338e-05,0.0013576288,-5.2057465e-05,-0.049144264,4993,4993,0,0,1,1
3075454968,3075454446,3670026,3670026,1.6811406e-05,6.8599143e-06,5.210505e-06,0.0015205386,-0.00014591608,-0.049014773,4995,4995,0,0,1,1
3075954423,3075953966,3670026,3670026,4.7401063e-06,4.4888156e-06,1.469045e-05,0.0016174412,-5.4113567e-05,-0.04896903,4995,4995,0,0,1,1
3076459148,3076458482,3670026,3670026,6.2132693e-07,1.471013e-05,7.5364205e-06,0.0015725711,-0.00010941312,-0.049106263,4995,4995,0,0,1,1
3076958429,3076958003,3670026,3670026,2.4804638e-05,2.0546542e-05,7.367503e-06,0.0015522143,-3.5555506e-05,-0.0491457,4996,4996,0,0,1,1
3077453028,3077452528,3670026,3670026,2.1103226e-05,2.6174956e-05,3.3813303e-06,0.0013017129,-0.00017520168,-0.0490148,4995,4995,0,0,1,1
3077957552,3077957044,3670026,3670026,1.212592e-05,1.8767285e-05,5.8111236e-06,0.0014864916,-6.337181e-05,-0.049112793,4996,4996,0,0,1,1
3078457022,3078456564,3670026,3670026,4.507734e-06,-1.8255641e-05,2.2836797e-05,0.0013435553,-8.491666e-05,-0.049036317,4995,4995,0,0,1,1
3078956540,3078956085,3670026,3670026,1.5849186e-05,5.1653635e-05,3.3805884e-06,0.0015540336,-0.00020569016,-0.049091034,4995,4995,0,0,1,1
3079456094,3079455606,3670026,3670026,-3.7931588e-07,-2.3067596e-05,1.5119679e-05,0.0013770416,-0.00016502729,-0.049032737,4995,4995,0,0,1,1
3079955557,3079955127,3670026,3670026,1.3523798e-05,4.6568082e-05,4.0102677e-06,0.001454781,-8.647875e-06,-0.049109872,4995,4995,4,0,1,1
3080455148,3080454648,3670026,3670026,6.0028333e-06,-5.4507273e-06,1.4722748e-05,0.0013477468,-0.0001990995,-0.049131695,4995,4995,0,0,1,1
3080954593,3080954169,3670026,3670026,7.372539e-06,3.3537828e-05,4.011347e-06,0.0015103945,-8.310902e-05,-0.04903871,4995,4995,0,0,1,1
3081454155,3081453690,3670026,3670026,1.2686394e-05,-4.88752e-06,8.669697e-06,0.001522043,-0.00011328749,-0.049135577,4995,4995,0,0,1,1
3081953660,3081953211,3670026,3670026,1.06945845e-05,2.3123346e-05,1.3422495e-05,0.0013994671,-3.3779826e-05,-0.04914335,4995,4995,0,0,1,1
3082458189,3082457727,3670026,3670026,8.194079e-06,2.0680798e-05,3.0185033e-06,0.0013315808,-7.5900054e-05,-0.049112316,4995,4995,0,0,1,1
3082957695,3082957249,3670026,3670026,5.3416147e-06,1.497643e-05,1.249511e-05,0.0015429887,5.4740365e-05,-0.04920522,4996,4996,0,0,1,1
3083457267,3083456770,3670026,3670026,6.0077527e-06,1.9832376e-05,9.8312885e-06,0.0013025925,-0.00010612765,-0.048980407,4995,4995,0,0,1,1
3083956740,3083956300,3670026,3670026,1.1796847e-05,2.6919708e-06,5.1080033e-06,0.0014090593,-7.347772e-05,-0.049180515,5004,5004,0,0,1,1
3084456321,3084455813,3670026,3670026,4.8551715e-07,-1.2099492e-05,1.954727e-05,0.0013264868,-0.00019405741,-0.049109228,4996,4996,0,0,1,1
3084955776,3084955334,3670026,3670026,1.9906825e-05,2.8137692e-05,3.9806114e-06,0.0014939407,-6.876195e-05,-0.04920493,4995,4995,0,0,1,1
3085455328,3085454856,3670026,3670026,1.1628587e-05,-9.238871e-06,1.3826065e-05,0.0013420368,-8.012466e-05,-0.049108032,4996,4996,0,0,1,1
3085954852,3085954377,3670026,3670026,8.035518e-06,2.5344807e-05,3.886477e-07,0.0013181459,-8.458552e-05,-0.049171746,4995,4995,0,0,1,1
3086454522,3086453899,3670026,3670026,5.774201e-06,-1.3064121e-05,1.6819504e-05,0.0015238504,-8.6105516e-05,-0.04911132,4996,4996,0,0,1,1
3086958834,3086958416,3670026,3670026,4.805557e-06,-7.3056904e-06,1.2793364e-05,0.0014885432,-0.00011268884,-0.049089245,4995,4995,0,0,1,1
3087458432,3087457937,3670026,3670026,1.9273824e-05,3.509205e-05,2.4162168e-06,0.0016096528,-4.8121772e-05,-0.049066234,4995,4995,0,0,1,1
3087953013,3087952464,3670026,3670026,2.1806488e-06,1.5903472e-05,8.136492e-06,0.0014843852,-4.8425823e-05,-0.049041387,4995,4995,0,0,1,1
3088457449,3088456981,3670026,3670026,1.8714716e-05,4.1550567e-05,-1.6437525e-06,0.0014245842,-9.387335e-05,-0.049131095,4995,4995,0,0,1,1
3088956956,3088956503,3670026,3670026,1.032749e-05,-2.3013297e-05,1.2525916e-05,0.0013330799,-0.00018264503,-0.04917771,4995,4995,0,0,1,1
3089456523,3089456025,3670026,3670026,1.5591995e-05,2.9253313e-05,6.265171e-06,0.0011398213,-9.236701e-05,-0.04905368,4993,4993,0,0,1,1
3089955997,3089955547,3670026,3670026,1.6512391e-05,-3.1984924e-05,1.5487096e-05,0.0014685371,-8.249035e-05,-0.04906591,4995,4995,0,0,1,1
3090455541,3090455069,3670026,3670026,3.5467724e-06,6.9607386e-06,1.2093558e-05,0.0014685392,-0.00015634026,-0.049016878,4995,4995,0,0,1,1
3090955048,3090954591,3670026,3670026,1.0626554e-05,2.731731e-06,9.600593e-06,0.0012332513,-8.847343e-05,-0.04907159,4995,4995,0,0,1,1
3091454600,3091454115,3670026,3670026,-1.9019576e-06,3.7854525e-06,1.3625165e-05,0.0013952617,-0.000131289,-0.049055353,4997,4997,0,0,1,1
3091954111,3091953635,3670026,3670026,1.0064696e-05,2.2599648e-05,-1.8065873e-07,0.0019163842,-0.00039433257,-0.048946034,4995,4995,0,0,1,1
3092453617,3092453158,3670026,3670026,-5.901423e-06,-3.919879e-05,2.5263342e-05,0.0019869388,4.1868352e-05,-0.048974436,4995,4995,0,0,1,1
