timestamp,timestamp_sample,baro_device_id,baro_alt_meter,baro_temp_celcius,baro_pressure_pa,rho,calibration_count
3066694902,3066694852,3997730,-12.899804,34.0,101480.0,1.2057502,0
3066895760,3066895709,3997730,-12.730695,34.0,101478.0,1.2057265,0
3067096676,3067096624,3997730,-12.566872,33.989998,101476.0,1.2057028,0
3067297417,3067297367,3997730,-12.566872,34.0,101476.0,1.2057028,0
3067499332,3067498280,3997730,-13.227451,34.0,101484.0,1.2057978,0
3067699321,3067699270,3997730,-12.730695,34.0,101478.0,1.2057265,0
3067900230,3067900177,3997730,-12.646141,34.0,101477.0,1.2057146,0
3068101228,3068101145,3997730,-12.482318,34.0,101475.0,1.2056909,0
3068302114,3068302059,3997730,-12.730695,34.0,101478.0,1.2057265,0
3068503006,3068502922,3997730,-12.646141,34.0,101477.0,1.2057146,0
3068703979,3068703929,3997730,-13.063628,34.01,101482.0,1.2057741,0
3068904927,3068904660,3997730,-12.81525,34.01,101479.0,1.2057383,0
3069105909,3069105699,3997730,-12.899804,34.01,101480.0,1.2057502,0
3069306653,3069306580,3997730,-12.81525,34.01,101479.0,1.2057383,0
3069507514,3069507464,3997730,-12.899804,34.01,101480.0,1.2057502,0
3069688327,3069658179,3997730,-12.7993965,34.014996,101478.836,1.2057365,0
3069889418,3069859198,3997730,-12.88395,34.02,101479.836,1.2057483,0
3070090293,3070060136,3997730,-12.593295,34.015003,101476.336,1.2057067,0
3070291201,3070260903,3997730,-12.783542,34.02,101478.664,1.2057344,0
3070492161,3070461791,3997730,-12.936796,34.02,101480.5,1.2057563,0
3070692839,3070662661,3997730,-12.88395,34.02,101479.836,1.2057483,0
3070893752,3070863576,3997730,-12.772973,34.02,101478.5,1.2057325,0
3071094619,3071064459,3997730,-12.841673,34.025,101479.336,1.2057424,0
3071295640,3071265464,3997730,-12.7993965,34.02,101478.836,1.2057365,0
3071496473,3071466299,3997730,-12.88395,34.025,101479.836,1.2057483,0
3071697421,3071667144,3997730,-12.88395,34.03,101479.836,1.2057483,0
3071898211,3071867960,3997730,-12.720127,34.03,101477.836,1.2057246,0
3072099019,3072068843,3997730,-12.720127,34.03,101477.836,1.2057246,0
3072299955,3072269784,3997730,-12.926227,34.03,101480.336,1.2057543,0
3072500846,3072470655,3997730,-12.857527,34.03,101479.5,1.2057443,0
3072701752,3072671604,3997730,-12.783542,34.03,101478.664,1.2057344,0
3072902817,3072872658,3997730,-12.841673,34.035004,101479.336,1.2057424,0
3073103750,3073073555,3997730,-12.772973,34.035,101478.5,1.2057325,0
3073304617,3073274446,3997730,-12.720127,34.035004,101477.836,1.2057246,0
3073505511,3073475178,3997730,-12.857527,34.040005,101479.5,1.2057443,0
3073706286,3073676107,3997730,-12.730695,34.040005,101478.0,1.2057265,0
3073907328,3073877149,3997730,-12.772973,34.040005,101478.5,1.2057325,0
3074027889,3074027839,3997730,-13.063628,34.04,101482.0,1.2057741,0
3074228744,3074228693,3997730,-12.979074,34.04,101481.0,1.2057621,0
3074429705,3074429633,3997730,-12.566872,34.04,101476.0,1.2057028,0
3074630621,3074630418,3997730,-12.899804,34.05,101480.0,1.2057502,0
3074831413,3074831363,3997730,-12.646141,34.05,101477.0,1.2057146,0
3075032246,3075032192,3997730,-12.81525,34.05,101479.0,1.2057383,0
3075233263,3075233210,3997730,-12.899804,34.05,101480.0,1.2057502,0
3075434077,3075433991,3997730,-12.899804,34.05,101480.0,1.2057502,0
3075635034,3075634983,3997730,-12.646141,34.05,101477.0,1.2057146,0
3075836080,3075836026,3997730,-13.063628,34.05,101482.0,1.2057741,0
3076037030,3076036979,3997730,-12.730695,34.05,101478.0,1.2057265,0
3076237920,3076237868,3997730,-13.063628,34.059998,101482.0,1.2057741,0
3076438781,3076438730,3997730,-12.899804,34.05,101480.0,1.2057502,0
3076640504,3076639693,3997730,-12.81525,34.059998,101479.0,1.2057383,0
3076840691,3076840613,3997730,-12.979074,34.059998,101481.0,1.2057621,0
3077041610,3077041559,3997730,-13.063628,34.059998,101482.0,1.2057741,0
3077242433,3077242381,3997730,-13.312005,34.059998,101485.0,1.2058097,0
3077443434,3077443384,3997730,-12.730695,34.059998,101478.0,1.2057265,0
3077644290,3077644211,3997730,-13.312005,34.059998,101485.0,1.2058097,0
3077845274,3077845209,3997730,-12.646141,34.059998,101477.0,1.2057146,0
3078046171,3078046121,3997730,-12.979074,34.07,101481.0,1.2057621,0
3078246846,3078246795,3997730,-12.81525,34.07,101479.0,1.2057383,0
3078447859,3078447780,3997730,-12.81525,34.07,101479.0,1.2057383,0
3078648715,3078648635,3997730,-13.227451,34.07,101484.0,1.2057978,0
3078849658,3078849607,3997730,-13.148182,34.07,101483.0,1.2057859,0
3079050637,3079050585,3997730,-13.063628,34.07,101482.0,1.2057741,0
3079251533,3079251482,3997730,-12.81525,34.079998,101479.0,1.2057383,0
3079452388,3079452338,3997730,-12.566872,34.079998,101476.0,1.2057028,0
3079653086,3079653027,3997730,-13.227451,34.079998,101484.0,1.2057978,0
