timestamp,timestamp_sample,xyz[0],xyz[1],xyz[2]
3050101742,3050101364,0.28826326,-0.05810294,-9.832318
3050106728,3050106359,0.2942008,-0.063854426,-9.819711
3050156680,3050156311,0.22981699,-0.05702096,-9.836986
3050201636,3050201273,0.31581578,-0.0850936,-9.780491
3050251624,3050251223,0.24747097,-0.11268797,-9.808009
3050306662,3050306166,0.22459432,-0.11413462,-9.801933
3050351684,3050351123,0.28291517,-0.04039034,-9.799611
3050406488,3050406070,0.21208599,-0.08310518,-9.8240795
3050451445,3050451026,0.28327057,-0.08306691,-9.788786
3050506387,3050505973,0.26000604,-0.09738556,-9.794538
3050551324,3050550930,0.2856786,-0.06905786,-9.806639
3050606246,3050605877,0.30586517,-0.03700515,-9.817931
3050651199,3050650833,0.24742638,-0.10054058,-9.812994
3050706148,3050705780,0.27759847,-0.08244516,-9.813003
3050756106,3050755732,0.27589324,-0.096119404,-9.793187
3050806046,3050805684,0.26608807,-0.080076545,-9.798139
3050856005,3050855636,0.2568856,-0.04811677,-9.829435
3050905956,3050905587,0.26969203,-0.110757135,-9.811991
3050955898,3050955539,0.2878214,-0.0774201,-9.808404
3051005855,3051005491,0.25168523,-0.064962685,-9.80925
3051055885,3051055445,0.25167945,-0.07608771,-9.805256
3051105910,3051105394,0.29815236,-0.057977032,-9.797775
3051155726,3051155346,0.25100172,-0.07776928,-9.809018
3051205686,3051205298,0.2761631,-0.08068668,-9.798017
3051255632,3051255252,0.2684256,-0.057493396,-9.796625
3051305605,3051305202,0.27671173,-0.03352585,-10.000796
3051355579,3051355154,0.2233746,0.0046053007,-9.932295
3051405491,3051405105,0.33095077,-0.32378915,-9.777971
3051455470,3051455065,0.18696313,-0.11227541,-9.787274
3051505405,3051505009,0.46733856,0.03853891,-9.852617
3051555327,3051554960,0.06473454,-0.084458716,-9.846172
3051605276,3051604912,0.4242398,-0.09907429,-9.807292
3051655237,3051654864,0.24739198,-0.13110794,-9.775288
3051705175,3051704815,0.24009837,-0.08081659,-9.807595
3051755128,3051754767,0.33075354,-0.010873559,-9.823346
3051805137,3051804719,0.19747446,-0.107491985,-9.783706
3051855166,3051854671,0.291534,-0.09519297,-9.788685
3051905008,3051904623,0.3185799,-0.055794988,-9.852318
3051954962,3051954575,0.17858586,-0.12484448,-9.775641
3052004920,3052004526,0.33124763,-0.053100605,-9.774458
3052054863,3052054478,0.29846728,-0.041502375,-9.859772
3052104816,3052104430,0.17450109,-0.12629764,-9.7766905
3052154742,3052154382,0.370589,-0.046060108,-9.776257
3052204700,3052204333,0.23288375,-0.083792955,-9.807002
3052254645,3052254285,0.2559586,-0.0613848,-9.801952
3052304590,3052304237,0.3340499,-0.04926905,-9.817553
