timestamp,timestamp_sample,gps_hvel[0],gps_hvel[1],gps_vvel,gps_hpos[0],gps_hpos[1],gps_vpos,ev_hvel[0],ev_hvel[1],ev_vvel,ev_hpos[0],ev_hpos[1],ev_vpos,rng_vpos,baro_vpos,aux_hvel[0],aux_hvel[1],aux_vvel,flow[0],flow[1],terr_flow[0],terr_flow[1],heading,mag_field[0],mag_field[1],mag_field[2],gravity[0],gravity[1],gravity[2],drag[0],drag[1],airspeed,beta,hagl,hagl_rate
3050535559,3050433543,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,12.32244,0.0,0.0,nan,0.0,0.0,0.0,0.0,0.09035465,0.0,0.0,0.0,1.0012846,1.001285,1.0008858,0.0,0.0,0.0,0.0,0.0,0.0
3051035140,3050933062,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,12.321469,0.0,0.0,nan,0.0,0.0,0.0,0.0,0.09035459,0.0,0.0,0.0,1.0012444,1.0012448,1.000886,0.0,0.0,0.0,0.0,0.0,0.0
3051534508,3051432579,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,12.322015,0.0,0.0,nan,0.0,0.0,0.0,0.0,0.09035462,0.0,0.0,0.0,1.0012686,1.001269,1.0008858,0.0,0.0,0.0,0.0,0.0,0.0
3052034200,3051932096,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,12.321242,0.0,0.0,nan,0.0,0.0,0.0,0.0,0.09035456,0.0,0.0,0.0,1.0012287,1.0012289,1.0008858,0.0,0.0,0.0,0.0,0.0,0.0
3052533566,3052431615,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,12.321761,0.0,0.0,nan,0.0,0.0,0.0,0.0,0.0903545,0.0,0.0,0.0,1.0012528,1.0012531,1.0008858,0.0,0.0,0.0,0.0,0.0,0.0
3053032086,3052931131,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,12.322329,0.0,0.0,nan,0.0,0.0,0.0,0.0,0.09035453,0.0,0.0,0.0,1.0012771,1.0012773,1.000886,0.0,0.0,0.0,0.0,0.0,0.0
3053531675,3053430655,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,12.321372,0.0,0.0,nan,0.0,0.0,0.0,0.0,0.09035447,0.0,0.0,0.0,1.0012373,1.0012375,1.000886,0.0,0.0,0.0,0.0,0.0,0.0
3054030972,3053930167,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,12.321709,0.0,0.0,nan,0.0,0.0,0.0,0.0,0.0903546,0.0,0.0,0.0,1.0012614,1.0012617,1.000886,0.0,0.0,0.0,0.0,0.0,0.0
3054530784,3054429686,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,12.322269,0.0,0.0,nan,0.0,0.0,0.0,0.0,0.09035463,0.0,0.0,0.0,1.0012858,1.0012861,1.0008858,0.0,0.0,0.0,0.0,0.0,0.0
3055030168,3054929203,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,12.32132,0.0,0.0,nan,0.0,0.0,0.0,0.0,0.09035457,0.0,0.0,0.0,1.0012459,1.0012461,1.000886,0.0,0.0,0.0,0.0,0.0,0.0
3055529790,3055428721,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,12.321855,0.0,0.0,nan,0.0,0.0,0.0,0.0,0.09035451,0.0,0.0,0.0,1.00127,1.0012703,1.0008858,0.0,0.0,0.0,0.0,0.0,0.0
3056029147,3055928239,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,12.322595,0.0,0.0,nan,0.0,0.0,0.0,0.0,0.09035454,0.0,0.0,0.0,1.0012302,1.0012306,1.0008858,0.0,0.0,0.0,0.0,0.0,0.0
3056528782,3056427759,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,12.321605,0.0,0.0,nan,0.0,0.0,0.0,0.0,0.09035448,0.0,0.0,0.0,1.0012543,1.0012547,1.000886,0.0,0.0,0.0,0.0,0.0,0.0
3057028119,3056927275,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,12.322162,0.0,0.0,nan,0.0,0.0,0.0,0.0,0.090354614,0.0,0.0,0.0,1.0012786,1.001279,1.0008858,0.0,0.0,0.0,0.0,0.0,0.0
3057527872,3057426794,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,12.321373,0.0,0.0,nan,0.0,0.0,0.0,0.0,0.090354554,0.0,0.0,0.0,1.0012388,1.0012392,1.0008858,0.0,0.0,0.0,0.0,0.0,0.0
3058027303,3057926316,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,12.321903,0.0,0.0,nan,0.0,0.0,0.0,0.0,0.090354584,0.0,0.0,0.0,1.001263,1.0012633,1.0008858,0.0,0.0,0.0,0.0,0.0,0.0
3058526971,3058425830,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,12.322483,0.0,0.0,nan,0.0,0.0,0.0,0.0,0.090354525,0.0,0.0,0.0,1.0012256,1.0012258,1.0008858,0.0,0.0,0.0,0.0,0.0,0.0
3059037290,3058935339,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,12.3215065,0.0,0.0,nan,0.0,0.0,0.0,0.0,0.090354465,0.0,0.0,0.0,1.0012506,1.0012509,1.000886,0.0,0.0,0.0,0.0,0.0,0.0
3059536865,3059434857,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,12.322216,0.0,0.0,nan,0.0,0.0,0.0,0.0,0.090354495,0.0,0.0,0.0,1.001275,1.0012752,1.0008858,0.0,0.0,0.0,0.0,0.0,0.0
3060025352,3059924386,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,12.321273,0.0,0.0,nan,0.0,0.0,0.0,0.0,0.09035462,0.0,0.0,0.0,1.0012323,1.0012325,1.0008858,0.0,0.0,0.0,0.0,0.0,0.0
3060535832,3060433895,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,12.321801,0.0,0.0,nan,0.0,0.0,0.0,0.0,0.09035456,0.0,0.0,0.0,1.0012593,1.0012597,1.000886,0.0,0.0,0.0,0.0,0.0,0.0
