timestamp,data_rate,rate_multiplier,tx_rate_avg,tx_error_rate_avg,tx_message_count,tx_buffer_overruns,rx_rate_avg,rx_message_count,rx_message_lost_count,rx_buffer_overruns,rx_parse_errors,rx_packet_drop_count,rx_message_lost_rate,type,mode,flow_control,forwarding,mavlink_v2,ftp,streams,heartbeat_type_antenna_tracker,heartbeat_type_gcs,heartbeat_type_onboard_controller,heartbeat_type_gimbal,heartbeat_type_adsb,heartbeat_type_camera,heartbeat_type_parachute,heartbeat_type_open_drone_id,heartbeat_component_telemetry_radio,heartbeat_component_log,heartbeat_component_osd,heartbeat_component_obstacle_avoidance,heartbeat_component_vio,heartbeat_component_pairing_manager,heartbeat_component_udp_bridge,heartbeat_component_uart_bridge,avoidance_system_healthy,open_drone_id_system_healthy,parachute_system_healthy
3050376964,46080.0,1.0,20390.957,0.0,939039,142,139.69826,216,0,0,0,0,0.0,0,2,0,0,1,1,61,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
3051375842,46080.0,1.0,21528.928,0.0,939379,142,46.89963,218,0,0,0,0,0.0,0,2,0,0,1,1,61,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
3052375041,46080.0,1.0,21419.545,0.0,939718,142,46.920143,220,0,0,0,0,0.0,0,2,0,0,1,1,61,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
3053375569,46080.0,1.0,21523.91,0.0,940058,142,46.99107,222,0,0,0,0,0.0,0,2,0,0,1,1,61,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
3054377888,46080.0,1.0,21396.941,0.0,940396,142,46.894672,224,0,0,0,0,0.0,0,2,0,0,1,1,61,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
3055373652,46080.0,1.0,21479.385,0.0,940737,142,46.92656,226,0,0,0,0,0.0,0,2,0,0,1,1,61,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
3056380776,46080.0,1.0,21397.535,0.0,941078,142,46.902534,228,0,0,0,0,0.0,0,2,0,0,1,1,61,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
3057379484,46080.0,1.0,22171.521,0.0,941417,142,46.908012,230,0,0,0,0,0.0,0,2,0,0,1,1,61,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
3058381987,46080.0,1.0,21417.395,0.0,941757,142,46.904503,232,0,0,0,0,0.0,0,2,0,0,1,1,61,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
3059372996,46080.0,1.0,21444.088,0.0,942094,142,46.81028,234,0,0,0,0,0.0,0,2,0,0,1,1,61,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
3060379978,46080.0,1.0,21403.975,0.0,942435,142,46.912273,236,0,0,0,0,0.0,0,2,0,0,1,1,61,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
3061376321,46080.0,1.0,21539.096,0.0,942773,142,46.998028,238,0,0,0,0,0.0,0,2,0,0,1,1,61,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
3062375127,46080.0,1.0,21439.105,0.0,943111,142,46.901787,240,0,0,0,0,0.0,0,2,0,0,1,1,61,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
3063383600,46080.0,1.0,21512.393,0.0,943454,142,46.95938,242,0,0,0,0,0.0,0,2,0,0,1,1,61,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
3064383145,46080.0,1.0,21454.543,0.0,943792,142,46.98586,244,0,0,0,0,0.0,0,2,0,0,1,1,61,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
3065381612,46080.0,1.0,21468.693,0.0,944131,142,46.868343,246,0,0,0,0,0.0,0,2,0,0,1,1,61,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
3066380631,46080.0,1.0,21419.432,0.0,944469,142,46.95272,248,0,0,0,0,0.0,0,2,0,0,1,1,61,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
3067379562,46080.0,1.0,21486.057,0.0,944808,142,46.86489,250,0,0,0,0,0.0,0,2,0,0,1,1,61,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
3068378803,46080.0,1.0,21465.557,0.0,945146,142,46.953094,252,0,0,0,0,0.0,0,2,0,0,1,1,61,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
3069381064,46080.0,1.0,21527.979,0.0,945489,142,46.999954,254,0,0,0,0,0.0,0,2,0,0,1,1,61,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
3070377431,46080.0,1.0,21527.318,0.0,945825,142,46.900475,256,0,0,0,0,0.0,0,2,0,0,1,1,61,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
3071379646,46080.0,1.0,21453.803,0.0,946167,142,46.82931,258,0,0,0,0,0.0,0,2,0,0,1,1,61,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
3072379352,46080.0,1.0,21392.38,0.0,946505,142,46.87812,260,0,0,0,0,0.0,0,2,0,0,1,1,61,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
3073371732,46080.0,1.0,21532.39,0.0,946843,142,46.970314,262,0,0,0,0,0.0,0,2,0,0,1,1,61,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
3074383087,46080.0,1.0,21369.31,0.0,947184,142,46.834118,264,0,0,0,0,0.0,0,2,0,0,1,1,61,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
3075377752,46080.0,1.0,21790.924,0.0,947522,142,46.87078,266,0,0,0,0,0.0,0,2,0,0,1,1,61,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
3076401052,46080.0,1.0,21420.836,0.0,947867,142,46.9186,268,0,0,0,0,0.0,0,2,0,0,1,1,61,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
3077373596,46080.0,1.0,21485.953,0.0,948200,142,46.903847,270,0,0,0,0,0.0,0,2,0,0,1,1,61,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
3078379673,46080.0,1.0,21520.766,0.0,948541,142,46.91012,272,0,0,0,0,0.0,0,2,0,0,1,1,61,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
3079374066,46080.0,1.0,21494.766,0.0,948879,142,46.894768,274,0,0,0,0,0.0,0,2,0,0,1,1,61,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
3080373010,46080.0,1.0,21392.492,0.0,949217,142,46.795456,276,0,0,0,0,0.0,0,2,0,0,1,1,61,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
3081379895,46080.0,1.0,21494.406,0.0,949560,142,46.91794,278,0,0,0,0,0.0,0,2,0,0,1,1,61,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
3082379025,46080.0,1.0,21421.264,0.0,949899,142,46.919537,280,0,0,0,0,0.0,0,2,0,0,1,1,61,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
3083374671,46080.0,1.0,21478.588,0.0,950236,142,46.8943,282,0,0,0,0,0.0,0,2,0,0,1,1,61,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
3084379677,46080.0,1.0,21409.848,0.0,950577,142,46.84214,284,0,0,0,0,0.0,0,2,0,0,1,1,61,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
3085377585,46080.0,1.0,21494.605,0.0,950916,142,46.892242,286,0,0,0,0,0.0,0,2,0,0,1,1,61,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
3086370775,46080.0,1.0,21415.998,0.0,951251,142,46.927685,288,0,0,0,0,0.0,0,2,0,0,1,1,61,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
3087375669,46080.0,1.0,21615.398,0.0,951594,142,46.93139,290,0,0,0,0,0.0,0,2,0,0,1,1,61,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
3088383253,46080.0,1.0,21411.0,0.0,951935,142,46.90361,292,0,0,0,0,0.0,0,2,0,0,1,1,61,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
