timestamp,armed,prearmed,ready_to_arm,lockdown,manual_lockdown,force_failsafe,in_esc_calibration_mode
3049931276,0,0,1,0,0,0,0
3050431513,0,0,1,0,0,0,0
3050941277,0,0,1,0,0,0,0
3051451298,0,0,1,0,0,0,0
3051963272,0,0,1,0,0,0,0
3052473868,0,0,1,0,0,0,0
3052974427,0,0,1,0,0,0,0
3053484379,0,0,1,0,0,0,0
3053995797,0,0,1,0,0,0,0
3054505590,0,0,1,0,0,0,0
3055016531,0,0,1,0,0,0,0
3055526529,0,0,1,0,0,0,0
3056037345,0,0,1,0,0,0,0
3056547273,0,0,1,0,0,0,0
3057059832,0,0,1,0,0,0,0
3057569317,0,0,1,0,0,0,0
3058080352,0,0,1,0,0,0,0
3058591383,0,0,1,0,0,0,0
3059101314,0,0,1,0,0,0,0
3059611347,0,0,1,0,0,0,0
3060122273,0,0,1,0,0,0,0
3060632273,0,0,1,0,0,0,0
3061132417,0,0,1,0,0,0,0
3061644496,0,0,1,0,0,0,0
3062154635,0,0,1,0,0,0,0
3062664301,0,0,1,0,0,0,0
3063175823,0,0,1,0,0,0,0
3063684272,0,0,1,0,0,0,0
3064184300,0,0,1,0,0,0,0
3064694276,0,0,1,0,0,0,0
3065194339,0,0,1,0,0,0,0
3065694632,0,0,1,0,0,0,0
3066204425,0,0,1,0,0,0,0
3066715478,0,0,1,0,0,0,0
3067225515,0,0,1,0,0,0,0
3067728119,0,0,1,0,0,0,0
3068238725,0,0,1,0,0,0,0
3068749276,0,0,1,0,0,0,0
3069259274,0,0,1,0,0,0,0
3069759363,0,0,1,0,0,0,0
3070261274,0,0,1,0,0,0,0
3070771279,0,0,1,0,0,0,0
3071281704,0,0,1,0,0,0,0
3071792277,0,0,1,0,0,0,0
3072302274,0,0,1,0,0,0,0
3072803639,0,0,1,0,0,0,0
3073313770,0,0,1,0,0,0,0
3073815387,0,0,1,0,0,0,0
3074326275,0,0,1,0,0,0,0
3074837276,0,0,1,0,0,0,0
3075348022,0,0,1,0,0,0,0
3075858277,0,0,1,0,0,0,0
3076368274,0,0,1,0,0,0,0
3076880417,0,0,1,0,0,0,0
3077390915,0,0,1,0,0,0,0
3077901275,0,0,1,0,0,0,0
3078411316,0,0,1,0,0,0,0
3078912274,0,0,1,0,0,0,0
3079412332,0,0,1,0,0,0,0
3079923347,0,0,1,0,0,0,0
3080434273,0,0,1,0,0,0,0
3080944273,0,0,1,0,0,0,0
3081444901,0,0,1,0,0,0,0
3081955621,0,0,1,0,0,0,0
3082456316,0,0,1,0,0,0,0
3082956425,0,0,1,0,0,0,0
3083467548,0,0,1,0,0,0,0
3083977287,0,0,1,0,0,0,0
3084479274,0,0,1,0,0,0,0
3084979481,0,0,1,0,0,0,0
3085489815,0,0,1,0,0,0,0
3085990590,0,0,1,0,0,0,0
3086501803,0,0,1,0,0,0,0
3087011286,0,0,1,0,0,0,0
3087522310,0,0,1,0,0,0,0
3088032272,0,0,1,0,0,0,0
3088532613,0,0,1,0,0,0,0
3089042585,0,0,1,0,0,0,0
3089553276,0,0,1,0,0,0,0
3090053440,0,0,1,0,0,0,0
3090563274,0,0,1,0,0,0,0
3091073869,0,0,1,0,0,0,0
3091585732,0,0,1,0,0,0,0
3092096641,0,0,1,0,0,0,0
3092597294,0,0,1,0,0,0,0
3093107313,0,0,1,0,0,0,0
3093607817,0,0,1,0,0,0,0
3094117391,0,0,1,0,0,0,0
3094628639,0,0,1,0,0,0,0
3095128677,0,0,1,0,0,0,0
3095639395,0,0,1,0,0,0,0
3096141934,0,0,1,0,0,0,0
3096652407,0,0,1,0,0,0,0
3097162275,0,0,1,0,0,0,0
3097662460,0,0,1,0,0,0,0
3098172531,0,0,1,0,0,0,0
3098683346,0,0,1,0,0,0,0
3099194298,0,0,1,0,0,0,0
3099704454,0,0,1,0,0,0,0
3100214272,0,0,1,0,0,0,0
3100714476,0,0,1,0,0,0,0
3101226157,0,0,1,0,0,0,0
3101737276,0,0,1,0,0,0,0
3102238274,0,0,1,0,0,0,0
3102748273,0,0,1,0,0,0,0
3103248676,0,0,1,0,0,0,0
3103758275,0,0,1,0,0,0,0
3104269276,0,0,1,0,0,0,0
3104779353,0,0,1,0,0,0,0
3105280323,0,0,1,0,0,0,0
3105791519,0,0,1,0,0,0,0
3106302276,0,0,1,0,0,0,0
3106812414,0,0,1,0,0,0,0
3107323348,0,0,1,0,0,0,0
3107833279,0,0,1,0,0,0,0
3108334184,0,0,1,0,0,0,0
3108834390,0,0,1,0,0,0,0
3109345454,0,0,1,0,0,0,0
3109855433,0,0,1,0,0,0,0
3110355468,0,0,1,0,0,0,0
3110865767,0,0,1,0,0,0,0
3111377669,0,0,1,0,0,0,0
3111887273,0,0,1,0,0,0,0
3112398275,0,0,1,0,0,0,0
3112908731,0,0,1,0,0,0,0
3113419275,0,0,1,0,0,0,0
3113919366,0,0,1,0,0,0,0
3114429304,0,0,1,0,0,0,0
3114940019,0,0,1,0,0,0,0
3115440399,0,0,1,0,0,0,0
3115951898,0,0,1,0,0,0,0
3116462647,0,0,1,0,0,0,0
