timestamp,time_estimate,safe_time_estimate,valid
3050136885,0.0,0.0,0
3051144036,0.0,0.0,0
3052174258,0.0,0.0,0
3053183146,0.0,0.0,0
3054202116,0.0,0.0,0
3055221379,0.0,0.0,0
3056240065,0.0,0.0,0
3057268340,0.0,0.0,0
3058287157,0.0,0.0,0
3059306345,0.0,0.0,0
3060325182,0.0,0.0,0
3061335584,0.0,0.0,0
3062354221,0.0,0.0,0
3063383379,0.0,0.0,0
3064391455,0.0,0.0,0
3065401581,0.0,0.0,0
3066409523,0.0,0.0,0
3067428367,0.0,0.0,0
3068447250,0.0,0.0,0
3069466230,0.0,0.0,0
3070516873,0.0,0.0,0
3071535888,0.0,0.0,0
3072554541,0.0,0.0,0
3073573621,0.0,0.0,0
3074582759,0.0,0.0,0
3075601467,0.0,0.0,0
3076620630,0.0,0.0,0
3077648614,0.0,0.0,0
3078668081,0.0,0.0,0
3079717751,0.0,0.0,0
3080736873,0.0,0.0,0
3081744572,0.0,0.0,0
3082764069,0.0,0.0,0
3083773950,0.0,0.0,0
3084782858,0.0,0.0,0
3085791320,0.0,0.0,0
3086801018,0.0,0.0,0
3087828744,0.0,0.0,0
3088838945,0.0,0.0,0
3089858129,0.0,0.0,0
3090866036,0.0,0.0,0
3091896135,0.0,0.0,0
3092903883,0.0,0.0,0
3093913926,0.0,0.0,0
3094933361,0.0,0.0,0
3095942305,0.0,0.0,0
3096960971,0.0,0.0,0
3097969447,0.0,0.0,0
3098988093,0.0,0.0,0
3100007072,0.0,0.0,0
3101017416,0.0,0.0,0
3102045364,0.0,0.0,0
3103055123,0.0,0.0,0
3104063278,0.0,0.0,0
3105082208,0.0,0.0,0
3106102458,0.0,0.0,0
3107121328,0.0,0.0,0
3108140369,0.0,0.0,0
3109188540,0.0,0.0,0
3110207432,0.0,0.0,0
3111217626,0.0,0.0,0
3112245552,0.0,0.0,0
3113264637,0.0,0.0,0
3114274887,0.0,0.0,0
3115293569,0.0,0.0,0
