timestamp,timestamp_sample,accel_device_id,gyro_device_id,delta_angle[0],delta_angle[1],delta_angle[2],delta_velocity[0],delta_velocity[1],delta_velocity[2],delta_angle_dt,delta_velocity_dt,delta_angle_clipping,delta_velocity_clipping,accel_calibration_count,gyro_calibration_count
3050451740,3050451180,3932170,3932170,4.868739e-06,-1.791495e-05,-4.0538835e-06,0.0013190985,0.00014471906,-0.0492017,5004,5004,0,0,2,3
3050951836,3050951510,3932170,3932170,1.585817e-05,-1.1481855e-05,8.735947e-06,0.0014903904,0.00012105589,-0.04924305,5003,5003,0,0,2,3
3051452152,3051451841,3932170,3932170,8.352444e-07,1.4868328e-05,3.0118065e-06,0.00085495185,-0.00017664877,-0.04908957,5004,5004,0,0,2,3
3051952739,3051952046,3932170,3932170,1.3102351e-05,-1.2110161e-05,-2.580653e-06,0.0008893126,5.9479087e-05,-0.047822222,4878,4878,0,0,2,3
3052453827,3052452502,3932170,3932170,1.713787e-05,1.3408317e-06,-7.831115e-06,0.0013940359,0.00012945193,-0.049146365,4999,4999,0,0,2,3
3052953137,3052952833,3932170,3932170,1.06338475e-05,-1.0718307e-05,-5.550882e-07,0.0012370374,0.000108255794,-0.049217094,5004,5004,0,0,2,3
3053453807,3053453164,3932170,3932170,2.2093087e-05,-7.2207463e-06,-8.38489e-06,0.0012421354,0.000112999376,-0.0493523,5004,5004,0,0,2,3
3053953793,3053953494,3932170,3932170,1.0866017e-05,3.6737326e-06,3.1531838e-06,0.001342744,0.00021610978,-0.049172007,5003,5003,0,0,2,3
3054454128,3054453825,3932170,3932170,2.2290174e-05,-2.587695e-07,1.7082784e-06,0.0012397876,5.016137e-05,-0.049156375,5003,5003,0,0,2,3
3054954474,3054954161,3932170,3932170,1.2717837e-05,-2.6178408e-05,1.9824158e-06,0.001144678,0.00012287179,-0.049204264,5008,5008,0,0,2,3
3055454781,3055454487,3932170,3932170,2.458024e-05,-3.3892504e-06,6.4431397e-06,0.0012841439,0.00018654266,-0.049176674,5002,5002,0,0,2,3
3055955154,3055954818,3932170,3932170,1.8290744e-05,-2.889177e-06,-2.9487173e-06,0.0014733349,0.0002236823,-0.04919868,5003,5003,0,0,2,3
3056450461,3056450146,3932170,3932170,1.7358909e-05,6.75423e-07,-1.4143134e-05,0.0013802184,0.00013390667,-0.049221136,5003,5003,0,0,2,3
3056950778,3056950477,3932170,3932170,1.7293427e-05,4.238821e-06,1.1002104e-05,0.0013029381,0.0002703307,-0.049236823,5003,5003,0,0,2,3
3057451152,3057450809,3932170,3932170,3.1621446e-05,-4.0557106e-06,-3.9208126e-06,0.0013184996,0.0002371852,-0.049242537,5004,5004,0,0,2,3
3057951449,3057951140,3932170,3932170,1.8527386e-05,-1.3557942e-06,9.237107e-06,0.0011710485,0.0001955687,-0.04911527,5003,5003,0,0,2,3
3058451855,3058451471,3932170,3932170,2.0989277e-05,5.7533424e-07,4.097366e-07,0.0013703323,0.00011628243,-0.049130034,5003,5003,0,0,2,3
3058957533,3058956681,3932170,3932170,2.0747182e-05,-1.3571417e-06,-7.1384634e-06,0.0013792329,0.0001830202,-0.04917847,5004,5004,0,0,2,3
3059452469,3059452134,3932170,3932170,2.3154615e-05,-9.519434e-06,3.310355e-06,0.0013807897,0.0002165096,-0.04923977,5003,5003,0,0,2,3
3059952776,3059952465,3932170,3932170,7.5326957e-06,5.3370477e-06,-1.1314454e-05,0.0013487679,0.00021051387,-0.049282078,5003,5003,0,0,2,3
3060453311,3060452797,3932170,3932170,1.796237e-05,-1.9954637e-06,-5.187222e-06,0.0012119396,0.00017893681,-0.049231745,5004,5004,0,0,2,3
3060953450,3060953129,3932170,3932170,2.529157e-05,4.7067924e-06,-1.4781584e-05,0.0011403165,9.2650735e-05,-0.049240466,5004,5004,0,0,2,3
3061455240,3061453460,3932170,3932170,8.733332e-06,-3.6557287e-06,-5.2850955e-06,0.0015377027,0.00022667176,-0.04908982,5003,5003,0,0,2,3
3061954659,3061953667,3932170,3932170,1.4121498e-05,3.720592e-05,-2.365271e-06,0.0012114244,1.2751483e-05,-0.0494053,5003,5003,0,0,2,3
3062449424,3062449120,3932170,3932170,1.9789592e-05,1.5163819e-05,-1.4945539e-05,0.0014260246,0.00020990922,-0.04927794,5003,5003,0,0,2,3
3062949757,3062949452,3932170,3932170,2.9017556e-05,1.4899097e-05,-5.5535334e-06,0.001205977,7.88779e-05,-0.049231213,5003,5003,0,0,2,3
3063450434,3063449784,3932170,3932170,2.6685235e-05,4.9388223e-06,-7.650101e-06,0.0012005862,0.00018568945,-0.0493383,5003,5003,0,0,2,3
3063950475,3063950116,3932170,3932170,2.5819088e-05,2.2627317e-05,-5.887431e-06,0.0015532799,0.00022846264,-0.0491768,5003,5003,0,0,2,3
3064451160,3064450448,3932170,3932170,3.1448453e-05,1.08336435e-05,-2.8840657e-06,0.0012598502,0.0001797016,-0.049259916,5003,5003,0,0,2,3
3064951101,3064950780,3932170,3932170,1.9158502e-05,-4.4538665e-06,-1.1379449e-05,0.0012996633,6.151518e-05,-0.049271718,5003,5003,0,0,2,3
