timestamp,accel_device_id,gyro_device_id,accel_clipping[0],accel_clipping[1],accel_clipping[2],gyro_clipping[0],gyro_clipping[1],gyro_clipping[2],accel_error_count,gyro_error_count,accel_rate_hz,gyro_rate_hz,accel_raw_rate_hz,gyro_raw_rate_hz,accel_vibration_metric,gyro_vibration_metric,delta_angle_coning_metric,mean_accel[0],mean_accel[1],mean_accel[2],mean_gyro[0],mean_gyro[1],mean_gyro[2],var_accel[0],var_accel[1],var_accel[2],var_gyro[0],var_gyro[1],var_gyro[2],temperature_accel,temperature_gyro
3050863571,3670026,3670026,0,0,0,0,0,0,0,0,800.7747,800.7747,4003.8733,8007.7466,0.025212342,0.0067688143,2.216409e-10,0.17463422,-0.18994,-9.839702,0.0076584904,-0.0015966285,-0.0051798485,0.00053242774,0.00070029736,0.00049976364,7.4825666e-06,5.209136e-05,4.6693035e-06,35.93635,35.93635
3051912573,3670026,3670026,0,0,0,0,0,0,0,0,800.7746,800.7746,4003.8728,8007.7456,0.040826134,0.0068023736,2.145616e-10,0.19443768,-0.18655393,-9.850846,0.008000263,-0.00018008036,-0.005020693,0.0021971394,0.00061402307,0.0010690775,1.0558233e-05,5.1105937e-05,4.7077388e-06,35.946907,35.946907
3052851684,3670026,3670026,0,0,0,0,0,0,0,0,800.7745,800.7745,4003.8723,8007.7446,0.028519614,0.006795684,2.339526e-10,0.18813865,-0.19547518,-9.834936,0.007848716,-0.003275054,-0.004942066,0.00083987176,0.0008106761,0.00068875705,9.26224e-06,4.901824e-05,6.629288e-06,35.95792,35.95792
3053900651,3670026,3670026,0,0,0,0,0,0,0,0,800.7744,800.7744,4003.872,8007.744,0.0284182,0.0066373865,3.1367167e-10,0.18954097,-0.19721952,-9.829435,0.0081277145,-0.0020170275,-0.0052210637,0.10518818,0.035071686,0.042600553,2.6088519e-05,0.00010231318,1.645354e-05,35.96194,35.96194
3054944812,3670026,3670026,0,0,0,0,0,0,0,0,800.77435,800.77435,4003.8716,8007.743,0.023526466,0.0065627466,2.5210276e-10,0.19071014,-0.19214666,-9.833897,0.008225173,-0.0022457107,-0.0052078115,0.0013515225,0.0007425566,0.0006784802,1.0320094e-05,5.8918315e-05,5.8206006e-06,35.965,35.965
3055888744,3670026,3670026,0,0,0,0,0,0,0,0,800.7743,800.7743,4003.871,8007.742,0.022812825,0.0067854575,2.496773e-10,0.18061972,-0.19169006,-9.840648,0.008023724,-0.002897773,-0.0048038354,0.0009509586,0.00042500152,0.000329992,8.988046e-06,5.594008e-05,7.6126166e-06,35.978554,35.978554
3056937702,3670026,3670026,0,0,0,0,0,0,0,0,800.7741,800.7741,4003.8706,8007.741,0.022856873,0.0070695085,2.480614e-10,0.16806155,-0.19127962,-9.8410635,0.008526554,-0.0015370244,-0.0052527683,0.0011836457,0.000387096,0.0003062711,8.268519e-06,5.4193395e-05,6.2180184e-06,35.98438,35.98438
3057876805,3670026,3670026,0,0,0,0,0,0,0,0,800.77405,800.77405,4003.87,8007.74,0.02223851,0.006709292,2.452801e-10,0.18115556,-0.19143353,-9.836167,0.0084428545,-0.0018895763,-0.005198871,0.00083746033,0.00039353606,0.00026159626,1.1046241e-05,5.2130632e-05,5.677976e-06,35.99237,35.99237
3058925802,3670026,3670026,0,0,0,0,0,0,0,0,800.7739,800.7739,4003.8696,8007.7393,0.022178158,0.006705403,2.441525e-10,0.18120117,-0.19732782,-9.8377695,0.008317306,-0.0018109495,-0.005196335,0.0006340849,0.000297542,0.00028176018,8.5364445e-06,5.5826047e-05,6.2163394e-06,35.991726,35.991726
3059864882,3670026,3670026,0,0,0,0,0,0,0,0,800.77386,800.77386,4003.8694,8007.739,0.020475417,0.006920002,2.3018311e-10,0.1828258,-0.19273324,-9.840232,0.0082748225,-0.0022357872,-0.0049160686,0.0005477746,0.00035203452,0.00019377215,9.3911685e-06,5.037072e-05,6.7847204e-06,36.0042,36.0042
