timestamp,timestamp_sample,ref_timestamp,ref_lat,ref_lon,x,y,z,delta_xy[0],delta_xy[1],delta_z,vx,vy,vz,z_deriv,delta_vxy[0],delta_vxy[1],delta_vz,ax,ay,az,heading,delta_heading,ref_alt,dist_bottom,eph,epv,evh,evv,vxy_max,vz_max,hagl_min,hagl_max,xy_valid,z_valid,v_xy_valid,v_z_valid,xy_reset_counter,z_reset_counter,vxy_reset_counter,vz_reset_counter,heading_reset_counter,heading_good_for_control,xy_global,z_global,dist_bottom_valid,dist_bottom_sensor_bitfield,dead_reckoning
3158801167,3158800141,0,nan,nan,0.00032900533,-9.646183e-05,3.4268394,-0.8960409,-0.12411072,0.0,0.0012895915,0.0003211152,3.820115e-05,0.0031287696,-0.35385558,-0.015222848,-0.0014915153,0.007852701,-0.029400323,0.015268093,-0.07166288,2.4454362,nan,0.09733009,0.010910367,0.26922446,0.035591986,0.071763635,inf,inf,inf,inf,0,1,0,1,3,1,3,1,1,0,0,0,0,0,1
3158900927,3158900047,0,nan,nan,0.00036318146,-3.3340937e-05,3.4270563,-0.8960409,-0.12411072,0.0,0.001108182,0.0001015578,-0.00035595236,0.0026950093,-0.35385558,-0.015222848,-0.0014915153,-0.021652395,0.017650973,-0.026065847,-0.07165118,2.4454362,nan,0.09876466,0.01350829,0.267683,0.04018487,0.06953514,inf,inf,inf,inf,0,1,0,1,3,1,3,1,1,0,0,0,0,0,1
3159000853,3158999953,0,nan,nan,0.00040447732,2.6233587e-05,3.4272962,-0.8960409,-0.12411072,0.0,0.0010123486,0.00030996618,-0.0005264581,0.0025358205,-0.35385558,-0.015222848,-0.0014915153,0.0091160545,0.012278845,0.011322757,-0.07163968,2.4454362,nan,0.09878564,0.016787682,0.26906183,0.04487838,0.071560405,inf,inf,inf,inf,0,1,0,1,3,1,3,1,1,0,0,0,0,0,1
3159100681,3159099859,0,nan,nan,0.00043853658,7.0777496e-05,3.427906,-0.8960409,-0.12411072,0.0,0.0015405718,0.00022963113,-0.00038219104,0.0030517564,-0.35385558,-0.015222848,-0.0014915153,-0.00230564,-0.018225303,0.00796572,-0.07170445,2.4454362,nan,0.09968424,0.013214363,0.2675355,0.039707076,0.06933239,inf,inf,inf,inf,0,1,0,1,3,1,3,1,1,0,0,0,0,0,1
3159200549,3159199764,0,nan,nan,0.0005249522,0.00010710354,3.4286575,-0.8960409,-0.12411072,0.0,0.001225913,0.00019950309,-0.00020137639,0.0037142893,-0.35385558,-0.015222848,-0.0014915153,-0.021716252,0.025323184,-0.0014058436,-0.07182383,2.4454362,nan,0.10005045,0.016433151,0.26890132,0.0444153,0.07135732,inf,inf,inf,inf,0,1,0,1,3,1,3,1,1,0,0,0,0,0,1
3159300478,3159299670,0,nan,nan,0.0005633844,0.00011050451,3.4295914,-0.8960409,-0.12411072,0.0,0.0013703475,0.00012337137,-0.00031021546,0.004211527,-0.35385558,-0.015222848,-0.0014915153,0.012428966,-0.004842295,-0.0042182696,-0.071884304,2.4454362,nan,0.1004622,0.012926961,0.26739,0.039225828,0.06912978,inf,inf,inf,inf,0,1,0,1,3,1,3,1,1,0,0,0,0,0,1
3159400409,3159399579,0,nan,nan,0.0006253616,9.9144185e-05,3.4295852,-0.8960409,-0.12411072,0.0,0.0015614806,8.705909e-05,-1.7005155e-05,0.0041072727,-0.35385558,-0.015222848,-0.0014915153,0.020131635,0.011236858,-0.0059750387,-0.07189869,2.4454362,nan,0.09785581,0.016084306,0.26874292,0.043950845,0.07115438,inf,inf,inf,inf,0,1,0,1,3,1,3,1,1,0,0,0,0,0,1
3159500466,3159499484,0,nan,nan,0.0006619425,9.402727e-05,3.4304307,-0.8960409,-0.12411072,0.0,0.0016098616,0.00013993095,-0.00020183371,0.0043787933,-0.35385558,-0.015222848,-0.0014915153,0.013266856,0.0016170905,-0.003300586,-0.071897514,2.4454362,nan,0.09944773,0.012646123,0.26724648,0.038742837,0.068927296,inf,inf,inf,inf,0,1,0,1,3,1,3,1,1,0,0,0,0,0,1
3159600371,3159599388,0,nan,nan,0.00069652725,7.692507e-05,3.4311795,-0.8960409,-0.12411072,0.0,0.0017514701,5.7325396e-06,-0.00059698,0.0043250537,-0.35385558,-0.015222848,-0.0014915153,0.035176046,0.011535087,0.0001810861,-0.07187005,2.4454362,nan,0.0998013,0.01574114,0.26858655,0.043484937,0.07095155,inf,inf,inf,inf,0,1,0,1,3,1,3,1,1,0,0,0,0,0,1
3159700294,3159699293,0,nan,nan,0.00069897017,3.8404927e-05,3.4314795,-0.8960409,-0.12411072,0.0,0.00206366,-0.000112755726,-0.00043328753,0.004380057,-0.35385558,-0.015222848,-0.0014915153,-0.0057538073,0.009438616,0.0076556727,-0.07193306,2.4454362,nan,0.098855495,0.012372035,0.2671049,0.038259175,0.06872493,inf,inf,inf,inf,0,1,0,1,3,1,3,1,1,0,0,0,0,0,1
