timestamp,rxerrors,fix,rssi,remote_rssi,txbuf,noise,remote_noise
3049852091,1,0,142,143,97,55,25
3050899098,1,0,142,143,100,59,23
3051818091,1,0,142,143,97,61,24
3052853760,1,0,142,143,100,65,25
3053894088,1,0,142,143,98,53,25
3054810301,1,0,142,143,100,57,52
3055847114,1,0,142,143,97,57,23
3056773132,1,0,142,143,97,70,24
3057810090,1,0,142,143,100,54,25
3058839091,1,0,142,143,100,54,25
3059900091,1,0,142,143,97,53,21
3060820203,1,0,142,143,100,58,53
3061842092,1,0,142,143,100,54,25
3062779084,1,0,142,143,97,53,25
3063800087,1,0,142,143,100,49,23
3064846088,1,0,143,143,100,73,23
3065814536,1,0,143,143,98,53,24
3066809071,1,0,143,143,100,59,23
3067832675,1,0,143,143,100,53,22
3068883228,1,0,143,143,100,54,51
3069798092,1,0,143,143,97,51,52
3070848092,1,0,143,143,100,55,25
3071780093,1,0,142,143,100,68,25
3072801142,1,0,142,143,97,55,24
3073833602,1,0,142,143,100,54,26
3074882493,1,0,142,143,100,56,25
3075805092,1,0,142,143,98,54,24
3076830094,1,0,142,143,100,62,22
3077874089,1,0,142,143,100,61,25
3078791086,1,0,142,143,100,55,24
3079828173,1,0,142,143,100,55,23
3080887167,1,0,142,143,100,57,23
3081796085,1,0,142,143,100,60,52
3082828234,1,0,142,143,97,53,57
3083866112,1,0,142,143,100,55,25
3084787660,1,0,142,143,100,60,24
3085836134,1,0,142,143,95,52,23
3086864229,1,0,142,143,99,57,24
3087786091,1,0,142,143,100,53,25
3088871102,1,0,142,143,100,51,26
3089858041,1,0,142,143,100,57,24
3090783091,1,0,142,143,98,53,52
3091818091,1,0,142,143,100,56,52
3092858541,1,0,142,143,100,54,24
3093788090,1,0,141,143,97,62,26
3094815089,1,0,141,143,100,55,23
3095863089,1,0,141,143,97,54,23
3096891125,1,0,141,143,100,56,22
3097820272,1,0,141,143,100,52,23
3098855207,1,0,141,143,100,58,25
3099782089,1,0,141,143,100,56,51
3100807455,1,0,141,143,100,65,24
3101860087,1,0,141,143,100,71,23
3102785127,1,0,141,143,100,57,21
3103808085,1,0,141,143,100,60,27
3104846089,1,0,141,143,100,61,23
3105894115,1,0,141,143,97,61,50
3106815445,1,0,141,143,100,56,24
3107845091,1,0,141,143,98,53,22
3108789198,1,0,141,142,100,60,25
3109798873,1,0,141,141,100,71,24
3110847289,1,0,141,142,100,54,23
3111814092,1,0,141,142,94,55,24
3112806095,1,0,143,142,100,66,24
3113836085,1,0,143,142,100,54,48
3114787532,1,0,143,142,100,55,25
3115798091,1,0,143,142,100,54,23
3116848130,1,0,143,142,100,59,26
3117868093,1,0,143,142,100,56,21
3118796163,1,0,143,142,100,52,22
3119839426,1,0,143,142,100,52,23
3120880171,1,0,143,142,100,56,25
3121804213,1,0,143,142,100,61,46
3122837155,1,0,143,142,100,54,50
3123869087,1,0,143,142,100,68,23
3124786230,1,0,143,142,98,52,24
3125835087,1,0,143,142,100,57,24
3126879087,1,0,143,142,100,54,47
3127789092,1,0,142,142,100,57,46
3128847091,1,0,143,142,97,54,23
3129864134,1,0,144,143,100,54,24
3130789094,1,0,144,143,100,52,23
3131841549,1,0,144,143,90,50,24
3132861685,1,0,144,143,97,54,24
3133785103,1,0,144,143,100,53,22
3134776093,1,0,144,143,99,54,26
3135854163,1,0,144,143,100,53,49
3136910090,1,0,144,143,100,56,49
3137817118,1,0,145,143,97,57,23
3138857088,1,0,145,143,100,53,23
3139789301,1,0,145,143,100,54,23
3140817132,1,0,145,143,100,62,24
3141867187,1,0,145,143,100,52,23
3142895113,1,0,145,143,100,58,24
3143826091,1,0,144,143,100,56,25
3144850094,1,0,144,143,100,53,57
3145777085,1,0,144,143,100,64,24
3146813791,1,0,144,143,99,52,23
3147855092,1,0,144,143,100,55,25
3148781899,1,0,145,143,100,62,22
3149814414,1,0,145,143,96,56,25
3150845177,1,0,144,143,97,56,22
3151775091,1,0,145,143,100,62,22
