timestamp,timestamp_sample,device_id,magnetometer_ga[0],magnetometer_ga[1],magnetometer_ga[2],calibration_count
3050558886,3050557920,396825,0.20449479,0.023831468,0.3948029,3
3051006610,3051005620,396825,0.19415215,0.011794649,0.39510667,3
3051454962,3051453988,396825,0.19797868,0.010443736,0.4174711,3
3052052131,3052051168,396825,0.18939799,0.010635324,0.40816218,3
3052500112,3052499118,396825,0.21032852,0.015154738,0.42559066,3
3052948450,3052947485,396825,0.21180436,0.021091651,0.42334756,3
3053545392,3053544431,396825,0.20940995,0.024055237,0.42292327,3
3053993273,3053992309,396825,0.2055219,0.024932906,0.39604038,3
3054569631,3054515182,396825,0.20256126,0.016779799,0.40995666,3
3055038868,3055037906,396825,0.20080487,0.018097306,0.39527786,3
3055486790,3055485794,396825,0.19349857,0.011878481,0.4067214,3
3056062783,3056008485,396825,0.20252143,0.018205486,0.4090398,3
3056531847,3056530884,396825,0.19514543,0.011791766,0.4264562,3
3056979570,3056978603,396825,0.21626504,0.020412758,0.4259562,3
3057555984,3057501678,396825,0.20111571,0.01790304,0.40741867,3
3058024691,3058023727,396825,0.21146512,0.023772893,0.4142753,3
3058472994,3058471993,396825,0.19553399,0.017527772,0.38320386,3
3059070382,3059069420,396825,0.20276682,0.02189387,0.39706108,3
3059518180,3059517217,396825,0.18683934,0.011565059,0.39742747,3
3059966359,3059965395,396825,0.19729269,0.012532817,0.42156023,3
3060564232,3060563259,396825,0.18928227,0.0093717445,0.39858884,3
3061012198,3061011236,396825,0.20450342,0.013226677,0.42161936,3
3061459970,3061458969,396825,0.21481606,0.023349829,0.4120049,3
3062057708,3062056569,396825,0.21300128,0.021159291,0.43324566,3
3062505481,3062504490,396825,0.20334542,0.023434926,0.3973574,3
3062953463,3062952461,396825,0.18324585,0.014681343,0.39087301,3
3063551303,3063550120,396825,0.19783872,0.014937399,0.3887913,3
3063998977,3063997989,396825,0.19055066,0.01209091,0.40274346,3
3064446796,3064445832,396825,0.2107755,0.014128914,0.44534597,3
3065044246,3065043272,396825,0.20350236,0.013334813,0.41638157,3
3065491678,3065490712,396825,0.21384072,0.023155937,0.41733813,3
3066068085,3066013525,396825,0.20019457,0.018891612,0.4082098,3
3066537222,3066536219,396825,0.20638546,0.023586093,0.39918435,3
3066985211,3066984249,396825,0.19284382,0.014140865,0.38053936,3
3067561645,3067507177,396825,0.19935384,0.011632949,0.4183933,3
3068030969,3068029912,396825,0.18865497,0.013107546,0.3981759,3
3068478480,3068477519,396825,0.20956957,0.014197383,0.42587188,3
3069054884,3069000523,396825,0.20521498,0.015799675,0.4070022,3
3069523751,3069522789,396825,0.20485295,0.020238398,0.4249115,3
3069971870,3069970873,396825,0.2050598,0.019970195,0.41559425,3
3070569307,3070568344,396825,0.21147388,0.023750026,0.40257478,3
3071017590,3071016627,396825,0.19691029,0.017454047,0.39840776,3
3071465464,3071464502,396825,0.18567365,0.009668617,0.39482662,3
3072062857,3072061896,396825,0.192298,0.012295332,0.3858289,3
3072510897,3072509888,396825,0.20673016,0.01304061,0.41492882,3
3072958737,3072957754,396825,0.21219549,0.019406592,0.41847098,3
3073555849,3073554889,396825,0.21460006,0.012337061,0.4375175,3
3074003858,3074002897,396825,0.20663956,0.021529963,0.3945319,3
3074452085,3074451067,396825,0.18074617,0.017170172,0.38499302,3
3075049418,3075048455,396825,0.18973175,0.013571572,0.38175237,3
3075497280,3075496128,396825,0.1929181,0.010939427,0.41332752,3
3076072737,3076018602,396825,0.2024867,0.013388704,0.41464728,3
3076542303,3076541342,396825,0.20894061,0.018391822,0.42750892,3
3076989826,3076988826,396825,0.21449234,0.026060056,0.41486153,3
3077565773,3077511658,396825,0.20148282,0.017768495,0.4045297,3
3078035384,3078034422,396825,0.20724373,0.023457551,0.403969,3
3078483322,3078482359,396825,0.18958737,0.015257666,0.389103,3
3079058968,3079004666,396825,0.20048788,0.019070936,0.4095313,3
3079528624,3079527581,396825,0.18978836,0.009015726,0.40260497,3
3079977076,3079975193,396825,0.2059502,0.009270584,0.42169994,3
3080573431,3080572468,396825,0.20751962,0.013892651,0.42853025,3
3081021772,3081020810,396825,0.21301316,0.0234306,0.4188194,3
3081469571,3081468609,396825,0.201736,0.023723735,0.3912922,3
3082067271,3082066304,396825,0.20584723,0.022609092,0.40250033,3
3082515261,3082514266,396825,0.18898275,0.012790136,0.3937652,3
3082963153,3082962185,396825,0.20352678,0.0210317,0.422844,3
3083560838,3083559653,396825,0.20448181,0.013678692,0.41935062,3
3084008560,3084007568,396825,0.20999524,0.022739045,0.41249788,3
3084456530,3084455539,396825,0.19463813,0.02084033,0.39323854,3
3085054148,3085053188,396825,0.19241351,0.01666878,0.38924485,3
3085502092,3085501119,396825,0.19741568,0.008826917,0.4096337,3
3085950086,3085949119,396825,0.21010868,0.022665132,0.4124313,3
3086547393,3086546429,396825,0.20849806,0.019901378,0.4354797,3
3086995256,3086994252,396825,0.19734076,0.021581948,0.38676298,3
3087570959,3087516735,396825,0.20223074,0.018184362,0.40739328,3
3088040683,3088039720,396825,0.19174609,0.01690511,0.39835316,3
3088488378,3088487412,396825,0.20134982,0.024418874,0.4266628,3
3089064265,3089009832,396825,0.20293957,0.018098865,0.40745723,3
3089533692,3089532715,396825,0.20975974,0.023692265,0.4016199,3
3089981911,3089980950,396825,0.18950988,0.019599307,0.38929385,3
3090557650,3090503401,396825,0.20133582,0.018928057,0.40536055,3
3091027189,3091026213,396825,0.20692001,0.012340341,0.4237485,3
3091476073,3091474524,396825,0.21242958,0.023672756,0.40929723,3
3092072671,3092071499,396825,0.2133202,0.015740199,0.43313444,3
3092521076,3092520013,396825,0.19484013,0.015484825,0.39346677,3
3092968794,3092967826,396825,0.19485977,0.0052997656,0.41082227,3
3093566003,3093565038,396825,0.19952354,0.010952638,0.42129177,3
3094014349,3094013387,396825,0.21139036,0.021493863,0.42242542,3
3094462160,3094461196,396825,0.20737901,0.025491936,0.39588517,3
3095059190,3095058228,396825,0.20922545,0.02069168,0.40169668,3
3095507527,3095506566,396825,0.19807844,0.012099987,0.40501723,3
3095955525,3095954484,396825,0.20362535,0.012921421,0.41997814,3
3096552788,3096551819,396825,0.1988379,0.014774019,0.40815634,3
3097001002,3097000039,396825,0.21490681,0.019630753,0.42066985,3
3097449083,3097448062,396825,0.20039134,0.021663252,0.39545017,3
3098045963,3098044958,396825,0.19466256,0.020272901,0.3819218,3
3098494168,3098493208,396825,0.18021256,0.0081699155,0.4005743,3
3099069919,3099015655,396825,0.20520376,0.016277509,0.41113704,3
3099539162,3099538176,396825,0.21542628,0.022140505,0.43032786,3
3099987380,3099986416,396825,0.2090238,0.024637291,0.40375236,3
3100563086,3100508755,396825,0.20325208,0.016575929,0.41114426,3
3101032120,3101031159,396825,0.19886771,0.0057291333,0.41029948,3
3101480931,3101479964,396825,0.19789638,0.013240244,0.39622852,3
3102056657,3102002420,396825,0.20329353,0.017368693,0.40978035,3
3102525432,3102524469,396825,0.21314815,0.018044267,0.42067882,3
3102974028,3102973035,396825,0.19711557,0.015119001,0.41890597,3
3103570862,3103569899,396825,0.19915232,0.0063290168,0.40306646,3
3104018874,3104017912,396825,0.19890097,0.006643828,0.4258939,3
3104467449,3104466460,396825,0.2061486,0.014066227,0.42516294,3
3105064430,3105063470,396825,0.20784435,0.01517274,0.41458791,3
3105512485,3105511516,396825,0.21166262,0.021124573,0.42723545,3
3105960890,3105959845,396825,0.2141836,0.022319091,0.40469158,3
3106557684,3106556723,396825,0.21166983,0.02206714,0.4152287,3
3107005663,3107004700,396825,0.19893406,0.017701397,0.39351428,3
3107453968,3107453005,396825,0.19657221,0.010127293,0.40073812,3
3108051255,3108050238,396825,0.19015057,0.011618288,0.38538605,3
3108499789,3108498239,396825,0.20551819,0.0060336795,0.427273,3
3108947528,3108946565,396825,0.21005774,0.020185132,0.4181531,3
3109545016,3109544051,396825,0.21802685,0.02520282,0.42286098,3
3109992826,3109991856,396825,0.20273739,0.023739673,0.40001154,3
3110569040,3110514642,396825,0.20403096,0.018622113,0.40699977,3
3111038509,3111037447,396825,0.19646707,0.013965394,0.39345092,3
3111486098,3111485130,396825,0.19486679,0.00999975,0.40505058,3
3112062355,3112007852,396825,0.20657882,0.018081814,0.40805614,3
3112531110,3112530143,396825,0.2044025,0.0140067525,0.4223863,3
3112979240,3112978259,396825,0.21479648,0.020962268,0.42446268,3
3113555160,3113500572,396825,0.20272502,0.018449701,0.40880948,3
3114023674,3114022682,396825,0.19221735,0.016112993,0.39786124,3
3114471334,3114470373,396825,0.19244948,0.008429762,0.4048357,3
