timestamp,voltage5v_v,sensors3v3[0],sensors3v3[1],sensors3v3[2],sensors3v3[3],sensors3v3_valid,usb_connected,brick_valid,usb_valid,servo_valid,periph_5v_oc,hipower_5v_oc,comp_5v_valid,can1_gps1_5v_valid
3050585344,5.0740724,3.3209472,0.0,0.0,0.0,1,0,1,0,1,0,0,0,0
3051085298,5.0805173,3.3209472,0.0,0.0,0.0,1,0,1,0,1,0,0,0,0
3051585374,5.0740724,3.3209472,0.0,0.0,0.0,1,0,1,0,1,0,0,0,0
3052085310,5.078906,3.3209472,0.0,0.0,0.0,1,0,1,0,1,0,0,0,0
3052585348,5.0756836,3.319336,0.0,0.0,0.0,1,0,1,0,1,0,0,0,0
3053085336,5.077295,3.3241699,0.0,0.0,0.0,1,0,1,0,1,0,0,0,0
3053585310,5.08374,3.3209472,0.0,0.0,0.0,1,0,1,0,1,0,0,0,0
3054085692,5.078906,3.3209472,0.0,0.0,0.0,1,0,1,0,1,0,0,0,0
3054585310,5.08374,3.319336,0.0,0.0,0.0,1,0,1,0,1,0,0,0,0
3055085300,5.082129,3.319336,0.0,0.0,0.0,1,0,1,0,1,0,0,0,0
3055585305,5.103076,3.319336,0.0,0.0,0.0,1,0,1,0,1,0,0,0,0
3056085319,5.106299,3.3209472,0.0,0.0,0.0,1,0,1,0,1,0,0,0,0
3056585534,5.0805173,3.3177245,0.0,0.0,0.0,1,0,1,0,1,0,0,0,0
3057085297,5.078906,3.3209472,0.0,0.0,0.0,1,0,1,0,1,0,0,0,0
3057585298,5.1111326,3.3225586,0.0,0.0,0.0,1,0,1,0,1,0,0,0,0
3058085398,5.1111326,3.304834,0.0,0.0,0.0,1,0,1,0,1,0,0,0,0
3058585298,5.1095214,3.3209472,0.0,0.0,0.0,1,0,1,0,1,0,0,0,0
3059085306,5.078906,3.3209472,0.0,0.0,0.0,1,0,1,0,1,0,0,0,0
3059585866,5.077295,3.3209472,0.0,0.0,0.0,1,0,1,0,1,0,0,0,0
3060085338,5.078906,3.3225586,0.0,0.0,0.0,1,0,1,0,1,0,0,0,0
3060585528,5.0724607,3.3161132,0.0,0.0,0.0,1,0,1,0,1,0,0,0,0
3061085317,5.078906,3.3225586,0.0,0.0,0.0,1,0,1,0,1,0,0,0,0
3061585319,5.078906,3.3209472,0.0,0.0,0.0,1,0,1,0,1,0,0,0,0
3062085299,5.0756836,3.319336,0.0,0.0,0.0,1,0,1,0,1,0,0,0,0
3062585304,5.104687,3.3209472,0.0,0.0,0.0,1,0,1,0,1,0,0,0,0
3063085476,5.077295,3.3209472,0.0,0.0,0.0,1,0,1,0,1,0,0,0,0
3063585334,5.1095214,3.3209472,0.0,0.0,0.0,1,0,1,0,1,0,0,0,0
3064085312,5.10791,3.3225586,0.0,0.0,0.0,1,0,1,0,1,0,0,0,0
3064585660,5.0756836,3.319336,0.0,0.0,0.0,1,0,1,0,1,0,0,0,0
3065085299,5.077295,3.319336,0.0,0.0,0.0,1,0,1,0,1,0,0,0,0
3065585298,5.077295,3.319336,0.0,0.0,0.0,1,0,1,0,1,0,0,0,0
3066085365,5.104687,3.3225586,0.0,0.0,0.0,1,0,1,0,1,0,0,0,0
3066585324,5.0805173,3.319336,0.0,0.0,0.0,1,0,1,0,1,0,0,0,0
3067085427,5.10791,3.3209472,0.0,0.0,0.0,1,0,1,0,1,0,0,0,0
3067585316,5.082129,3.3209472,0.0,0.0,0.0,1,0,1,0,1,0,0,0,0
3068085320,5.078906,3.3209472,0.0,0.0,0.0,1,0,1,0,1,0,0,0,0
3068585330,5.1095214,3.3209472,0.0,0.0,0.0,1,0,1,0,1,0,0,0,0
3069085300,5.106299,3.3209472,0.0,0.0,0.0,1,0,1,0,1,0,0,0,0
3069586147,5.1095214,3.3209472,0.0,0.0,0.0,1,0,1,0,1,0,0,0,0
3070085703,5.082129,3.3209472,0.0,0.0,0.0,1,0,1,0,1,0,0,0,0
3070585330,5.10791,3.3209472,0.0,0.0,0.0,1,0,1,0,1,0,0,0,0
3071085477,5.0805173,3.3322265,0.0,0.0,0.0,1,0,1,0,1,0,0,0,0
3071585297,5.10791,3.325781,0.0,0.0,0.0,1,0,1,0,1,0,0,0,0
3072085299,5.0805173,3.319336,0.0,0.0,0.0,1,0,1,0,1,0,0,0,0
3072585299,5.10791,3.3209472,0.0,0.0,0.0,1,0,1,0,1,0,0,0,0
3073085304,5.1095214,3.3209472,0.0,0.0,0.0,1,0,1,0,1,0,0,0,0
3073585458,5.078906,3.3241699,0.0,0.0,0.0,1,0,1,0,1,0,0,0,0
3074085298,5.077295,3.3209472,0.0,0.0,0.0,1,0,1,0,1,0,0,0,0
3074585323,5.104687,3.3209472,0.0,0.0,0.0,1,0,1,0,1,0,0,0,0
3075085606,5.0805173,3.3225586,0.0,0.0,0.0,1,0,1,0,1,0,0,0,0
3075585299,5.0756836,3.3225586,0.0,0.0,0.0,1,0,1,0,1,0,0,0,0
3076085456,5.0756836,3.3209472,0.0,0.0,0.0,1,0,1,0,1,0,0,0,0
3076585306,5.0805173,3.3209472,0.0,0.0,0.0,1,0,1,0,1,0,0,0,0
3077085337,5.077295,3.3177245,0.0,0.0,0.0,1,0,1,0,1,0,0,0,0
3077585372,5.1014647,3.3209472,0.0,0.0,0.0,1,0,1,0,1,0,0,0,0
3078085299,5.0805173,3.3225586,0.0,0.0,0.0,1,0,1,0,1,0,0,0,0
3078585299,5.0805173,3.3225586,0.0,0.0,0.0,1,0,1,0,1,0,0,0,0
3079085298,5.0756836,3.3241699,0.0,0.0,0.0,1,0,1,0,1,0,0,0,0
3079585299,5.040234,3.3209472,0.0,0.0,0.0,1,0,1,0,1,0,0,0,0
3080086305,5.1095214,3.3209472,0.0,0.0,0.0,1,0,1,0,1,0,0,0,0
3080585695,5.1111326,3.3209472,0.0,0.0,0.0,1,0,1,0,1,0,0,0,0
