timestamp,roll,pitch,yaw,thrust_body[0],thrust_body[1],thrust_body[2],reset_integral
3050104439,-0.052945398,-0.17749359,0.0003454045,0.0,0.0,-0.001,0
3050109428,-0.052967414,-0.17755437,0.00032572384,0.0,0.0,-0.001,0
3050124405,-0.05298528,-0.17733051,0.00028644045,0.0,0.0,-0.001,0
3050144387,-0.053070262,-0.17677419,0.00029517355,0.0,0.0,-0.001,0
3050164395,-0.053084724,-0.177239,0.0003508845,0.0,0.0,-0.001,0
3050184343,-0.053138882,-0.17760058,0.00032652426,0.0,0.0,-0.001,0
3050204328,-0.053086333,-0.177174,0.0002863436,0.0,0.0,-0.001,0
3050224319,-0.053170376,-0.17698935,0.00037580132,0.0,0.0,-0.001,0
3050244341,-0.053147867,-0.17718859,0.00033895392,0.0,0.0,-0.001,0
3050264318,-0.053209487,-0.17756075,0.00033401194,0.0,0.0,-0.001,0
3050284336,-0.053299014,-0.17745103,0.0003414285,0.0,0.0,-0.001,0
3050304352,-0.053158056,-0.17691152,0.00033843663,0.0,0.0,-0.001,0
3050324433,-0.053223882,-0.17698742,0.00035480064,0.0,0.0,-0.001,0
3050344381,-0.053264793,-0.17738204,0.00036987616,0.0,0.0,-0.001,0
3050364319,-0.05312154,-0.177388,0.0003316272,0.0,0.0,-0.001,0
3050384304,-0.05314372,-0.17712124,0.00033515666,0.0,0.0,-0.001,0
3050409302,-0.05311338,-0.17727776,0.0003140409,0.0,0.0,-0.001,0
3050424255,-0.053087447,-0.1775394,0.000348848,0.0,0.0,-0.001,0
3050444260,-0.053158898,-0.17765844,0.00030416733,0.0,0.0,-0.001,0
3050464220,-0.05309255,-0.1771703,0.00030377923,0.0,0.0,-0.001,0
3050484197,-0.05316782,-0.17745398,0.0003259749,0.0,0.0,-0.001,0
3050504175,-0.053106837,-0.17784896,0.0003021855,0.0,0.0,-0.001,0
3050524076,-0.053040966,-0.17793766,0.00028652168,0.0,0.0,-0.001,0
3050549098,-0.05309107,-0.17808354,0.00029203933,0.0,0.0,-0.001,0
3050564046,-0.052982647,-0.17806797,0.00026031403,0.0,0.0,-0.001,0
3050584044,-0.053033035,-0.17821987,0.00028102528,0.0,0.0,-0.001,0
3050604010,-0.05309362,-0.17854898,0.00031962426,0.0,0.0,-0.001,0
3050624011,-0.052816864,-0.17822675,0.0002775654,0.0,0.0,-0.001,0
3050643947,-0.052908473,-0.17803289,0.00030689128,0.0,0.0,-0.001,0
