timestamp,data_rate,rate_multiplier,tx_rate_avg,tx_error_rate_avg,tx_message_count,tx_buffer_overruns,rx_rate_avg,rx_message_count,rx_message_lost_count,rx_buffer_overruns,rx_parse_errors,rx_packet_drop_count,rx_message_lost_rate,type,mode,flow_control,forwarding,mavlink_v2,ftp,streams,heartbeat_type_antenna_tracker,heartbeat_type_gcs,heartbeat_type_onboard_controller,heartbeat_type_gimbal,heartbeat_type_adsb,heartbeat_type_camera,heartbeat_type_parachute,heartbeat_type_open_drone_id,heartbeat_component_telemetry_radio,heartbeat_component_log,heartbeat_component_osd,heartbeat_component_obstacle_avoidance,heartbeat_component_vio,heartbeat_component_pairing_manager,heartbeat_component_udp_bridge,heartbeat_component_uart_bridge,avoidance_system_healthy,open_drone_id_system_healthy,parachute_system_healthy
3050761531,1200.0,0.3479541,499.99854,0.0,49997,284,20.792019,4462,0,0,0,0,0.0,0,0,1,1,1,1,53,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
3052011501,1200.0,0.3479541,827.9768,0.0,50020,284,20.999413,4464,0,0,0,0,0.0,0,0,1,1,1,1,53,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
3053014467,1200.0,0.3479541,562.3293,0.0,50034,284,20.937792,4465,0,0,0,0,0.0,0,0,1,1,1,1,53,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
3053264452,1200.0,0.3479541,562.3293,0.0,50036,284,20.937792,4465,0,0,0,0,0.0,0,0,1,1,1,1,53,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
3054514537,1200.0,0.3479541,439.95206,0.0,50064,284,20.997713,4466,0,0,0,0,0.0,0,0,1,1,1,1,53,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
3055776524,1200.0,0.3479541,951.2032,0.0,50079,284,20.960405,4467,0,0,0,0,0.0,0,0,1,1,1,1,53,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
3057036608,1200.0,0.3479541,395.99326,0.0,50097,284,20.999641,4469,0,0,0,0,0.0,0,0,1,1,1,1,53,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
3058039485,1200.0,0.3479541,958.30145,0.0,50117,284,20.94103,4470,0,0,0,0,0.0,0,0,1,1,1,1,53,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
3058289513,1200.0,0.3479541,958.30145,0.0,50120,284,20.94103,4470,0,0,0,0,0.0,0,0,1,1,1,1,53,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
3059539558,1200.0,0.3479541,430.9991,0.0,50135,284,20.999958,4471,0,0,0,0,0.0,0,0,1,1,1,1,53,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
3060800579,1200.0,0.3479541,589.1089,0.0,50165,284,20.79208,4472,0,0,0,0,0.0,0,0,1,1,1,1,53,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
3062060557,1200.0,0.3479541,577.9255,0.0,50179,284,20.997292,4474,0,0,0,0,0.0,0,0,1,1,1,1,53,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
3063060646,1200.0,0.3479541,850.5995,0.0,50203,284,20.794632,4475,0,0,0,0,0.0,0,0,1,1,1,1,53,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
3063310555,1200.0,0.3479541,850.5995,0.0,50206,284,20.794632,4475,0,0,0,0,0.0,0,0,1,1,1,1,53,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
3064573596,1200.0,0.3479541,489.82904,0.0,50221,284,20.992672,4476,0,0,0,0,0.0,0,0,1,1,1,1,53,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
3065833522,1200.0,0.3479541,429.8703,0.0,50250,284,20.944958,4478,0,0,0,0,0.0,0,0,1,1,1,1,53,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
3066833617,1200.0,0.3479541,1079.999,0.0,50261,284,20.99998,4479,0,0,0,0,0.0,0,0,1,1,1,1,53,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
3067093610,1200.0,0.3479541,382.92645,0.0,50264,284,20.995968,4479,0,0,0,0,0.0,0,0,1,1,1,1,53,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
3068343560,1200.0,0.3479541,562.413,0.0,50279,284,20.79344,4480,0,0,0,0,0.0,0,0,1,1,1,1,53,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
3069594693,1200.0,0.3479541,796.2802,0.0,50305,284,20.981033,4481,0,0,0,0,0.0,0,0,1,1,1,1,53,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
3070847491,1200.0,0.3479541,572.2948,0.0,50322,284,20.792717,4482,0,0,0,0,0.0,0,0,1,1,1,1,53,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
3071857462,1200.0,0.3479541,433.69888,0.0,50346,284,20.937187,4484,0,0,0,0,0.0,0,0,1,1,1,1,53,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
3072107428,1200.0,0.3479541,999.9991,0.0,50349,284,20.792059,4484,0,0,0,0,0.0,0,0,1,1,1,1,53,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
3073358552,1200.0,0.3479541,460.4392,0.0,50365,284,20.974455,4485,0,0,0,0,0.0,0,0,1,1,1,1,53,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
3074619604,1200.0,0.3479541,489.61713,0.0,50390,284,20.983591,4486,0,0,0,0,0.0,0,0,1,1,1,1,53,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
3075872494,1200.0,0.3479541,828.7137,0.0,50406,284,20.792099,4488,0,0,0,0,0.0,0,0,1,1,1,1,53,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
3076872604,1200.0,0.3479541,566.3011,0.0,50418,284,20.937187,4489,0,0,0,0,0.0,0,0,1,1,1,1,53,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
