timestamp,data_type
1701886815.2569387,Visual
1701886815.2903075,Visual
1701886815.323676,Visual
1701886815.3570457,Visual
1701886815.3904147,Visual
1701886815.4237852,Visual
1701886815.4571548,Visual
1701886815.490526,Visual
1701886815.5238962,Visual
1701886815.557268,Visual
1701886815.590639,Visual
1701886815.6239974,Visual
1701886815.657319,Visual
1701886815.6906416,Visual
1701886815.7239623,Visual
1701886815.7572846,Visual
1701886815.7906055,Visual
1701886815.823927,Visual
1701886815.8572474,Visual
1701886815.8905685,Visual
1701886815.9238882,Visual
1701886815.9572086,Visual
1701886815.9905283,Visual
1701886816.0238483,Visual
1701886816.0571675,Visual
1701886816.0904872,Visual
1701886816.123806,Visual
1701886816.1571252,Visual
1701886816.1904433,Visual
1701886816.2237625,Visual
1701886816.2570798,Visual
1701886816.2903984,Visual
1701886816.3237157,Visual
1701886816.3570335,Visual
1701886816.3903506,Visual
1701886816.423668,Visual
1701886816.4569843,Visual
1701886816.4903018,Visual
1701886816.5236175,Visual
1701886816.5569344,Visual
1701886816.5902498,Visual
1701886816.6235683,Visual
1701886816.65689,Visual
1701886816.6902122,Visual
1701886816.7235332,Visual
1701886816.756855,Visual
1701886816.7901757,Visual
1701886816.823497,Visual
1701886816.8568175,Visual
1701886816.8901384,Visual
1701886816.923458,Visual
1701886816.9567783,Visual
1701886816.990098,Visual
1701886817.023418,Visual
1701886817.0567367,Visual
1701886817.090057,Visual
1701886817.123375,Visual
1701886817.1566944,Visual
1701886817.1900122,Visual
1701886817.223331,Visual
1701886817.589817,Visual
1701886817.689938,Visual
1701886817.7233365,Visual
1701886817.756736,Visual
1701886817.7901351,Visual
1701886817.8235354,Visual
1701886817.856935,Visual
1701886817.8903358,Visual
1701886817.923736,Visual
1701886817.957137,Visual
1701886817.990538,Visual
1701886818.0239396,Visual
1701886818.0573409,Visual
1701886818.090743,Visual
1701886818.124145,Visual
1701886818.1909502,Visual
1701886818.2243536,Visual
1701886818.2577562,Visual
1701886818.2911603,Visual
1701886818.3579683,Visual
1701886818.391372,Visual
1701886818.4247773,Visual
1701886818.4581816,Visual
1701886818.4915872,Visual
1701886818.5249922,Visual
1701886818.5583985,Visual
1701886818.591804,Visual
1701886818.625208,Visual
1701886818.6585226,Visual
1701886818.691838,Visual
1701886818.7251525,Visual
1701886818.758467,Visual
1701886818.7917807,Visual
1701886818.825095,Visual
1701886818.858408,Visual
1701886818.8917215,Visual
1701886818.9250343,Visual
1701886818.958347,Visual
1701886818.9916592,Visual
1701886819.0249715,Visual
1701886819.058283,Visual
1701886819.0915952,Visual
1701886819.1582172,Visual
1701886819.1915276,Visual
1701886819.2248385,Visual
1701886819.2581482,Visual
1701886819.2914586,Visual
1701886819.3247676,Visual
1701886819.3580773,Visual
1701886819.3913858,Visual
1701886819.424695,Visual
1701886819.458003,Visual
1701886819.4913118,Visual
1701886819.524619,Visual
1701886819.5579271,Visual
1701886819.5912342,Visual
1701886819.6245415,Visual
1701886819.6579397,Visual
1701886819.691375,Visual
1701886819.72481,Visual
1701886819.758247,Visual
1701886819.7916837,Visual
1701886819.825122,Visual
1701886819.85856,Visual
1701886819.9254396,Visual
1701886819.9588811,Visual
1701886819.9923224,Visual
1701886820.0257657,Visual
1701886820.0592082,Visual
1701886820.0926528,Visual
1701886820.1260972,Visual
1701886820.192989,Visual
1701886820.4271362,Visual
1701886820.4940422,Visual
1701886820.527496,Visual
1701886820.5609517,Visual
1701886820.5944066,Visual
1701886820.6278634,Visual
1701886820.6612768,Visual
1701886820.6947126,Visual
1701886820.7281485,Visual
1701886820.761586,Visual
1701886823.6304102,Visual
1701886823.6637394,Visual
1701886823.6971,Visual
1701886823.7304597,Visual
1701886823.7638206,Visual
1701886823.797181,Visual
1701886823.8305426,Visual
1701886823.8639035,Visual
1701886823.897266,Visual
1701886823.930627,Visual
1701886823.9639902,Visual
1701886823.9973524,Visual
1701886824.0307157,Visual
1701886824.0640783,Visual
1701886824.0974426,Visual
1701886824.130806,Visual
1701886824.1641707,Visual
1701886824.1975343,Visual
1701886824.2308996,Visual
1701886824.2642643,Visual
1701886824.29763,Visual
1701886824.330995,Visual
1701886824.3643618,Visual
1701886824.3977275,Visual
1701886824.4310946,Visual
1701886824.4644608,Visual
1701886824.4978287,Visual
1701886824.5311956,Visual
1701886824.564564,Visual
1701886824.5979316,Visual
1701886824.6313002,Visual
1701886824.6646483,Visual
1701886824.6979735,Visual
1701886824.731297,Visual
1701886824.7646215,Visual
1701886824.797945,Visual
1701886824.8312693,Visual
1701886824.864592,Visual
1701886824.897916,Visual
1701886824.9312384,Visual
1701886824.964562,Visual
1701886824.997884,Visual
1701886825.031207,Visual
1701886825.0645287,Visual
1701886825.0978515,Visual
1701886825.1644952,Visual
1701886825.197816,Visual
1701886825.231138,Visual
1701886825.2644584,Visual
1701886825.29778,Visual
1701886825.3311,Visual
1701886825.3644211,Visual
1701886825.397741,Visual
1701886825.4310615,Visual
1701886825.4643812,Visual
1701886825.4977012,Visual
1701886825.5310202,Visual
1701886825.56434,Visual
1701886825.5976586,Visual
1701886825.6309783,Visual
1701886825.6643014,Visual
1701886825.697626,Visual
1701886825.73095,Visual
1701886825.7642744,Visual
1701886825.7975976,Visual
1701886825.830922,Visual
1701886825.8642447,Visual
1701886825.8975685,Visual
1701886825.9308908,Visual
1701886825.964214,Visual
1701886825.9975362,Visual
1701886826.0308592,Visual
1701886826.0641806,Visual
1701886826.0975032,Visual
1701886826.1308246,Visual
1701886826.1641464,Visual
1701886826.1974676,Visual
1701886826.230789,Visual
1701886826.2641096,Visual
1701886826.297431,Visual
1701886826.330751,Visual
1701886826.3640718,Visual
1701886826.3973916,Visual
1701886826.430712,Visual
1701886826.4640312,Visual
1701886826.4973514,Visual
1701886826.5306704,Visual
1701886826.56399,Visual
1701886826.5973086,Visual
1701886826.630628,Visual
1701886826.663949,Visual
1701886826.6972735,Visual
1701886826.7305975,Visual
1701886826.763922,Visual
1701886826.830569,Visual
1701886826.8638918,Visual
1701886826.8972156,Visual
1701886826.9305382,Visual
1701886826.9638612,Visual
1701886826.997183,Visual
1701886827.030506,Visual
1701886827.063828,Visual
1701886827.0971503,Visual
1701886827.1304717,Visual
1701886827.1637938,Visual
1701886827.1971145,Visual
1701886827.230436,Visual
1701886827.2637565,Visual
1701886827.297078,Visual
1701886827.3303978,Visual
1701886827.3637187,Visual
1701886827.3970385,Visual
1701886827.430359,Visual
1701886827.463678,Visual
1701886827.4969983,Visual
1701886827.530317,Visual
1701886827.563637,Visual
1701886827.5969553,Visual
1701886827.6302748,Visual
1701886827.6636088,Visual
1701886827.6970117,Visual
1701886827.7304137,Visual
1701886827.7638166,Visual
1701886827.7972193,Visual
1701886827.8306231,Visual
1701886827.8640263,Visual
1701886827.897431,Visual
1701886827.9308343,Visual
1701886827.9642396,Visual
1701886827.997644,Visual
1701886828.0310495,Visual
1701886828.0644546,Visual
1701886828.0978608,Visual
1701886828.1312666,Visual
1701886828.164673,Visual
1701886828.1980796,Visual
1701886828.231487,Visual
1701886828.264894,Visual
1701886828.3317096,Visual
1701886828.3651185,Visual
1701886828.3985264,Visual
1701886828.4319358,Visual
1701886828.4653444,Visual
1701886828.4987545,Visual
1701886828.532164,Visual
1701886828.5655742,Visual
1701886828.5989842,Visual
1701886828.6323955,Visual
1701886828.665795,Visual
1701886828.6991131,Visual
1701886828.7324295,Visual
1701886828.7657466,Visual
1701886828.7990625,Visual
1701886828.832379,Visual
1701886828.8656943,Visual
1701886828.8990104,Visual
1701886828.9323254,Visual
1701886828.9656408,Visual
1701886828.9989552,Visual
1701886829.0322702,Visual
1701886829.065584,Visual
1701886829.0988984,Visual
1701886829.1322117,Visual
1701886829.1988385,Visual
1701886829.2321515,Visual
1701886829.265464,Visual
1701886829.298777,Visual
1701886829.3320887,Visual
1701886829.365401,Visual
1701886829.4320242,Visual
1701886829.465335,Visual
1701886829.4986465,Visual
1701886829.5319562,Visual
1701886829.565267,Visual
1701886829.5985763,Visual
1701886829.631887,Visual
1701886829.665203,Visual
1701886829.69852,Visual
1701886829.7318356,Visual
1701886829.7651522,Visual
1701886829.7984674,Visual
1701886829.8317833,Visual
1701886829.865098,Visual
1701886829.8984132,Visual
1701886829.9317274,Visual
1701886829.965042,Visual
1701886829.9983554,Visual
1701886830.03167,Visual
1701886830.064983,Visual
1701886830.0982966,Visual
1701886830.1316092,Visual
1701886830.1649222,Visual
1701886830.198234,Visual
1701886830.2315469,Visual
1701886830.2648582,Visual
1701886830.2981703,Visual
