timestamp,data_type
1701886800.9036956,IMU
1701886800.9086905,IMU
1701886800.9136865,IMU
1701886800.9186814,IMU
1701886800.9236765,IMU
1701886800.9286726,IMU
1701886800.9336674,IMU
1701886800.9386635,IMU
1701886800.9436586,IMU
1701886800.9486544,IMU
1701886800.9536495,IMU
1701886800.9586444,IMU
1701886800.9636405,IMU
1701886800.9686356,IMU
1701886800.9736304,IMU
1701886800.9786265,IMU
1701886800.9836216,IMU
1701886800.9886174,IMU
1701886800.9936123,IMU
1701886800.9986074,IMU
1701886801.0036037,IMU
1701886801.0085986,IMU
1701886801.0135934,IMU
1701886801.0185883,IMU
1701886801.0235846,IMU
1701886801.0285797,IMU
1701886801.0335746,IMU
1701886801.0385704,IMU
1701886801.0435655,IMU
1701886801.0485616,IMU
1701886801.0535564,IMU
1701886801.0585515,IMU
1701886801.0635495,IMU
1701886801.0685425,IMU
1701886801.0735376,IMU
1701886801.0785334,IMU
1701886801.0835285,IMU
1701886801.0885234,IMU
1701886801.0935194,IMU
1701886801.0985146,IMU
1701886801.1035094,IMU
1701886801.1085055,IMU
1701886801.1135006,IMU
1701886801.1184957,IMU
1701886801.1234915,IMU
1701886801.1284864,IMU
1701886801.1334815,IMU
1701886801.1384776,IMU
1701886801.1434724,IMU
1701886801.1484675,IMU
1701886801.1534636,IMU
1701886801.1584585,IMU
1701886801.1634555,IMU
1701886801.1684544,IMU
1701886801.1734445,IMU
1701886801.1784406,IMU
1701886801.1834354,IMU
1701886801.1884303,IMU
1701886801.1934266,IMU
1701886801.1984217,IMU
1701886801.2034175,IMU
1701886801.2084124,IMU
1701886801.2134075,IMU
1701886801.2184036,IMU
1701886801.2233984,IMU
1701886801.2283936,IMU
1701886801.2333894,IMU
1701886801.2383845,IMU
1701886801.2433796,IMU
1701886801.2483754,IMU
1701886801.2533703,IMU
1701886801.2583654,IMU
1701886801.2633617,IMU
1701886801.2683566,IMU
1701886801.2733514,IMU
1701886801.2783475,IMU
1701886801.2833426,IMU
1701886801.2883377,IMU
1701886801.2933335,IMU
1701886801.2983284,IMU
1701886801.3033245,IMU
1701886801.3083196,IMU
1701886801.3133144,IMU
1701886801.3183105,IMU
1701886801.3233056,IMU
1701886801.3283005,IMU
1701886801.3332963,IMU
1701886801.3382914,IMU
1701886801.3432865,IMU
1701886801.3482826,IMU
1701886801.3532774,IMU
1701886801.3582726,IMU
1701886801.3632684,IMU
1701886801.3682635,IMU
1701886801.3732595,IMU
1701886801.3782544,IMU
1701886801.3832495,IMU
1701886801.3882456,IMU
1701886801.3932405,IMU
1701886801.3982356,IMU
1701886801.4032314,IMU
1701886801.4082265,IMU
1701886801.4132216,IMU
1701886801.4182174,IMU
1701886801.4232123,IMU
1701886801.4282074,IMU
1701886801.4332037,IMU
1701886801.4381986,IMU
1701886801.4431944,IMU
1701886801.4481895,IMU
1701886801.4531846,IMU
1701886801.4581804,IMU
1701886801.4631755,IMU
1701886801.4681704,IMU
1701886801.4731674,IMU
1701886801.4781616,IMU
1701886801.4831564,IMU
1701886801.4881525,IMU
1701886801.4931476,IMU
1701886801.4981425,IMU
1701886801.5031383,IMU
1701886801.5081334,IMU
1701886801.5131297,IMU
1701886801.5181246,IMU
1701886801.5231194,IMU
1701886801.5281155,IMU
1701886801.5331104,IMU
1701886801.5381055,IMU
1701886801.5431015,IMU
1701886801.5480964,IMU
1701886801.5530925,IMU
1701886801.5580876,IMU
1701886801.5630825,IMU
1701886801.5680776,IMU
1701886801.5730734,IMU
1701886801.5780685,IMU
1701886801.5830636,IMU
1701886801.5880594,IMU
1701886801.5930555,IMU
1701886801.5980494,IMU
1701886801.6030457,IMU
1701886801.6080415,IMU
1701886801.6130364,IMU
1701886801.6180315,IMU
1701886801.6230266,IMU
1701886801.6280246,IMU
1701886801.6330175,IMU
1701886801.6380124,IMU
1701886801.6430085,IMU
1701886801.6480036,IMU
1701886801.6529984,IMU
1701886801.6579945,IMU
1701886801.6629894,IMU
1701886801.6679854,IMU
1701886801.6729803,IMU
1701886801.6779754,IMU
1701886801.6829717,IMU
1701886801.6879666,IMU
1701886801.6929617,IMU
1701886801.6979575,IMU
1701886801.7029524,IMU
1701886801.7079484,IMU
1701886801.7129436,IMU
1701886801.7179384,IMU
1701886801.7229345,IMU
1701886801.7279296,IMU
1701886801.7329245,IMU
1701886801.7379203,IMU
1701886801.7429154,IMU
1701886801.7479165,IMU
1701886801.7529056,IMU
1701886801.7579014,IMU
1701886801.7628963,IMU
1701886801.7678926,IMU
1701886801.7728877,IMU
1701886801.7778835,IMU
1701886801.7828784,IMU
1701886801.7878735,IMU
1701886801.7928684,IMU
1701886801.7978644,IMU
1701886801.8028595,IMU
1701886801.8078544,IMU
1701886801.8128505,IMU
1701886801.8178456,IMU
1701886801.8228405,IMU
1701886801.8278406,IMU
1701886801.8328364,IMU
1701886801.8378274,IMU
1701886801.8428226,IMU
1701886801.8478174,IMU
1701886801.8528135,IMU
1701886801.8578086,IMU
1701886801.8628037,IMU
1701886801.8677995,IMU
1701886801.8727944,IMU
1701886801.8777895,IMU
1701886801.8827856,IMU
1701886801.8877804,IMU
1701886801.8927755,IMU
1701886801.8977716,IMU
1701886801.9027665,IMU
1701886801.9077616,IMU
1701886801.9127574,IMU
1701886801.9177525,IMU
1701886801.9227474,IMU
1701886801.9277434,IMU
1701886801.9327395,IMU
1701886801.9377415,IMU
1701886801.9427297,IMU
1701886801.9477246,IMU
1701886801.9527204,IMU
1701886801.9577155,IMU
1701886801.9627104,IMU
1701886801.9677064,IMU
1701886801.9727015,IMU
1701886801.9776964,IMU
1701886801.9826925,IMU
1701886801.9876876,IMU
1701886801.9926825,IMU
1701886801.9976785,IMU
1701886802.0026734,IMU
1701886802.0076685,IMU
1701886802.0126646,IMU
1701886802.0176594,IMU
1701886802.0226555,IMU
1701886802.0276506,IMU
1701886802.0326464,IMU
1701886802.0376415,IMU
1701886802.0426364,IMU
1701886802.0476325,IMU
1701886802.0526276,IMU
1701886802.0576224,IMU
1701886802.0626175,IMU
1701886802.0676136,IMU
1701886802.0726085,IMU
1701886802.0776043,IMU
1701886802.0826037,IMU
1701886802.0875945,IMU
1701886802.0925906,IMU
1701886802.0975854,IMU
1701886802.1025803,IMU
1701886802.1075766,IMU
1701886802.1125717,IMU
1701886802.1175666,IMU
1701886802.1225624,IMU
1701886802.1275575,IMU
1701886802.1325536,IMU
1701886802.1375484,IMU
1701886802.1425436,IMU
1701886802.1475394,IMU
1701886802.1525345,IMU
1701886802.1575296,IMU
1701886802.1625254,IMU
1701886802.1675203,IMU
1701886802.1725154,IMU
1701886802.1775117,IMU
1701886802.1825075,IMU
1701886802.1875014,IMU
1701886802.1924975,IMU
1701886802.1974926,IMU
1701886802.2024877,IMU
1701886802.2074835,IMU
1701886802.2124784,IMU
1701886802.2174745,IMU
1701886802.2224696,IMU
1701886802.2274644,IMU
1701886802.2324605,IMU
1701886802.2374556,IMU
1701886802.2424505,IMU
1701886802.2474463,IMU
1701886802.2524414,IMU
1701886802.2574365,IMU
1701886802.2624326,IMU
1701886802.2674274,IMU
1701886802.2724226,IMU
1701886802.2774184,IMU
1701886802.2824135,IMU
1701886802.2874086,IMU
1701886802.2924044,IMU
1701886802.2973995,IMU
1701886802.3023944,IMU
1701886802.3073905,IMU
1701886802.3123856,IMU
1701886802.3173814,IMU
1701886802.3223765,IMU
1701886802.3273716,IMU
1701886802.3323674,IMU
1701886802.3373623,IMU
1701886802.3423574,IMU
1701886802.3473537,IMU
1701886802.3523486,IMU
1701886802.3573434,IMU
1701886802.3623395,IMU
1701886802.3673346,IMU
1701886802.3723304,IMU
1701886802.3773255,IMU
1701886802.3823204,IMU
1701886802.3873155,IMU
1701886802.3923116,IMU
1701886802.3973064,IMU
1701886802.4023025,IMU
1701886802.4072976,IMU
1701886802.4122984,IMU
1701886802.4172883,IMU
1701886802.4222834,IMU
1701886802.4272785,IMU
1701886802.4322746,IMU
1701886802.4372694,IMU
1701886802.4422646,IMU
1701886802.4472604,IMU
1701886802.4522555,IMU
1701886802.4572515,IMU
1701886802.4622464,IMU
1701886802.4672415,IMU
1701886802.4722376,IMU
1701886802.4772325,IMU
1701886802.4822276,IMU
1701886802.4872224,IMU
1701886802.4922185,IMU
1701886802.4972136,IMU
1701886802.5022094,IMU
1701886802.5072043,IMU
1701886802.5121994,IMU
1701886802.5171957,IMU
1701886802.5221906,IMU
1701886802.5271864,IMU
1701886802.5321815,IMU
1701886802.5371766,IMU
1701886802.5421724,IMU
1701886802.5471675,IMU
1701886802.5521624,IMU
1701886802.5571585,IMU
1701886802.5621536,IMU
1701886802.5671484,IMU
1701886802.5721445,IMU
1701886802.5771434,IMU
1701886802.5821354,IMU
1701886802.5871303,IMU
1701886802.5921254,IMU
1701886802.5971203,IMU
1701886802.6021166,IMU
1701886802.6071117,IMU
1701886802.6121075,IMU
1701886802.6171024,IMU
1701886802.6220984,IMU
1701886802.6270936,IMU
1701886802.6320884,IMU
1701886802.6370835,IMU
1701886802.6420796,IMU
1701886802.6470745,IMU
1701886802.6520696,IMU
1701886802.6570654,IMU
1701886802.6620605,IMU
1701886802.6670556,IMU
1701886802.6720514,IMU
1701886802.6770463,IMU
1701886802.6820426,IMU
1701886802.6870377,IMU
1701886802.6920326,IMU
1701886802.6970284,IMU
1701886802.7020235,IMU
